Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,23.590000,24.100000,23.549999,23.709999,912700,0.000000,0.000000,23.590000,24.100000,23.549999,23.709999,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,21640116.087300,
2015-01-05,23.590000,23.700001,23.160000,23.330000,1017600,0.000000,0.000000,23.590000,23.700001,23.160000,23.330000,,,,,,,,,,50.000000,,,,,,,-0.016027,,,,,,,-0.016027,,,,23740608.000000,
2015-01-06,23.320000,23.480000,22.629999,22.910000,1220700,0.000000,0.000000,23.320000,23.480000,22.629999,22.910000,,,,,,,,,,50.000000,,,,,,,-0.018003,,,,,,,-0.033741,,,,27966237.000000,
2015-01-07,23.070000,23.290001,22.730000,23.080000,881300,0.000000,0.000000,23.070000,23.290001,22.730000,23.080000,,,,,,,,,,50.000000,,,,,,,0.007420,,,,,,,-0.026571,,,,20340404.000000,
2015-01-08,23.180000,23.760000,23.000000,23.440001,2014700,0.000000,0.000000,23.180000,23.760000,23.000000,23.440001,,,,,,,,,,50.000000,,,,,,,0.015598,,,,,,,-0.011388,,,,47224570.014700,
2015-01-09,23.430000,23.879999,23.350000,23.650000,1191100,0.000000,0.000000,23.430000,23.879999,23.350000,23.650000,,,,,,,,,,50.000000,,,,,,,0.008959,-0.002531,,,,,,-0.002531,,,,28169515.000000,
2015-01-12,23.530001,23.709999,23.090000,23.549999,773200,0.000000,0.000000,23.530001,23.709999,23.090000,23.549999,,,,,,,,,,50.000000,,,,,,,-0.004228,0.009430,,,,,,-0.006748,,,,18208859.226800,
2015-01-13,23.799999,24.799999,23.600000,23.940001,2021700,0.000000,0.000000,23.799999,24.799999,23.600000,23.940001,,,,,,,,,,50.000000,,,,,,,0.016561,0.044959,,,,,,0.000000,,,,48399500.021700,
2015-01-14,24.340000,24.950001,23.790001,24.260000,2601400,0.000000,0.000000,24.340000,24.950001,23.790001,24.260000,,,,,,,,,,50.000000,,,,,,,0.013367,0.051127,,,,,,0.000000,,,,63109964.000000,
2015-01-15,24.270000,24.540001,23.980000,24.020000,1265000,0.000000,0.000000,24.270000,24.540001,23.980000,24.020000,,,,,,,,,,50.000000,,,,,,,-0.009893,0.024744,,,,,,-0.009893,,,,30385300.000000,
2015-01-16,23.910000,24.309999,23.700001,23.969999,1362700,0.000000,0.000000,23.910000,24.309999,23.700001,23.969999,,,,,,,,,,50.000000,,,,,,,-0.002082,0.013531,,,,,,-0.011954,,,,32663917.637300,
2015-01-20,23.900000,24.750000,23.719999,24.150000,1361600,0.000000,0.000000,23.900000,24.750000,23.719999,24.150000,,,,,23.842077,,,,,50.000000,,,,,,,0.007509,0.025478,,,,,,-0.004534,,,,32882640.000000,
2015-01-21,24.160000,25.139999,24.129999,24.850000,2296400,0.000000,0.000000,24.160000,25.139999,24.129999,24.850000,,,,,24.017091,,,,,50.000000,,,,,,,0.028986,0.038012,,,,,,0.000000,,,,57065540.000000,
2015-01-22,24.870001,25.120001,24.120001,25.110001,1349900,0.000000,0.000000,24.870001,25.120001,24.120001,25.110001,,,,,24.203179,,,,,50.000000,,,,,0.825716,0.032884,0.010463,0.035037,,,,,,0.000000,,,,33895990.349900,
2015-01-23,25.209999,25.610001,24.760000,25.080000,1471500,0.000000,0.000000,25.209999,25.610001,24.760000,25.080000,,,,,24.350061,,,,,74.620704,,,,,0.828301,0.033026,-0.001195,0.044130,,,,,,-0.001195,,,,36905220.000000,
2015-01-26,25.090000,26.370001,24.889999,26.299999,2651700,0.000000,0.000000,25.090000,26.370001,24.889999,26.299999,,,,,24.672304,,,,,83.631294,,,,,0.895330,0.034043,0.048644,0.097205,,,,,,0.000000,,,,69739707.348300,
2015-01-27,25.969999,26.219999,25.440001,26.030001,2354600,0.000000,0.000000,25.969999,26.219999,25.440001,26.030001,,,,,24.894142,,,,,77.106727,,,,,0.891807,0.034261,-0.010266,0.077847,,,,,,-0.010266,,,,61290240.354600,
2015-01-28,26.750000,27.950001,26.430000,27.549999,7282200,0.000000,0.000000,26.750000,27.950001,26.430000,27.549999,,,,,25.323988,,,,,84.457935,,,,,0.991516,0.035990,0.058394,0.108652,,,,,,0.000000,,,,200624602.717800,
2015-01-29,27.480000,27.480000,25.530001,26.139999,5003800,0.000000,0.000000,27.480000,27.480000,25.530001,26.139999,,,,,25.455009,,,,,63.945343,,,,,1.088769,0.041651,-0.051180,0.041019,,,,,,-0.051180,,,,130799326.996200,
