Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2020-12-09,182.000000,195.500000,163.800003,189.509995,25373700,0.000000,0.000000,182.000000,195.500000,163.800003,189.509995,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,4808569760.131500,
2020-12-10,179.710007,187.695007,172.636002,186.000000,9307600,0.000000,0.000000,179.710007,187.695007,172.636002,186.000000,,,,,,,,,,50.000000,,,,,,,-0.018521,,,,,,,-0.018521,,,,1731213600.000000,
2020-12-11,176.520004,182.000000,168.250000,175.000000,4760600,0.000000,0.000000,176.520004,182.000000,168.250000,175.000000,,,,,,,,,,50.000000,,,,,,,-0.059140,,,,,,,-0.076566,,,,833105000.000000,
2020-12-14,169.100006,170.000000,151.199997,160.000000,7859600,0.000000,0.000000,169.100006,170.000000,151.199997,160.000000,,,,,,,,,,50.000000,,,,,,,-0.085714,,,,,,,-0.155717,,,,1257536000.000000,
2020-12-15,157.100006,161.419998,153.759995,158.889999,5017000,0.000000,0.000000,157.100006,161.419998,153.759995,158.889999,,,,,,,,,,50.000000,,,,,,,-0.006938,,,,,,,-0.161575,,,,797151124.983000,
2020-12-16,161.179993,167.470001,157.199997,158.050003,3061300,0.000000,0.000000,161.179993,167.470001,157.199997,158.050003,,,,,,,,,,50.000000,,,,,,,-0.005287,-0.166007,,,,,,-0.166007,,,,483838474.183900,
2020-12-17,159.100006,161.660004,149.949997,154.210007,6369800,0.000000,0.000000,159.100006,161.660004,149.949997,154.210007,,,,,,,,,,50.000000,,,,,,,-0.024296,-0.170914,,,,,,-0.186270,,,,982286902.588600,
2020-12-18,154.210007,169.949997,147.320007,166.350006,8157800,0.000000,0.000000,154.210007,169.949997,147.320007,166.350006,,,,,,,,,,50.000000,,,,,,,0.078724,-0.049429,,,,,,-0.122210,,,,1357050078.946800,
2020-12-21,169.070007,173.460007,155.000000,160.229996,3884200,0.000000,0.000000,169.070007,173.460007,155.000000,160.229996,,,,,,,,,,50.000000,,,,,,,-0.036790,0.001437,,,,,,-0.154504,,,,622365350.463200,
2020-12-22,161.050003,163.210007,153.421997,156.789993,2386700,0.000000,0.000000,161.050003,163.210007,153.421997,156.789993,,,,,,,,,,50.000000,,,,,,,-0.021469,-0.013217,,,,,,-0.172656,,,,374210676.293100,
2020-12-23,155.000000,161.559998,150.250000,158.220001,1759900,0.000000,0.000000,155.000000,161.559998,150.250000,158.220001,,,,,,,,,,50.000000,,,,,,,0.009121,0.001076,,,,,,-0.165110,,,,278451379.759900,
2020-12-24,157.380005,158.600006,153.070007,158.460007,673000,0.000000,0.000000,157.380005,158.600006,153.070007,158.460007,,,,,161.316274,,,,,50.000000,,,,,,,0.001517,0.027560,,,,,,-0.163844,,,,106643584.711000,
2020-12-28,158.250000,158.449997,141.505005,147.889999,3807700,0.000000,0.000000,158.250000,158.449997,141.505005,147.889999,,,,,158.984963,,,,,50.000000,,,,,,,-0.066705,-0.110971,,,,,,-0.219619,,,,563120749.192300,
