Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,14.850000,14.970000,14.730000,14.730000,29600,0.000000,0.000000,14.850000,14.970000,14.730000,14.730000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,436008.000000,
2015-01-05,14.660000,14.820000,14.450000,14.810000,24000,0.000000,0.000000,14.660000,14.820000,14.450000,14.810000,,,,,,,,,,50.000000,,,,,,,0.005431,,,,,,,0.000000,,,,355440.000000,
2015-01-06,14.820000,14.830000,14.440000,14.520000,30200,0.000000,0.000000,14.820000,14.830000,14.440000,14.520000,,,,,,,,,,50.000000,,,,,,,-0.019581,,,,,,,-0.019581,,,,438504.000000,
2015-01-07,14.590000,14.590000,14.170000,14.410000,7900,0.000000,0.000000,14.590000,14.590000,14.170000,14.410000,,,,,,,,,,50.000000,,,,,,,-0.007576,,,,,,,-0.027009,,,,113839.000000,
2015-01-08,14.510000,14.710000,14.480000,14.520000,8100,0.000000,0.000000,14.510000,14.710000,14.480000,14.520000,,,,,,,,,,50.000000,,,,,,,0.007634,,,,,,,-0.019581,,,,117612.000000,
2015-01-09,14.670000,14.980000,14.580000,14.920000,9500,0.000000,0.000000,14.670000,14.980000,14.580000,14.920000,,,,,,,,,,50.000000,,,,,,,0.027548,0.012899,,,,,,0.000000,,,,141740.000000,
2015-01-12,14.930000,15.070000,14.660000,14.710000,33800,0.000000,0.000000,14.930000,15.070000,14.660000,14.710000,,,,,,,,,,50.000000,,,,,,,-0.014075,-0.006752,,,,,,-0.014075,,,,497198.000000,
2015-01-13,15.000000,15.540000,15.000000,15.420000,16600,0.000000,0.000000,15.000000,15.540000,15.000000,15.420000,,,,,,,,,,50.000000,,,,,,,0.048266,0.061983,,,,,,0.000000,,,,255972.000000,
2015-01-14,15.250000,15.500000,14.810000,15.030000,41400,0.000000,0.000000,15.250000,15.500000,14.810000,15.030000,,,,,,,,,,50.000000,,,,,,,-0.025292,0.043026,,,,,,-0.025292,,,,622242.000000,
2015-01-15,15.100000,15.100000,14.850000,14.910000,68100,0.000000,0.000000,15.100000,15.100000,14.850000,14.910000,,,,,,,,,,50.000000,,,,,,,-0.007984,0.026860,,,,,,-0.033074,,,,1015371.000000,
2015-01-16,14.790000,15.090000,14.790000,15.040000,26200,0.000000,0.000000,14.790000,15.090000,14.790000,15.040000,,,,,,,,,,50.000000,,,,,,,0.008719,0.008043,,,,,,-0.024643,,,,394048.000000,
2015-01-20,15.000000,15.110000,14.810000,14.880000,11900,0.000000,0.000000,15.000000,15.110000,14.810000,14.880000,,,,,14.900107,,,,,50.000000,,,,,,,-0.010638,0.011557,,,,,,-0.035019,,,,177072.000000,
2015-01-21,14.850000,14.850000,14.470000,14.570000,10100,0.000000,0.000000,14.850000,14.850000,14.470000,14.570000,,,,,14.842788,,,,,50.000000,,,,,,,-0.020833,-0.055123,,,,,,-0.055123,,,,147157.000000,
2015-01-22,14.490000,14.820000,14.480000,14.520000,10800,0.000000,0.000000,14.490000,14.820000,14.480000,14.520000,,,,,14.787827,,,,,50.000000,,,,,0.407395,0.028058,-0.003432,-0.033932,,,,,,-0.058366,,,,156816.000000,
2015-01-23,14.470000,14.710000,14.460000,14.610000,6600,0.000000,0.000000,14.470000,14.710000,14.460000,14.610000,,,,,14.758038,,,,,45.882992,,,,,0.390640,0.026738,0.006198,-0.020121,,,,,,-0.052529,,,,96426.000000,
2015-01-26,14.590000,14.930000,14.590000,14.770000,11300,0.000000,0.000000,14.590000,14.930000,14.590000,14.770000,,,,,14.760015,,,,,50.263980,,,,,0.385431,0.026096,0.010951,-0.017952,,,,,,-0.042153,,,,166901.000000,
2015-01-27,14.680000,14.770000,14.540000,14.740000,12300,0.000000,0.000000,14.680000,14.770000,14.540000,14.740000,,,,,14.756745,,,,,49.455555,,,,,0.369932,0.025097,-0.002031,-0.009409,,,,,,-0.044099,,,,181302.000000,
2015-01-28,14.760000,15.050000,14.730000,15.050000,10800,0.000000,0.000000,14.760000,15.050000,14.730000,15.050000,,,,,14.804208,,,,,57.128713,,,,,0.365090,0.024258,0.021031,0.032944,,,,,,-0.023995,,,,162540.000000,
2015-01-29,14.970000,15.550000,14.930000,15.550000,13300,0.000000,0.000000,14.970000,15.550000,14.930000,15.550000,,,,,14.923954,,,,,66.074522,,,,,0.389194,0.025029,0.033223,0.070937,,,,,,0.000000,,,,206815.000000,
2015-01-30,15.000000,15.320000,15.000000,15.320000,11900,0.000000,0.000000,15.000000,15.320000,15.000000,15.320000,14.851500,,,,14.987121,,,,,59.884269,14.851500,15.477944,14.225056,0.873936,0.404056,0.026374,-0.014791,0.048597,,,,,,-0.014791,,,19720.000000,182308.000000,
2015-02-02,15.440000,15.560000,15.200000,15.470000,25200,0.000000,0.000000,15.440000,15.560000,15.200000,15.470000,14.888500,,,,15.063704,,,,,62.360903,14.888500,15.569746,14.207254,0.926792,0.400068,0.025861,0.009791,0.047393,,,,,,-0.005145,,,19500.000000,389844.000000,
2015-02-03,15.560000,15.690000,15.440000,15.510000,22300,0.000000,0.000000,15.560000,15.690000,15.440000,15.510000,14.923500,,,,15.134150,,,,,63.016606,14.923500,15.657638,14.189362,0.899448,0.386738,0.024935,0.002586,0.052239,0.052953,,,,0.297805,-0.002572,,,19415.000000,345873.000000,
2015-02-04,15.430000,15.450000,15.220000,15.300000,23900,0.000000,0.000000,15.430000,15.450000,15.220000,15.300000,14.962500,,,,15.160225,,,,,57.366337,14.962500,15.689219,14.235781,0.732208,0.378292,0.024725,-0.013540,0.016611,0.033086,,,,0.302763,-0.016077,,,19100.000000,365670.000000,
2015-02-05,15.280000,15.520000,15.220000,15.440000,11600,0.000000,0.000000,15.280000,15.520000,15.220000,15.440000,15.014000,,,,15.204062,,,,,59.944831,15.014000,15.721595,14.306405,0.801020,0.371564,0.024065,0.009150,-0.007074,0.063361,,,,0.293508,-0.007074,,,19285.000000,179104.000000,
2015-02-06,15.460000,15.520000,15.310000,15.340000,8300,0.000000,0.000000,15.460000,15.520000,15.310000,15.340000,15.055000,,,,15.225302,,,,,57.279980,15.055000,15.736623,14.373377,0.709060,0.357877,0.023330,-0.006477,0.001305,0.064539,,,,0.293029,-0.013505,,,19295.000000,127322.000000,
2015-02-09,15.350000,15.360000,15.120000,15.240000,14100,0.000000,0.000000,15.350000,15.360000,15.120000,15.240000,15.071000,,,,15.227593,15.109745,0.117848,,,54.663006,15.071000,15.754302,14.387698,0.623664,0.348022,0.022836,-0.006519,-0.014867,0.049587,,,,0.294394,-0.019936,,,19525.000000,214884.000000,
2015-02-10,15.290000,15.300000,15.010000,15.070000,12400,0.000000,0.000000,15.290000,15.300000,15.010000,15.070000,15.089000,,,,15.203078,15.106380,0.096699,,,50.443736,15.089000,15.750892,14.427108,0.485647,0.343230,0.022776,-0.011155,-0.028369,0.010054,,,,0.283166,-0.030868,,,18455.000000,186868.000000,
2015-02-11,15.000000,15.170000,14.960000,15.090000,5400,0.000000,0.000000,15.000000,15.170000,14.960000,15.090000,15.072500,,,,15.185518,15.105007,0.080511,,,50.923670,15.072500,15.715842,14.429158,0.513601,0.332347,0.022024,0.001327,-0.013725,0.025833,,,,0.278071,-0.029582,,,17895.000000,81486.000000,
2015-02-12,15.070000,15.450000,15.070000,15.370000,31100,0.000000,0.000000,15.070000,15.450000,15.070000,15.370000,15.089500,,,,15.214125,15.126996,0.087129,,,57.176517,15.089500,15.745949,14.433051,0.713650,0.336200,0.021874,0.018555,-0.004534,-0.003243,,,,0.229775,-0.011576,,,17380.000000,478007.000000,
2015-02-13,15.550000,15.640000,15.500000,15.640000,6900,0.000000,0.000000,15.550000,15.640000,15.500000,15.640000,15.126000,,,,15.280084,15.169190,0.110894,,,62.180461,15.126000,15.820502,14.431498,0.870049,0.330897,0.021157,0.017567,0.019557,0.040585,,,,0.218134,0.000000,,,14320.000000,107916.000000,
2015-02-17,15.680000,15.740000,15.590000,15.650000,28600,0.000000,0.000000,15.680000,15.740000,15.590000,15.650000,15.156500,,,,15.337317,15.208415,0.128902,,,62.355909,15.156500,15.887707,14.425293,0.837456,0.316532,0.020226,0.000639,0.026903,0.049631,,,,0.215193,0.000000,,,14440.000000,447590.000000,
2015-02-18,15.590000,15.670000,15.530000,15.580000,17400,0.000000,0.000000,15.590000,15.670000,15.530000,15.580000,15.191500,,,,15.374831,15.238503,0.136328,,,60.248912,15.191500,15.933908,14.449092,0.761649,0.302624,0.019424,-0.004473,0.033842,0.035904,,,,0.215162,-0.004473,,,14715.000000,271092.000000,
2015-02-19,15.540000,15.630000,15.220000,15.600000,39300,0.000000,0.000000,15.540000,15.630000,15.220000,15.600000,15.243000,,,,15.409613,15.267574,0.142039,,,60.657947,15.243000,15.945720,14.540280,0.754013,0.311022,0.019937,0.001284,0.033797,0.048387,,,,0.210411,-0.003195,,,16175.000000,613080.000000,
2015-02-20,15.490000,15.520000,15.270000,15.270000,5300,0.000000,0.000000,15.490000,15.520000,15.270000,15.270000,15.280500,,,,15.388060,15.267768,0.120293,0.120654,-0.000361,51.281465,15.280500,15.895316,14.665684,0.491461,0.312496,0.020465,-0.021154,-0.006506,0.048044,,,,0.210858,-0.024281,,,15900.000000,80931.000000,
2015-02-23,15.280000,15.420000,15.140000,15.400000,37600,0.000000,0.000000,15.280000,15.420000,15.140000,15.400000,15.320000,,,,15.389903,15.278273,0.111629,0.118632,-0.007003,54.279763,15.320000,15.848951,14.791049,0.575621,0.309988,0.020129,0.008513,-0.015345,0.060606,,,,0.210813,-0.015974,,,17450.000000,579040.000000,
2015-02-24,15.420000,15.500000,15.300000,15.400000,20800,0.000000,0.000000,15.420000,15.500000,15.300000,15.400000,15.351500,,,,15.391460,15.287893,0.103567,0.115336,-0.011769,54.279763,15.351500,15.813317,14.889683,0.552510,0.301545,0.019581,0.000000,-0.015974,0.054073,,,,0.210680,-0.015974,,,17925.000000,320320.000000,
2015-02-25,15.420000,15.550000,15.370000,15.440000,28800,0.000000,0.000000,15.420000,15.550000,15.370000,15.440000,15.386500,,,,15.398943,15.299853,0.099090,0.111847,-0.012757,55.262280,15.386500,15.748499,15.024501,0.573895,0.292266,0.018929,0.002597,-0.008986,0.045362,,,,0.208481,-0.013419,,,18750.000000,444672.000000,
