Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2021-02-10,43.000000,50.000000,43.000000,44.990002,1836900,0.000000,0.000000,33.603265,39.073564,33.603265,35.158394,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,82642134.673800,
2021-02-11,45.470001,45.470001,42.750000,42.799999,1652100,0.000000,0.000000,35.533494,35.533494,33.407891,33.446964,,,,,,,,,,50.000000,,,,,,,-0.048678,,,,,,,-0.048678,,,,70709878.347900,
2021-02-12,43.009998,43.500000,41.549999,42.509998,2088200,0.000000,0.000000,33.611069,33.993991,32.470122,33.220333,,,,,,,,,,50.000000,,,,,,,-0.006776,,,,,,,-0.055124,,,,88769377.823600,
2021-02-16,44.200001,45.540001,43.009998,43.549999,1369100,0.000000,0.000000,34.541027,35.588199,33.611074,34.033070,,,,,,,,,,50.000000,,,,,,,0.024465,,,,,,,-0.032007,,,,59624303.630900,
2021-02-17,44.029999,44.599998,43.500000,44.259998,1910200,0.000000,0.000000,34.408164,34.853602,33.993985,34.587902,,,,,,,,,,50.000000,,,,,,,0.016303,,,,,,,-0.016226,,,,84545448.179600,
2021-02-18,44.240002,45.000000,42.779999,43.000000,1589500,0.000000,0.000000,34.572282,35.166198,33.431332,33.603256,,,,,,,,,,50.000000,,,,,,,-0.028468,-0.044232,,,,,,-0.044232,,,,68348500.000000,
2021-02-19,43.660000,44.630001,43.009998,44.000000,1048200,0.000000,0.000000,34.119027,34.877055,33.611070,34.384727,,,,,,,,,,50.000000,,,,,,,0.023256,0.028037,,,,,,-0.022005,,,,46120800.000000,
2021-02-22,44.840000,45.029999,43.650002,43.840000,1449400,0.000000,0.000000,35.041164,35.189643,34.111215,34.259693,,,,,,,,,,50.000000,,,,,,,-0.003636,0.031287,,,,,,-0.025561,,,,63541696.000000,
2021-02-23,43.950001,43.950001,42.000000,43.660000,888400,0.000000,0.000000,34.345650,34.345650,32.821781,34.119022,,,,,,,,,,50.000000,,,,,,,-0.004106,0.002526,,,,,,-0.029563,,,,38787544.000000,
2021-02-24,43.240002,45.080002,42.639999,45.000000,3153100,0.000000,0.000000,33.790807,35.228714,33.321923,35.166195,,,,,,,,,,50.000000,,,,,,,0.030692,0.016720,,,,,,0.000000,,,,141889500.000000,
2021-02-25,45.320000,45.500000,44.099998,44.750000,2485000,0.000000,0.000000,35.416275,35.556940,34.462879,34.970837,,,,,,,,,,50.000000,,,,,,,-0.005555,0.040698,,,,,,-0.005555,,,,111203750.000000,
2021-02-26,44.560001,44.939999,43.415001,44.180000,466100,0.000000,0.000000,34.822362,35.119319,33.927577,34.525402,,,,,34.445668,,,,,50.000000,,,,,,,-0.012737,0.004091,,,,,,-0.018222,,,,20592298.000000,
2021-03-01,44.450001,45.279999,44.080002,44.669998,718900,0.000000,0.000000,34.736388,35.385008,34.447245,34.908310,,,,,34.526000,,,,,50.000000,,,,,,,0.011091,0.018932,,,,,,-0.007333,,,,32113261.562200,
2021-03-02,44.669998,46.750000,44.669998,45.299999,756600,0.000000,0.000000,34.908311,36.533772,34.908311,35.400639,,,,,34.674923,,,,,50.000000,,,,,1.602224,0.045260,0.014103,0.037563,,,,,,0.000000,,,,34273979.243400,
2021-03-03,45.509998,47.639999,45.220001,47.250000,1214600,0.000000,0.000000,35.564750,37.229284,35.338126,36.924511,,,,,35.051768,,,,,68.076136,,,,,1.632983,0.044225,0.043046,0.050000,,,,,,0.000000,,,,57389850.000000,
2021-03-04,47.660000,48.790001,45.790001,46.180000,679700,0.000000,0.000000,37.244910,38.127973,35.783560,36.088333,,,,,35.223068,,,,,59.202973,,,,,1.706155,0.047277,-0.022646,0.031955,,,,,,-0.022646,,,,31388546.000000,
2021-03-05,47.000000,47.080002,44.020000,45.029999,968200,0.000000,0.000000,36.729151,36.791670,34.400367,35.189651,,,,,35.217608,,,,,51.442354,,,,,1.774477,0.050426,-0.024902,0.019239,,,,,,-0.046984,,,,43598045.031800,
2021-03-08,44.689999,45.130001,43.009998,44.369999,1125500,0.000000,0.000000,34.923941,35.267790,33.611069,34.673870,,,,,35.129605,,,,,47.586829,,,,,1.763058,0.050847,-0.014657,-0.006716,,,,,,-0.060952,,,,49938433.874500,
2021-03-09,43.689999,44.939999,43.618999,44.279999,183400,0.000000,0.000000,34.142463,35.119302,34.086979,34.603531,,,,,35.045137,,,,,47.068732,,,,,1.693960,0.048953,-0.002029,-0.022517,,,,,,-0.062857,,,,8120951.816600,
2021-03-10,44.259998,44.869999,43.770000,44.750000,484300,0.000000,0.000000,34.587914,35.064612,34.204995,34.970837,34.711774,,,,35.033287,,,,,50.122561,34.711774,36.447610,32.975937,0.574622,1.616848,0.046234,0.010615,-0.052910,,,,,,-0.052910,,,1303370.000000,21672425.000000,
2021-03-11,44.750000,45.820000,44.509998,45.340000,578900,0.000000,0.000000,34.970832,35.807006,34.783278,35.431900,34.725449,,,,35.096505,,,,,53.731154,34.725449,36.480306,32.970592,0.701284,1.563158,0.044117,0.013184,-0.018190,,,,,,-0.040423,,,1240470.000000,26247326.000000,
2021-03-12,46.130001,46.310001,44.889999,45.750000,684300,0.000000,0.000000,36.049268,36.189933,35.080242,35.752308,34.840716,,,,35.200022,,,,,56.107720,34.840716,36.544082,33.137350,0.767585,1.522879,0.042595,0.009043,0.015989,0.016893,,,,0.349041,-0.031746,,,1192080.000000,31306725.000000,
2021-03-15,45.919998,46.250000,45.099998,45.750000,626800,0.000000,0.000000,35.885157,36.143043,35.244350,35.752308,34.967315,,,,35.286851,,,,,56.107720,34.967315,36.534527,33.400103,0.750442,1.468383,0.041071,0.000000,0.031102,0.068925,,,,0.298814,-0.031746,,,1119010.000000,28676100.000000,
2021-03-16,45.779999,45.875000,43.945000,44.810001,717600,0.000000,0.000000,35.775752,35.849993,34.341753,35.017727,35.016548,,,,35.244682,,,,,49.365672,35.016548,36.520786,33.512310,0.500392,1.471808,0.042030,-0.020546,0.011970,0.054105,,,,0.308347,-0.051640,,,1086435.000000,32155656.717600,
2021-03-17,44.869999,45.599998,44.200001,45.279999,543100,0.000000,0.000000,35.064599,35.635073,34.541015,35.385002,35.056403,,,,35.266606,,,,,52.442642,35.056403,36.555050,33.557756,0.609632,1.439808,0.040690,0.010488,0.011843,0.039724,,,,0.299588,-0.041693,,,1018080.000000,24591567.456900,
2021-03-18,44.919998,45.250000,43.220001,43.500000,886900,0.000000,0.000000,35.103687,35.361574,33.775188,33.993999,35.075940,,,,35.068243,35.013805,0.054438,,,42.026193,35.075940,36.503316,33.648564,0.121003,1.454021,0.042773,-0.039311,-0.040582,-0.017171,,,,0.326892,-0.079365,,,982950.000000,38580150.000000,
2021-03-19,43.299999,43.759998,42.799999,43.310001,537100,0.000000,0.000000,33.837692,34.197168,33.446957,33.845509,35.048979,,,,34.878039,34.914881,-0.036841,,,41.087975,35.048979,36.549808,33.548151,0.099065,1.395889,0.041243,-0.004368,-0.053334,0.007209,,,,0.311315,-0.083386,,,957395.000000,23261801.537100,
2021-03-22,43.230000,43.500000,41.919998,42.750000,539100,0.000000,0.000000,33.782988,33.993986,32.759260,33.407883,35.006389,,,,34.649738,34.788615,-0.138877,,,38.369296,35.006389,36.643668,33.369109,0.011841,1.382724,0.041389,-0.012930,-0.065574,-0.028409,,,,0.303154,-0.095238,,,911880.000000,23046525.000000,
2021-03-23,42.279999,42.720001,41.040001,41.700001,447000,0.000000,0.000000,33.040601,33.384450,32.071578,32.587349,34.929805,,,,34.329930,34.605954,-0.276024,,,33.847159,34.929805,36.859097,33.000514,-0.107077,1.378971,0.042316,-0.024561,-0.069404,-0.048814,,,,0.313755,-0.117460,,,889810.000000,18639900.447000,
2021-03-24,42.500000,42.799999,41.279999,41.599998,688700,0.000000,0.000000,33.212526,33.446967,32.259131,32.509201,34.796955,,,,34.047940,34.433501,-0.385561,,,33.442891,34.796955,37.003679,32.590231,-0.018360,1.363661,0.041947,-0.002398,-0.081272,-0.047183,,,,0.313680,-0.119577,,,766590.000000,28649918.622600,
2021-03-25,41.150002,42.330002,40.000000,42.160000,675200,0.000000,0.000000,32.157535,33.079671,31.258842,32.946819,34.695754,,,,33.877577,34.312216,-0.434640,,,37.914843,34.695754,37.049640,32.341869,0.128500,1.399965,0.042492,0.013461,-0.030805,-0.063111,,,,0.296164,-0.107725,,,676100.000000,28466432.000000,
2021-03-26,42.270000,43.340000,42.139999,43.330002,325000,0.000000,0.000000,33.032777,33.868951,32.931185,33.861137,34.662541,,,,33.875035,34.275691,-0.400656,,,46.068167,34.662541,37.045118,32.279965,0.331820,1.363552,0.040269,0.027751,0.000462,-0.031732,,,,0.314364,-0.082963,,,669045.000000,14082250.650000,
2021-03-29,43.400002,43.509998,42.340000,42.520000,204000,0.000000,0.000000,33.915849,34.001808,33.087488,33.228153,34.578533,,,,33.775112,34.191450,-0.416338,,,41.959876,34.578533,37.041741,32.115326,0.225890,1.328419,0.039979,-0.018694,-0.005380,-0.037574,,,,0.317742,-0.100106,,,643300.000000,8674080.000000,
