Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,11.962500,12.085000,11.767500,11.850000,5365600,0.000000,0.000000,8.781097,8.871019,8.637957,8.698517,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,63582360.000000,
2015-01-05,11.787500,11.815000,11.600000,11.647500,7647600,0.000000,0.000000,8.652639,8.672825,8.515004,8.549871,,,,,,,,,,50.000000,,,,,,,-0.017089,,,,,,,-0.017089,,,,89075421.000000,
2015-01-06,11.670000,11.675000,11.300000,11.447500,7152800,0.000000,0.000000,8.566384,8.570055,8.294785,8.403058,,,,,,,,,,50.000000,,,,,,,-0.017171,,,,,,,-0.033967,,,,81881678.000000,
2015-01-07,11.435000,11.502500,11.282500,11.372500,8587600,0.000000,0.000000,8.393884,8.443431,8.281941,8.348005,,,,,,,,,,50.000000,,,,,,,-0.006552,,,,,,,-0.040296,,,,97662481.000000,
2015-01-08,11.490000,11.635000,11.455000,11.630000,6368000,0.000000,0.000000,8.434254,8.540692,8.408562,8.537022,,,,,,,,,,50.000000,,,,,,,0.022642,,,,,,,-0.018566,,,,74059840.000000,
2015-01-09,11.617500,11.647500,11.490000,11.497500,8340800,0.000000,0.000000,8.527848,8.549870,8.434256,8.439762,,,,,,,,,,50.000000,,,,,,,-0.011393,-0.029747,,,,,,-0.029747,,,,95898348.000000,
2015-01-12,11.472500,11.562500,11.332500,11.415000,5691600,0.000000,0.000000,8.421410,8.487475,8.318643,8.379202,,,,,,,,,,50.000000,,,,,,,-0.007176,-0.019962,,,,,,-0.036709,,,,64969614.000000,
2015-01-13,11.497500,11.757500,11.327500,11.470000,11634400,0.000000,0.000000,8.439761,8.630614,8.314972,8.419575,,,,,,,,,,50.000000,,,,,,,0.004818,0.001966,,,,,,-0.032068,,,,133446568.000000,
2015-01-14,11.387500,11.440000,11.095000,11.232500,17346400,0.000000,0.000000,8.359020,8.397558,8.144310,8.245242,,,,,,,,,,50.000000,,,,,,,-0.020706,-0.012310,,,,,,-0.052109,,,,194843438.000000,
2015-01-15,11.267500,11.515000,10.962500,10.997500,19794000,0.000000,0.000000,8.270929,8.452608,8.047043,8.072736,,,,,,,,,,50.000000,,,,,,,-0.020922,-0.054385,,,,,,-0.071941,,,,217684515.000000,
2015-01-16,10.985000,11.325000,10.930000,11.312500,13072400,0.000000,0.000000,8.063561,8.313139,8.023189,8.303964,,,,,,,,,,50.000000,,,,,,,0.028643,-0.016090,,,,,,-0.045359,,,,147881525.000000,
2015-01-20,11.327500,11.420000,11.235000,11.350000,8673200,0.000000,0.000000,8.314971,8.382871,8.247071,8.331488,,,,,8.336536,,,,,50.000000,,,,,,,0.003315,-0.005694,,,,,,-0.042194,,,,98440820.000000,
2015-01-21,11.300000,11.510000,11.257500,11.467500,6460400,0.000000,0.000000,8.294788,8.448939,8.263591,8.417742,,,,,8.350637,,,,,50.000000,,,,,,,0.010353,-0.000218,,,,,,-0.032278,,,,74084637.000000,
