Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,131.720001,132.399994,128.440002,130.330002,496300,0.000000,0.000000,131.720001,132.399994,128.440002,130.330002,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,64682779.992600,
2015-01-05,132.190002,132.990005,128.970001,129.759995,1355100,0.000000,0.000000,132.190002,132.990005,128.970001,129.759995,,,,,,,,,,50.000000,,,,,,,-0.004374,,,,,,,-0.004374,,,,175837769.224500,
2015-01-06,128.000000,129.470001,126.690002,126.730003,958500,0.000000,0.000000,128.000000,129.470001,126.690002,126.730003,,,,,,,,,,50.000000,,,,,,,-0.023351,,,,,,,-0.027622,,,,121470707.875500,
2015-01-07,127.550003,129.429993,127.260002,128.350006,666000,0.000000,0.000000,127.550003,129.429993,127.260002,128.350006,,,,,,,,,,50.000000,,,,,,,0.012783,,,,,,,-0.015192,,,,85481103.996000,
2015-01-08,129.800003,131.070007,128.729996,129.649994,1092000,0.000000,0.000000,129.800003,131.070007,128.729996,129.649994,,,,,,,,,,50.000000,,,,,,,0.010128,,,,,,,-0.005218,,,,141577793.448000,
2015-01-09,129.820007,130.550003,128.309998,129.889999,722500,0.000000,0.000000,129.820007,130.550003,128.309998,129.889999,,,,,,,,,,50.000000,,,,,,,0.001851,-0.003376,,,,,,-0.003376,,,,93845524.277500,
2015-01-12,130.449997,130.449997,127.379997,127.919998,665300,0.000000,0.000000,130.449997,130.449997,127.379997,127.919998,,,,,,,,,,50.000000,,,,,,,-0.015167,-0.014180,,,,,,-0.018492,,,,85105174.669400,
2015-01-13,128.669998,132.220001,127.489998,128.669998,848500,0.000000,0.000000,128.669998,132.220001,127.489998,128.669998,,,,,,,,,,50.000000,,,,,,,0.005863,0.015308,,,,,,-0.012737,,,,109176493.303000,
2015-01-14,125.059998,126.050003,122.110001,125.599998,1375200,0.000000,0.000000,125.059998,126.050003,122.110001,125.599998,,,,,,,,,,50.000000,,,,,,,-0.023859,-0.021426,,,,,,-0.036293,,,,172725117.249600,
2015-01-15,126.599998,127.669998,124.110001,124.220001,869900,0.000000,0.000000,126.599998,127.669998,124.110001,124.220001,,,,,,,,,,50.000000,,,,,,,-0.010987,-0.041882,,,,,,-0.046881,,,,108058978.869900,
2015-01-16,124.459999,126.449997,123.970001,126.290001,790700,0.000000,0.000000,124.459999,126.449997,123.970001,126.290001,,,,,,,,,,50.000000,,,,,,,0.016664,-0.027716,,,,,,-0.030998,,,,99857503.790700,
2015-01-20,127.260002,127.300003,125.199997,126.250000,1017400,0.000000,0.000000,127.260002,127.300003,125.199997,126.250000,,,,,127.052204,,,,,50.000000,,,,,,,-0.000317,-0.013055,,,,,,-0.031305,,,,128446750.000000,
2015-01-21,126.750000,127.669998,125.120003,125.949997,3366800,0.000000,0.000000,126.750000,127.669998,125.120003,125.949997,,,,,126.860819,,,,,50.000000,,,,,,,-0.002376,-0.021139,,,,,,-0.033607,,,,424048449.899600,
2015-01-22,108.650002,114.620003,108.599998,113.400002,9268900,0.000000,0.000000,108.650002,114.620003,108.599998,113.400002,,,,,124.568872,,,,,50.000000,,,,,4.866756,0.042917,-0.099643,-0.097134,,,,,,-0.129901,,,,1051093278.537800,
2015-01-23,113.150002,115.300003,112.500000,114.849998,2103100,0.000000,0.000000,113.150002,115.300003,112.500000,114.849998,,,,,122.940794,,,,,21.939707,,,,,4.646740,0.040459,0.012787,-0.075431,,,,,,-0.118775,,,,241541030.793800,
2015-01-26,114.550003,114.870003,111.849998,114.300003,1497200,0.000000,0.000000,114.550003,114.870003,111.849998,114.300003,,,,,121.512835,,,,,21.372341,,,,,4.479426,0.039190,-0.004789,-0.094940,,,,,,-0.122995,,,,171129964.491600,
2015-01-27,112.699997,114.629997,112.050003,113.190002,1201000,0.000000,0.000000,112.699997,114.629997,112.050003,113.190002,,,,,120.152940,,,,,20.235014,,,,,4.290017,0.037901,-0.009711,-0.103446,,,,,,-0.131512,,,,135941192.402000,
2015-01-28,114.669998,115.139999,112.839996,112.839996,1895200,0.000000,0.000000,114.669998,115.139999,112.839996,112.839996,,,,,118.969354,,,,,19.875848,,,,,4.097034,0.036308,-0.003092,-0.104089,,,,,,-0.134198,,,,213854360.419200,
