Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,8.455162,8.470234,8.259231,8.364732,4173548,0.000000,0.000000,8.455162,8.470234,8.259231,8.364732,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,34910610.509136,
2015-01-05,8.296910,8.304446,8.100980,8.153730,5453174,0.000000,0.000000,8.296910,8.304446,8.100980,8.153730,,,,,,,,,,50.000000,,,,,,,-0.025225,,,,,,,-0.025225,,,,44463708.439020,
2015-01-06,8.153730,8.168802,7.799548,7.889977,12642993,0.000000,0.000000,8.153730,8.168802,7.799548,7.889977,,,,,,,,,,50.000000,,,,,,,-0.032348,,,,,,,-0.056757,,,,99752923.981161,
2015-01-07,7.950264,8.221552,7.912585,8.206481,10338657,0.000000,0.000000,7.950264,8.221552,7.912585,8.206481,,,,,,,,,,50.000000,,,,,,,0.040115,,,,,,,-0.018919,,,,84843992.236017,
2015-01-08,8.244160,8.372268,8.229088,8.357197,4657107,0.000000,0.000000,8.244160,8.372268,8.229088,8.357197,,,,,,,,,,50.000000,,,,,,,0.018365,,,,,,,-0.000901,,,,38920360.649079,
2015-01-09,8.357197,8.417483,8.304446,8.357197,3423129,0.000000,0.000000,8.357197,8.417483,8.304446,8.357197,,,,,,,,,,50.000000,,,,,,,0.000000,-0.000901,,,,,,-0.000901,,,,28607763.409413,
2015-01-12,8.334589,8.379804,8.070836,8.146194,4384143,0.000000,0.000000,8.334589,8.379804,8.070836,8.146194,,,,,,,,,,50.000000,,,,,,,-0.025248,-0.000924,,,,,,-0.026126,,,,35714079.401742,
2015-01-13,8.191409,8.334589,8.025622,8.138659,6131271,0.000000,0.000000,8.191409,8.334589,8.025622,8.138659,,,,,,,,,,50.000000,,,,,,,-0.000925,0.031519,,,,,,-0.027027,,,,49900323.905589,
2015-01-14,8.063301,8.221552,8.003014,8.153730,6357790,0.000000,0.000000,8.063301,8.221552,8.003014,8.153730,,,,,,,,,,50.000000,,,,,,,0.001852,-0.006428,,,,,,-0.025225,,,,51839703.056700,
2015-01-15,8.206481,8.236624,8.033157,8.048229,4523345,0.000000,0.000000,8.206481,8.236624,8.033157,8.048229,,,,,,,,,,50.000000,,,,,,,-0.012939,-0.036970,,,,,,-0.037838,,,,36404916.406005,
2015-01-16,8.055765,8.206481,8.003014,8.191409,3374826,0.000000,0.000000,8.055765,8.206481,8.003014,8.191409,,,,,,,,,,50.000000,,,,,,,0.017790,-0.019838,,,,,,-0.020721,,,,27644580.069834,
