Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-05-14,14.517506,14.517506,14.517506,14.517506,0,0.000000,0.000000,7.332282,7.332282,7.332282,7.332282,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,0.000000,
2015-05-15,13.663535,14.483348,13.535440,14.133219,12318920,0.000000,0.000000,6.900970,7.315028,6.836274,7.138190,,,,,,,,,,50.000000,,,,,,,-0.026471,,,,,,,-0.026471,,,,174105994.203480,
2015-05-18,14.047822,14.304014,13.962425,14.047822,1717389,0.000000,0.000000,7.095059,7.224453,7.051928,7.095059,,,,,,,,,,50.000000,,,,,,,-0.006042,,,,,,,-0.032353,,,,24125574.976758,
2015-05-19,14.030743,14.449189,14.030743,14.432109,784687,0.000000,0.000000,7.086433,7.297776,7.086433,7.289149,,,,,,,,,,50.000000,,,,,,,0.027356,,,,,,,-0.005883,,,,11324688.314883,
2015-05-20,14.389411,14.602904,14.090521,14.133219,719111,0.000000,0.000000,7.267584,7.375412,7.116625,7.138190,,,,,,,,,,50.000000,,,,,,,-0.020710,,,,,,,-0.026471,,,,10163353.248309,
2015-05-21,14.090521,14.235696,14.005124,14.090521,223427,0.000000,0.000000,7.116625,7.189948,7.073494,7.116625,,,,,,,,,,50.000000,,,,,,,-0.003021,-0.029412,,,,,,-0.029412,,,,3148202.835467,
2015-05-22,14.039283,14.124680,14.005124,14.090521,133728,0.000000,0.000000,7.090747,7.133878,7.073494,7.116625,,,,,,,,,,50.000000,,,,,,,0.000000,-0.003021,,,,,,-0.029412,,,,1884297.192288,
2015-05-26,14.116140,14.116140,13.689155,14.107600,354696,0.000000,0.000000,7.129566,7.129566,6.913910,7.125252,,,,,,,,,,50.000000,,,,,,,0.001212,0.004255,,,,,,-0.028235,,,,5003909.289600,
2015-05-27,14.133219,14.218617,13.894108,14.099061,215464,0.000000,0.000000,7.138192,7.181324,7.017426,7.120940,,,,,,,,,,50.000000,,,,,,,-0.000605,-0.023077,,,,,,-0.028823,,,,3037840.079304,
2015-05-28,14.090521,14.124680,13.970965,14.090521,85015,0.000000,0.000000,7.116625,7.133878,7.056242,7.116625,,,,,,,,,,50.000000,,,,,,,-0.000606,-0.003021,,,,,,-0.029412,,,,1197905.642815,
