Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2018-09-13,30.000000,30.000000,30.000000,30.000000,1000,0.000000,0.000000,30.000000,30.000000,30.000000,30.000000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,30000.000000,
2018-09-14,32.250000,37.259998,32.250000,37.000000,256800,0.000000,0.000000,32.250000,37.259998,32.250000,37.000000,,,,,,,,,,50.000000,,,,,,,0.233333,,,,,,,0.000000,,,,9501600.000000,
2018-09-17,37.000000,37.000000,33.500000,37.000000,180400,0.000000,0.000000,37.000000,37.000000,33.500000,37.000000,,,,,,,,,,50.000000,,,,,,,0.000000,,,,,,,0.000000,,,,6674800.000000,
2018-09-18,37.599998,37.599998,37.099998,37.099998,3100,0.000000,0.000000,37.599998,37.599998,37.099998,37.099998,,,,,,,,,,50.000000,,,,,,,0.002703,,,,,,,0.000000,,,,115009.993800,
2018-09-19,37.000000,38.000000,37.000000,37.500000,258900,0.000000,0.000000,37.000000,38.000000,37.000000,37.500000,,,,,,,,,,50.000000,,,,,,,0.010782,,,,,,,0.000000,,,,9708750.000000,
2018-09-20,38.000000,40.000000,37.950001,38.000000,63300,0.000000,0.000000,38.000000,40.000000,37.950001,38.000000,,,,,,,,,,50.000000,,,,,,,0.013333,0.266667,,,,,,0.000000,,,,2405400.000000,
2018-09-21,38.650002,38.849998,38.500000,38.709999,90400,0.000000,0.000000,38.650002,38.849998,38.500000,38.709999,,,,,,,,,,50.000000,,,,,,,0.018684,0.046216,,,,,,0.000000,,,,3499383.909600,
2018-09-24,39.000000,39.099998,38.709999,39.070000,25800,0.000000,0.000000,39.000000,39.099998,38.709999,39.070000,,,,,,,,,,50.000000,,,,,,,0.009300,0.055946,,,,,,0.000000,,,,1008006.000000,
2018-09-25,39.250000,43.619999,39.250000,40.049999,79400,0.000000,0.000000,39.250000,43.619999,39.250000,40.049999,,,,,,,,,,50.000000,,,,,,,0.025083,0.079515,,,,,,0.000000,,,,3179969.920600,
2018-09-26,40.000000,40.000000,40.000000,40.000000,48600,0.000000,0.000000,40.000000,40.000000,40.000000,40.000000,,,,,,,,,,50.000000,,,,,,,-0.001248,0.066667,,,,,,-0.001248,,,,1944000.000000,
2018-09-27,40.000000,43.820000,40.000000,43.820000,74200,0.000000,0.000000,40.000000,43.820000,40.000000,43.820000,,,,,,,,,,50.000000,,,,,,,0.095500,0.153158,,,,,,0.000000,,,,3251444.000000,
2018-09-28,42.000000,42.000000,40.009998,41.000000,51800,0.000000,0.000000,42.000000,42.000000,40.009998,41.000000,,,,,39.667574,,,,,50.000000,,,,,,,-0.064354,0.059158,,,,,,-0.064354,,,,2123800.000000,
2018-10-01,41.500000,46.230000,40.750000,42.000000,1821700,0.000000,0.000000,41.500000,46.230000,40.750000,42.000000,,,,,40.072571,,,,,50.000000,,,,,,,0.024390,0.074994,,,,,,-0.041534,,,,76511400.000000,
2018-10-02,42.000000,45.000000,42.000000,43.540001,2629200,0.000000,0.000000,42.000000,45.000000,42.000000,43.540001,,,,,40.662964,,,,,50.000000,,,,,2.774550,0.063724,0.036667,0.087141,,,,,,-0.006390,,,,114475370.629200,
2018-10-03,43.020000,44.349998,42.509998,42.939999,1672800,0.000000,0.000000,43.020000,44.349998,42.509998,42.939999,,,,,41.044406,,,,,76.716303,,,,,2.675063,0.062298,-0.013780,0.073500,,,,,,-0.020082,,,,71830030.327200,
2018-10-04,43.500000,45.660000,42.560001,43.660000,2234200,0.000000,0.000000,43.500000,45.660000,42.560001,43.660000,,,,,41.476654,,,,,78.084259,,,,,2.718769,0.062271,0.016768,-0.003651,,,,,,-0.003651,,,,97545172.000000,
2018-10-05,43.380001,45.500000,43.220001,45.160000,1262400,0.000000,0.000000,43.380001,45.500000,43.220001,45.160000,,,,,42.078488,,,,,80.636631,,,,,2.675015,0.059234,0.034356,0.101463,,,,,,0.000000,,,,57009984.000000,
2018-10-08,45.090000,47.990002,42.939999,46.540001,1004800,0.000000,0.000000,45.090000,47.990002,42.939999,46.540001,,,,,42.800575,,,,,82.639791,,,,,2.905330,0.062427,0.030558,0.108095,,,,,,0.000000,,,,46763393.004800,
2018-10-09,46.349998,49.529999,45.500000,48.570000,1827800,0.000000,0.000000,46.349998,49.529999,45.500000,48.570000,,,,,43.726933,,,,,85.084241,,,,,3.011679,0.062007,0.043618,0.115526,,,,,,0.000000,,,,88776246.000000,
2018-10-10,48.549999,49.919998,43.970001,44.209999,1534500,0.000000,0.000000,48.549999,49.919998,43.970001,44.209999,40.793500,,,,43.803978,,,,,64.181200,40.793500,49.270442,32.316558,0.701517,3.283244,0.074265,-0.089767,0.029576,,,,,,-0.089767,,,756055.000000,67840243.465500,
2018-10-11,43.759998,44.880001,38.680000,39.480000,1876700,0.000000,0.000000,43.759998,44.880001,38.680000,39.480000,41.267500,,,,43.118210,,,,,49.867880,41.267500,48.104862,34.430138,0.369284,3.547273,0.089850,-0.106989,-0.095740,,,,,,-0.187153,,,849840.000000,74092116.000000,
2018-10-12,45.950001,46.009998,39.740002,39.980000,1350800,0.000000,0.000000,45.950001,46.009998,39.740002,39.980000,41.416500,,,,42.622854,,,,,51.109115,41.416500,47.986965,34.846035,0.390685,3.812215,0.095353,0.012665,-0.114703,0.332667,,,,1.064480,-0.176858,,,904540.000000,54004984.000000,
2018-10-15,39.720001,40.639999,38.029999,39.750000,758200,0.000000,0.000000,39.720001,40.639999,38.029999,39.750000,41.554000,,,,42.171190,,,,,50.489839,41.554000,47.844442,35.263557,0.356608,3.707254,0.093264,-0.005753,-0.145896,0.074324,,,,0.713005,-0.181594,,,933430.000000,30138450.000000,
2018-10-16,40.310001,41.049999,39.000000,40.410000,1264100,0.000000,0.000000,40.310001,41.049999,39.000000,40.410000,41.719500,,,,41.895230,,,,,52.276805,41.719500,47.682168,35.756832,0.390192,3.564826,0.088216,0.016604,-0.168005,0.092162,,,,0.714031,-0.168005,,,996480.000000,51082281.000000,
2018-10-17,40.130001,40.410000,38.500000,38.970001,658300,0.000000,0.000000,40.130001,40.410000,38.500000,38.970001,41.793000,,,,41.438177,,,,,48.190017,41.793000,47.570018,36.015981,0.255670,3.424641,0.087879,-0.035635,-0.118525,0.050404,,,,0.727933,-0.197653,,,1016450.000000,25653951.658300,
2018-10-18,39.009998,39.540001,38.230000,38.340000,608200,0.000000,0.000000,39.009998,39.540001,38.230000,38.340000,41.810000,,,,40.955260,41.127171,-0.171910,,,46.478091,41.810000,47.541847,36.078153,0.197305,3.247853,0.084712,-0.016166,-0.028875,0.022400,,,,0.730457,-0.210624,,,1043695.000000,23318388.000000,
2018-10-19,38.290001,38.290001,36.549999,37.259998,746500,0.000000,0.000000,38.290001,38.290001,36.549999,37.259998,41.737500,,,,40.380439,40.799721,-0.419282,,,43.617494,41.737500,47.667694,35.807306,0.122483,3.127439,0.083936,-0.028169,-0.068034,-0.019474,,,,0.736529,-0.232860,,,1076500.000000,27814588.507000,
2018-10-22,37.000000,37.799999,36.330002,37.599998,841300,0.000000,0.000000,37.000000,37.799999,36.330002,37.599998,41.664000,,,,39.948663,40.531629,-0.582966,,,44.769946,41.664000,47.767312,35.560687,0.167066,2.992052,0.079576,0.009125,-0.054088,-0.028675,,,,0.734233,-0.225860,,,1117275.000000,31632878.317400,
2018-10-23,36.900002,38.500000,35.860001,37.919998,650300,0.000000,0.000000,36.900002,38.500000,35.860001,37.919998,41.557500,,,,39.634084,40.314916,-0.680831,,,45.890942,41.557500,47.850775,35.264225,0.211001,2.963587,0.078154,0.008511,-0.061618,-0.029434,,,,0.734107,-0.219271,,,1145820.000000,24659374.699400,
2018-10-24,37.790001,37.790001,35.740002,35.990002,596200,0.000000,0.000000,37.790001,37.790001,35.740002,35.990002,41.357000,,,,39.069697,39.959202,-0.889504,,,40.545729,41.357000,48.098739,34.615261,0.101957,2.900821,0.080601,-0.050897,-0.076469,-0.101373,,,,0.747951,-0.259008,,,1173200.000000,21457239.192400,
2018-10-25,36.040001,37.840000,33.230000,35.000000,826900,0.000000,0.000000,36.040001,37.840000,33.230000,35.000000,40.916000,,,,38.440042,39.554626,-1.114584,,,38.094602,40.916000,48.117577,33.714423,0.089257,3.036550,0.086759,-0.027508,-0.087115,-0.125000,,,,0.752253,-0.279391,,,1210835.000000,28941500.000000,
2018-10-26,34.299999,35.119999,32.759998,33.230000,852900,0.000000,0.000000,34.299999,35.119999,32.759998,33.230000,40.527500,,,,37.634656,39.042502,-1.407846,,,34.122802,40.527500,48.506377,32.548623,0.042699,2.983249,0.089776,-0.050571,-0.108159,-0.241670,,,,0.671614,-0.315833,,,1250890.000000,28341867.000000,
2018-10-29,33.240002,33.380001,31.719999,31.850000,899900,0.000000,0.000000,33.240002,33.380001,31.719999,31.850000,40.020000,,,,36.741104,38.464094,-1.722990,,,31.376090,40.020000,48.850288,31.189712,0.037388,2.879762,0.090416,-0.041529,-0.152925,-0.223171,,,,0.653698,-0.344245,,,1204800.000000,28661815.000000,
2018-10-30,31.469999,31.670000,30.540001,31.600000,675800,0.000000,0.000000,31.469999,31.670000,30.540001,31.600000,39.423000,,,,35.947455,37.915576,-1.968121,-1.311006,-0.657115,30.890974,39.423000,48.845864,30.000136,0.084893,2.757821,0.087273,-0.007849,-0.166667,-0.247619,,,,0.641050,-0.349393,,,1107130.000000,21355280.000000,
2018-10-31,32.020000,34.480000,31.920000,34.049999,927400,0.000000,0.000000,32.020000,34.480000,31.920000,34.049999,38.978500,,,,35.654693,37.608466,-1.953773,-1.455023,-0.498749,40.585948,38.978500,48.540513,29.416486,0.242287,2.767253,0.081270,0.077532,-0.053904,-0.217961,,,,0.694100,-0.298950,,,1069860.000000,31577969.072600,
2018-11-01,34.220001,35.730000,33.419998,35.709999,792600,0.000000,0.000000,34.220001,35.730000,33.419998,35.709999,38.581000,,,,35.663223,37.458444,-1.795221,-1.529457,-0.265764,46.102957,38.581000,47.983228,29.178772,0.347323,2.732157,0.076510,0.048752,0.020286,-0.168374,,,,0.723780,-0.264773,,,997780.000000,28303745.207400,
2018-11-02,35.900002,36.220001,34.919998,35.020000,807100,0.000000,0.000000,35.900002,36.220001,34.919998,35.020000,38.074000,,,,35.564060,37.266700,-1.702640,-1.566649,-0.135991,44.263110,38.074000,47.067161,29.080839,0.330204,2.622814,0.074895,-0.019322,0.053867,-0.197893,,,,0.719171,-0.278979,,,975015.000000,28264642.000000,
2018-11-05,34.779999,35.980000,34.279999,35.130001,464600,0.000000,0.000000,34.779999,35.980000,34.279999,35.130001,37.503500,,,,35.497165,37.099446,-1.602281,-1.574190,-0.028091,44.642393,37.503500,45.642426,29.364574,0.354188,2.552703,0.072664,0.003141,0.102983,-0.222099,,,,0.703165,-0.276714,,,948005.000000,16321398.464600,
2018-11-06,24.020000,25.200001,22.750000,24.879999,9613400,0.000000,0.000000,24.020000,25.200001,22.750000,24.879999,36.319000,,,,33.861332,36.146950,-2.285618,-1.723021,-0.562596,26.527681,36.319000,44.571267,28.066733,-0.193082,3.295951,0.132474,-0.291773,-0.212658,-0.465406,,,,1.184976,-0.487750,,,1337285.000000,239181382.386600,
2018-11-07,24.879999,25.240000,22.799999,23.100000,2447900,0.000000,0.000000,24.879999,25.240000,22.799999,23.100000,35.263500,,,,32.203665,35.133876,-2.930211,-1.973264,-0.956947,24.656580,35.263500,44.595584,25.931415,-0.151703,3.231486,0.139891,-0.071543,-0.321586,-0.524398,,,,1.166384,-0.524398,,,1382955.000000,56546490.000000,
2018-11-08,23.090000,23.290001,21.010000,21.170000,1594500,0.000000,0.000000,23.090000,23.290001,21.010000,21.170000,34.348000,,,,30.504377,34.053467,-3.549090,-2.297557,-1.251533,22.780371,34.348000,45.376691,23.319309,-0.097442,3.160103,0.149273,-0.083550,-0.407169,-0.521149,,,,1.162681,-0.564134,,,1368845.000000,33755565.000000,
2018-11-09,21.200001,22.650000,20.680000,22.280001,1621700,0.000000,0.000000,21.200001,22.650000,20.680000,22.280001,33.463000,,,,29.237952,33.145527,-3.907575,-2.626979,-1.280597,26.255941,33.463000,45.392660,21.533339,0.031294,3.071138,0.137843,0.052433,-0.363792,-0.435664,,,,1.163370,-0.541281,,,1382390.000000,36131477.621700,
2018-11-12,22.320000,22.750000,21.770000,21.870001,1053600,0.000000,0.000000,22.320000,22.750000,21.770000,21.870001,32.569000,,,,28.103560,32.278626,-4.175066,-2.942276,-1.232790,25.794130,32.569000,45.175525,19.962474,0.075656,2.915334,0.133303,-0.018402,-0.377455,-0.452976,,,,1.156027,-0.549722,,,1397160.000000,23042233.053600,
2018-11-13,21.920000,22.900000,21.879999,22.200001,1298200,0.000000,0.000000,21.920000,22.900000,21.879999,22.200001,31.658500,,,,27.194736,31.505917,-4.311181,-3.220060,-1.091121,26.908472,31.658500,44.508615,18.808384,0.131968,2.775296,0.125013,0.015089,-0.107717,-0.441509,,,,1.162717,-0.542928,,,1398865.000000,28820041.298200,
2018-11-14,22.330000,23.090000,21.870001,21.950001,1596900,0.000000,0.000000,22.330000,23.090000,21.870001,21.950001,30.807500,,,,26.387415,30.775179,-4.387764,-3.456325,-0.931439,26.582792,30.807500,43.871382,17.743618,0.160993,2.660100,0.121189,-0.011261,-0.049784,-0.456818,,,,1.154321,-0.548075,,,1445795.000000,35051956.596900,
2018-11-15,21.900000,22.260000,21.490000,21.639999,613800,0.000000,0.000000,21.900000,22.260000,21.490000,21.639999,29.972500,,,,25.656707,30.078284,-4.421577,-3.651172,-0.770404,26.159978,29.972500,43.143591,16.801408,0.183682,2.520475,0.116473,-0.014123,0.022201,-0.444701,,,,1.154393,-0.554458,,,1446075.000000,13282631.386200,
2018-11-16,21.570000,21.719999,20.690001,21.080000,960100,0.000000,0.000000,21.570000,21.719999,20.690001,21.080000,29.163500,,,,24.952324,29.393348,-4.441023,-3.810317,-0.630707,25.374817,29.163500,42.437124,15.889876,0.195505,2.410639,0.114357,-0.025878,-0.053860,-0.450183,,,,1.153981,-0.565987,,,1456755.000000,20238908.000000,
2018-11-19,20.900000,22.870001,20.660000,22.840000,1068800,0.000000,0.000000,20.900000,22.870001,20.660000,22.840000,28.425500,,,,24.627244,28.895535,-4.268290,-3.902455,-0.365835,32.256566,28.425500,41.361109,15.489891,0.284104,2.395887,0.104899,0.083491,0.044353,-0.387010,,,,1.213568,-0.529751,,,1468130.000000,24411392.000000,
2018-11-20,22.510000,23.170000,22.000000,23.070000,810400,0.000000,0.000000,22.510000,23.170000,22.000000,23.070000,27.683000,,,,24.387602,28.453843,-4.066241,-3.935368,-0.130873,33.124487,27.683000,40.014622,15.351379,0.312961,2.305941,0.099954,0.010070,0.039189,-0.386436,,,,1.213856,-0.525015,,,1476135.000000,18695928.000000,
2018-11-21,23.389999,24.110001,22.190001,22.900000,364000,0.000000,0.000000,23.389999,24.110001,22.190001,22.900000,27.028500,34.842800,,,24.158686,28.033484,-3.874799,-3.923208,0.048410,32.790091,27.028500,38.884039,15.172961,0.325883,2.277679,0.099462,-0.007369,0.043280,-0.396097,,,,1.210436,-0.528516,,,1464525.000000,8335600.000000,
2018-11-23,22.840000,23.180000,22.490000,22.490000,93500,0.000000,0.000000,22.840000,23.180000,22.490000,22.490000,26.403000,34.692600,,,23.901914,27.614586,-3.712672,-3.880973,0.168301,31.952303,26.403000,37.798833,15.007167,0.328314,2.161623,0.096115,-0.017904,0.039279,-0.375104,,,,1.205391,-0.536957,,,1427855.000000,2102815.000000,
