Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,95.139999,96.650002,94.519997,94.910004,12340200,0.000000,0.000000,65.296240,66.332580,64.870721,65.138390,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,1171208431.360800,
2015-01-05,95.239998,98.730003,93.180000,96.790001,27530400,0.000000,0.000000,65.364879,67.760130,63.951066,66.428673,,,,,,,,,,50.000000,,,,,,,0.019808,,,,,,,0.000000,,,,2664667443.530400,
2015-01-06,98.470001,99.339996,96.089996,97.650002,22363800,0.000000,0.000000,67.581678,68.178771,65.948239,67.018898,,,,,,,,,,50.000000,,,,,,,0.008885,,,,,,,0.000000,,,,2183825114.727600,
2015-01-07,99.309998,99.900002,98.440002,99.480003,16373700,0.000000,0.000000,68.158201,68.563132,67.561108,68.274879,,,,,,,,,,50.000000,,,,,,,0.018741,,,,,,,0.000000,,,,1628855725.121100,
2015-01-08,100.800003,102.449997,100.290001,102.300003,18902300,0.000000,0.000000,69.180813,70.313232,68.830789,70.210289,,,,,,,,,,50.000000,,,,,,,0.028347,,,,,,,0.000000,,,,1933705346.706900,
2015-01-09,103.519997,103.830002,101.750000,102.209999,14738100,0.000000,0.000000,71.047596,71.260358,69.832816,70.148521,,,,,,,,,,50.000000,,,,,,,-0.000880,0.076915,,,,,,-0.000880,,,,1506381186.261900,
2015-01-12,102.839996,103.339996,100.760002,101.209999,12746000,0.000000,0.000000,70.580884,70.924043,69.153348,69.462189,,,,,,,,,,50.000000,,,,,,,-0.009784,0.045666,,,,,,-0.010655,,,,1290022647.254000,
2015-01-13,101.849998,101.879997,95.250000,97.209999,27030600,0.000000,0.000000,69.901447,69.922036,65.371752,66.716934,,,,,,,,,,50.000000,,,,,,,-0.039522,-0.004506,,,,,,-0.049756,,,,2627644598.969400,
2015-01-14,96.000000,100.089996,95.709999,99.260002,16183700,0.000000,0.000000,65.886482,68.693518,65.687449,68.123878,,,,,,,,,,50.000000,,,,,,,0.021088,-0.002212,,,,,,-0.029717,,,,1606394094.367400,
2015-01-15,99.300003,100.389999,97.230003,97.400002,11442200,0.000000,0.000000,68.151333,68.899416,66.730655,66.847328,,,,,,,,,,50.000000,,,,,,,-0.018739,-0.047898,,,,,,-0.047898,,,,1114470302.884400,
2015-01-16,97.419998,100.889999,97.070000,100.709999,14097700,0.000000,0.000000,66.861056,69.242579,66.620846,69.119041,,,,,,,,,,50.000000,,,,,,,0.033984,-0.014676,,,,,,-0.015543,,,,1419779352.902300,
2015-01-20,101.139999,104.050003,100.150002,103.779999,18838100,0.000000,0.000000,69.414180,71.411368,68.734727,71.226059,,,,,68.707111,,,,,50.000000,,,,,,,0.030484,0.025393,,,,,,0.000000,,,,1955017999.161900,
