Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,26.378078,26.490770,26.133251,26.168653,28951268,0.000000,0.000000,26.147546,26.259253,25.904858,25.939951,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,757615686.202004,
2015-01-05,26.091366,26.144720,25.582764,25.623152,41196796,0.000000,0.000000,25.863338,25.916226,25.359181,25.399216,,,,,,,,,,50.000000,,,,,,,-0.020846,,,,,,,-0.020846,,,,1055591765.820992,
2015-01-06,25.679497,25.738087,24.983908,25.029282,57998800,0.000000,0.000000,25.455070,25.513148,24.765560,24.810537,,,,,,,,,,50.000000,,,,,,,-0.023177,,,,,,,-0.043540,,,,1451668320.861600,
2015-01-07,25.280592,25.292759,24.914099,24.986401,41301082,0.000000,0.000000,25.059648,25.071709,24.696358,24.768028,,,,,,,,,,50.000000,,,,,,,-0.001713,,,,,,,-0.045178,,,,1031965396.585882,
2015-01-08,24.831326,25.105074,24.482782,25.065184,67071641,0.000000,0.000000,24.614305,24.885661,24.268808,24.846119,,,,,,,,,,50.000000,,,,,,,0.003153,,,,,,,-0.042168,,,,1681163022.846944,
2015-01-09,25.168900,25.176876,24.671764,24.740576,41427428,0.000000,0.000000,24.948930,24.956836,24.456139,24.524349,,,,,,,,,,50.000000,,,,,,,-0.012951,-0.054572,,,,,,-0.054572,,,,1024938430.918528,
2015-01-12,24.679243,24.730902,24.311253,24.560070,46535413,0.000000,0.000000,24.463556,24.514763,24.098782,24.345425,,,,,,,,,,50.000000,,,,,,,-0.007296,-0.041489,,,,,,-0.061470,,,,1142913000.758910,
2015-01-13,24.873709,25.080141,24.552092,24.741074,47409807,0.000000,0.000000,24.656323,24.860951,24.337517,24.524847,,,,,,,,,,50.000000,,,,,,,0.007370,-0.011515,,,,,,-0.054553,,,,1172969543.312718,
2015-01-14,24.664783,25.092607,24.582508,24.974932,44714427,0.000000,0.000000,24.449223,24.873308,24.367666,24.756660,,,,,,,,,,50.000000,,,,,,,0.009452,-0.000459,,,,,,-0.045617,,,,1116739773.743964,
2015-01-15,25.209288,25.214773,24.819857,25.020805,54316718,0.000000,0.000000,24.988969,24.994406,24.602941,24.802134,,,,,,,,,,50.000000,,,,,,,0.001837,-0.001770,,,,,,-0.043863,,,,1359048009.317990,
