Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,25.530001,25.730000,24.270000,24.700001,144300,0.000000,0.000000,25.530001,25.730000,24.270000,24.700001,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,3564210.144300,
2015-01-05,24.469999,24.889999,21.610001,22.400000,251100,0.000000,0.000000,24.469999,24.889999,21.610001,22.400000,,,,,,,,,,50.000000,,,,,,,-0.093117,,,,,,,-0.093117,,,,5624640.000000,
2015-01-06,22.440001,22.540001,21.520000,21.660000,98300,0.000000,0.000000,22.440001,22.540001,21.520000,21.660000,,,,,,,,,,50.000000,,,,,,,-0.033036,,,,,,,-0.123077,,,,2129178.000000,
2015-01-07,21.889999,21.889999,20.900000,21.379999,133300,0.000000,0.000000,21.889999,21.889999,20.900000,21.379999,,,,,,,,,,50.000000,,,,,,,-0.012927,,,,,,,-0.134413,,,,2849953.866700,
2015-01-08,21.500000,21.830000,21.040001,21.190001,133400,0.000000,0.000000,21.500000,21.830000,21.040001,21.190001,,,,,,,,,,50.000000,,,,,,,-0.008887,,,,,,,-0.142105,,,,2826746.133400,
2015-01-09,21.200001,21.230000,19.719999,20.299999,149600,0.000000,0.000000,21.200001,21.230000,19.719999,20.299999,,,,,,,,,,50.000000,,,,,,,-0.042001,-0.178138,,,,,,-0.178138,,,,3036879.850400,
2015-01-12,20.360001,20.980000,20.010000,20.549999,149500,0.000000,0.000000,20.360001,20.980000,20.010000,20.549999,,,,,,,,,,50.000000,,,,,,,0.012315,-0.082589,,,,,,-0.168016,,,,3072224.850500,
2015-01-13,20.610001,21.676001,20.285000,21.510000,161900,0.000000,0.000000,20.610001,21.676001,20.285000,21.510000,,,,,,,,,,50.000000,,,,,,,0.046715,-0.006925,,,,,,-0.129150,,,,3482469.000000,
2015-01-14,22.690001,22.690001,21.559999,22.049999,121900,0.000000,0.000000,22.690001,22.690001,21.559999,22.049999,,,,,,,,,,50.000000,,,,,,,0.025105,0.031338,,,,,,-0.107288,,,,2687894.878100,
2015-01-15,21.990000,22.100000,21.049999,21.100000,117200,0.000000,0.000000,21.990000,22.100000,21.049999,21.100000,,,,,,,,,,50.000000,,,,,,,-0.043084,-0.004247,,,,,,-0.145749,,,,2472920.000000,
2015-01-16,21.070000,21.110001,19.299999,19.570000,169800,0.000000,0.000000,21.070000,21.110001,19.299999,19.570000,,,,,,,,,,50.000000,,,,,,,-0.072512,-0.035961,,,,,,-0.207692,,,,3322986.000000,
2015-01-20,19.530001,20.049999,19.260000,19.959999,142200,0.000000,0.000000,19.530001,20.049999,19.260000,19.959999,,,,,20.897785,,,,,50.000000,,,,,,,0.019928,-0.028710,,,,,,-0.191903,,,,2838311.857800,
2015-01-21,20.000000,20.120001,19.635000,20.040001,39900,0.000000,0.000000,20.000000,20.120001,19.635000,20.040001,,,,,20.748841,,,,,50.000000,,,,,,,0.004008,-0.068340,,,,,,-0.188664,,,,799596.039900,
2015-01-22,20.129999,21.360001,20.080000,20.980000,111500,0.000000,0.000000,20.129999,21.360001,20.080000,20.980000,,,,,20.788200,,,,,50.000000,,,,,1.220610,0.058180,0.046906,-0.048526,,,,,,-0.150607,,,,2339270.000000,
2015-01-23,20.990000,21.549999,20.700001,21.200001,81600,0.000000,0.000000,20.990000,21.549999,20.700001,21.200001,,,,,20.857184,,,,,40.961520,,,,,1.181157,0.055715,0.010486,0.004739,,,,,,-0.141700,,,,1729920.081600,
2015-01-26,21.700001,21.740000,21.150000,21.180000,66600,0.000000,0.000000,21.700001,21.740000,21.150000,21.180000,,,,,20.910532,,,,,40.819165,,,,,1.120355,0.052897,-0.000943,0.082269,,,,,,-0.142510,,,,1410588.000000,
2015-01-27,20.719999,21.000000,19.969999,20.290001,507500,0.000000,0.000000,20.719999,21.000000,19.969999,20.290001,,,,,20.809141,,,,,34.991635,,,,,1.129294,0.055658,-0.042021,0.016533,,,,,,-0.178543,,,,10297175.507500,
2015-01-28,20.290001,21.500000,20.290001,21.170000,526300,0.000000,0.000000,20.290001,21.500000,20.290001,21.170000,,,,,20.867545,,,,,43.570056,,,,,1.137121,0.053714,0.043371,0.056387,,,,,,-0.142915,,,,11141771.000000,
2015-01-29,21.280001,21.320000,20.879999,21.129999,684500,0.000000,0.000000,21.280001,21.320000,20.879999,21.129999,,,,,20.909686,,,,,43.290413,,,,,1.071201,0.050696,-0.001890,0.007150,,,,,,-0.144534,,,,14463484.315500,
2015-01-30,20.940001,21.360001,20.730000,20.770000,257500,0.000000,0.000000,20.940001,21.360001,20.730000,20.770000,21.156500,,,,20.887407,,,,,40.755207,21.156500,23.336073,18.976927,0.411336,1.030425,0.049611,-0.017037,-0.020283,,,,,,-0.159109,,,202395.000000,5348275.000000,
