Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,97.370003,98.019997,94.019997,95.610001,115100,0.000000,0.000000,87.169737,87.751639,84.170670,85.594109,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,11004711.115100,
2015-01-05,95.389999,96.110001,93.190002,93.639999,114700,0.000000,0.000000,85.397164,86.041740,83.427634,83.830490,,,,,,,,,,50.000000,,,,,,,-0.020604,,,,,,,-0.020604,,,,10740507.885300,
2015-01-06,94.010002,94.010002,91.389999,92.190002,123300,0.000000,0.000000,84.161735,84.161735,81.816198,82.532394,,,,,,,,,,50.000000,,,,,,,-0.015485,,,,,,,-0.035770,,,,11367027.246600,
2015-01-07,92.779999,95.080002,91.379997,94.269997,179400,0.000000,0.000000,83.060576,85.119636,81.807236,84.394485,,,,,,,,,,50.000000,,,,,,,0.022562,,,,,,,-0.014015,,,,16912037.461800,
2015-01-08,95.459999,96.620003,95.260002,96.309998,158000,0.000000,0.000000,85.459832,86.498317,85.280787,86.220787,,,,,,,,,,50.000000,,,,,,,0.021640,,,,,,,0.000000,,,,15216979.684000,
2015-01-09,96.480003,96.480003,95.199997,95.419998,123400,0.000000,0.000000,86.373011,86.373011,85.227095,85.424049,,,,,,,,,,50.000000,,,,,,,-0.009241,-0.001987,,,,,,-0.009241,,,,11774827.753200,
2015-01-12,95.599998,96.080002,93.839996,95.389999,177100,0.000000,0.000000,85.585186,86.014906,84.009558,85.397186,,,,,,,,,,50.000000,,,,,,,-0.000314,0.018689,,,,,,-0.009552,,,,16893568.822900,
2015-01-13,95.879997,98.400002,94.940002,96.269997,104800,0.000000,0.000000,85.835831,88.091845,84.994308,86.184975,,,,,,,,,,50.000000,,,,,,,0.009225,0.044256,,,,,,-0.000415,,,,10089095.685600,
2015-01-14,94.930000,96.839996,94.930000,96.570000,154800,0.000000,0.000000,84.985355,86.695265,84.985355,86.453552,,,,,,,,,,50.000000,,,,,,,0.003116,0.024398,,,,,,0.000000,,,,14949036.000000,
2015-01-15,96.809998,97.930000,95.660004,96.110001,210200,0.000000,0.000000,86.668400,87.671073,85.638877,86.041733,,,,,,,,,,50.000000,,,,,,,-0.004763,-0.002077,,,,,,-0.004763,,,,20202322.210200,
2015-01-16,97.459999,101.559998,97.000000,99.150002,314300,0.000000,0.000000,87.250321,90.920813,86.838510,88.763283,,,,,,,,,,50.000000,,,,,,,0.031631,0.039090,,,,,,0.000000,,,,31162845.628600,
2015-01-20,100.050003,100.150002,96.269997,98.120003,138400,0.000000,0.000000,89.569012,89.658535,86.184990,87.841194,,,,,86.446057,,,,,50.000000,,,,,,,-0.010388,0.028619,,,,,,-0.010388,,,,13579808.415200,
2015-01-21,97.309998,100.680000,96.610001,100.209999,220600,0.000000,0.000000,87.116038,90.133007,86.489371,89.712242,,,,,87.013191,,,,,50.000000,,,,,,,0.021300,0.040927,,,,,,0.000000,,,,22106325.779400,
2015-01-22,101.010002,101.870003,99.000000,101.820000,187800,0.000000,0.000000,90.428413,91.198322,88.628974,91.153557,,,,,87.718163,,,,,50.000000,,,,,2.820526,0.030943,0.016066,0.054365,,,,,,0.000000,,,,19121796.000000,
2015-01-23,101.089996,101.769997,100.639999,100.750000,75000,0.000000,0.000000,90.500027,91.108792,90.097171,90.195648,,,,,88.133184,,,,,66.939070,,,,,2.632724,0.029189,-0.010509,0.048278,,,,,,-0.010509,,,,7556250.000000,
2015-01-26,100.410004,101.879997,99.570000,101.199997,107700,0.000000,0.000000,89.891275,91.207276,89.139268,90.598511,,,,,88.540599,,,,,68.202241,,,,,2.574642,0.028418,0.004467,0.020676,,,,,,-0.006089,,,,10899239.676900,
2015-01-27,100.080002,100.900002,99.000000,100.580002,71700,0.000000,0.000000,89.595836,90.329934,88.628973,90.043457,,,,,88.786156,,,,,64.543257,,,,,2.514301,0.027923,-0.006127,0.025071,,,,,,-0.012178,,,,7211586.143400,
2015-01-28,101.279999,101.650002,98.809998,99.589996,94400,0.000000,0.000000,90.670150,91.001392,88.458900,89.157188,,,,,88.846207,,,,,59.091897,,,,,2.517035,0.028231,-0.009843,-0.006187,,,,,,-0.021901,,,,9401295.622400,
2015-01-29,99.860001,100.940002,98.800003,100.760002,201500,0.000000,0.000000,89.398924,90.365787,88.449969,90.204643,,,,,89.064322,,,,,63.062661,,,,,2.460184,0.027273,0.011748,-0.010410,,,,,,-0.010410,,,,20303140.403000,
2015-01-30,100.250000,101.879997,98.000000,98.739998,144600,0.000000,0.000000,89.748020,91.207262,87.733725,88.396202,87.406984,,,,88.957762,,,,,53.421404,87.406984,92.448298,82.365671,0.598111,2.553840,0.028891,-0.020048,-0.019950,,,,,,-0.030250,,,150840.000000,14277803.710800,
2015-02-02,98.489998,99.919998,96.959999,99.730003,99700,0.000000,0.000000,88.172426,89.452623,86.802706,89.282532,87.591405,,,,89.009269,,,,,56.899336,87.591405,92.623333,82.559477,0.668040,2.562537,0.028701,0.010027,-0.014525,,,,,,-0.020526,,,150070.000000,9943081.299100,
2015-02-03,100.230003,101.449997,98.839996,101.150002,120600,0.000000,0.000000,89.730151,90.822341,88.485757,90.553772,87.927570,,,,89.253064,,,,,61.356218,87.927570,92.797292,83.057847,0.769646,2.542467,0.028077,0.014238,0.005667,0.057944,,,,0.240980,-0.006580,,,150365.000000,12198690.241200,
2015-02-04,98.860001,98.860001,89.110001,91.370003,564700,0.000000,0.000000,88.503632,88.503632,79.775022,81.798271,87.890863,,,,88.081038,,,,,34.723732,87.890863,92.939592,82.842135,-0.103379,3.261550,0.039873,-0.096688,-0.082539,-0.024242,,,,0.415212,-0.102632,,,172435.000000,51596640.694100,
2015-02-05,91.129997,92.500000,90.989998,92.199997,273200,0.000000,0.000000,81.583427,82.809911,81.458094,82.541336,87.798206,,,,87.213025,,,,,37.214553,87.798206,93.174507,82.421904,0.011107,3.097423,0.037526,0.009084,-0.084955,0.000108,,,,0.413001,-0.094480,,,177125.000000,25189039.180400,
2015-02-06,92.370003,93.129997,90.589996,92.480003,286400,0.000000,0.000000,82.693530,83.373909,81.099993,82.792007,87.626767,,,,86.522262,,,,,38.073031,87.626767,93.417556,81.835978,0.082547,3.027662,0.036569,0.003037,-0.063399,-0.018988,,,,0.405230,-0.091730,,,183545.000000,26486272.859200,
2015-02-09,91.889999,92.949997,91.040001,92.330002,123200,0.000000,0.000000,82.263814,83.212768,81.502859,82.657722,87.488451,,,,85.919892,86.700054,-0.780163,,,37.775054,87.488451,93.622732,81.354169,0.106251,2.917495,0.035296,-0.001622,-0.074201,-0.041325,,,,0.397083,-0.093204,,,183535.000000,11375056.246400,
2015-02-10,93.239998,93.769997,92.029999,92.730003,138600,0.000000,0.000000,83.472392,83.946869,82.389150,83.015823,87.369382,,,,85.468146,86.388095,-0.919950,,,39.142908,87.369382,93.761601,80.977164,0.159464,2.805182,0.033791,0.004332,-0.083243,-0.028191,,,,0.396617,-0.089275,,,181610.000000,12852378.415800,
2015-02-11,92.239998,95.360001,92.150002,95.300003,196300,0.250000,0.000000,82.800404,85.601114,82.719618,85.547256,87.337496,,,,85.480431,86.317645,-0.837214,,,47.867228,87.337496,93.760877,80.914116,0.360647,2.811416,0.032864,0.030493,0.045832,0.001757,,,,0.411418,-0.061504,,,186185.000000,18707390.588900,
2015-02-12,96.059998,98.349998,95.050003,98.080002,139000,0.000000,0.000000,86.229443,88.285090,85.322809,88.042725,87.416955,,,,85.877757,86.460792,-0.583035,,,54.753385,87.416955,93.833609,81.000301,0.548761,2.823614,0.032071,0.029171,0.066650,0.021555,,,,0.422452,-0.034127,,,185395.000000,13633120.278000,
2015-02-13,98.089996,98.900002,97.589996,98.580002,89900,0.000000,0.000000,88.051718,88.778829,87.602886,88.491577,87.539447,,,,86.282579,86.627819,-0.345240,,,55.882182,87.539447,93.939075,81.139820,0.574389,2.691635,0.030417,0.005098,0.068842,0.023574,,,,0.422611,-0.029203,,,179380.000000,8862342.179800,
2015-02-17,98.320000,98.629997,97.629997,98.070000,190900,0.000000,0.000000,88.258176,88.536449,87.638786,88.033760,87.502971,,,,86.553519,86.742517,-0.188998,,,54.391670,87.502971,93.881510,81.124433,0.541607,2.549174,0.028957,-0.005174,0.065040,0.023152,,,,0.422689,-0.034226,,,173210.000000,18721563.000000,
2015-02-18,97.900002,99.059998,97.589996,98.870003,84300,0.000000,0.000000,87.881151,88.922436,87.602871,88.751884,87.548506,,,,86.893349,86.905221,-0.011872,,,56.358011,87.548506,93.950171,81.146841,0.593989,2.452302,0.027631,0.008157,0.069096,-0.000128,,,,0.409171,-0.026348,,,170505.000000,8334741.252900,
2015-02-19,98.349998,99.230003,98.040001,99.089996,88700,0.000000,0.000000,88.285095,89.075043,88.006822,88.949364,87.510362,,,,87.210941,87.069608,0.141333,,,56.908208,87.510362,93.866673,81.154050,0.613195,2.344057,0.026353,0.002225,0.039769,0.012616,,,,0.407339,-0.024181,,,163910.000000,8789282.645200,
2015-02-20,98.760002,99.160004,97.699997,98.709999,134100,0.000000,0.000000,88.653132,89.012198,87.701605,88.608246,87.383096,,,,87.426647,87.192562,0.234085,-0.146217,0.380302,55.604180,87.383096,93.530776,81.235416,0.599643,2.263776,0.025548,-0.003835,0.006423,-0.012306,,,,0.400751,-0.027923,,,161225.000000,13237010.865900,
2015-02-23,98.239998,98.989998,97.250000,98.769997,99000,0.000000,0.000000,88.186349,88.859596,87.297666,88.662109,87.306419,,,,87.617269,87.309314,0.307955,-0.044456,0.352411,55.776500,87.306419,93.343658,81.269181,0.612277,2.209595,0.024922,0.000608,0.001927,-0.027332,,,,0.396364,-0.027332,,,162425.000000,9778229.703000,
