Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,6.920000,7.000000,6.780000,6.910000,708000,0.000000,0.000000,6.920000,7.000000,6.780000,6.910000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,4892280.000000,
2015-01-05,6.840000,6.940000,6.760000,6.770000,790900,0.000000,0.000000,6.840000,6.940000,6.760000,6.770000,,,,,,,,,,50.000000,,,,,,,-0.020260,,,,,,,-0.020260,,,,5354393.000000,
2015-01-06,6.770000,6.790000,6.550000,6.630000,1601300,0.000000,0.000000,6.770000,6.790000,6.550000,6.630000,,,,,,,,,,50.000000,,,,,,,-0.020679,,,,,,,-0.040521,,,,10616619.000000,
2015-01-07,6.690000,6.760000,6.640000,6.740000,734700,0.000000,0.000000,6.690000,6.760000,6.640000,6.740000,,,,,,,,,,50.000000,,,,,,,0.016591,,,,,,,-0.024602,,,,4951878.000000,
2015-01-08,6.810000,6.880000,6.750000,6.790000,565000,0.000000,0.000000,6.810000,6.880000,6.750000,6.790000,,,,,,,,,,50.000000,,,,,,,0.007418,,,,,,,-0.017366,,,,3836350.000000,
2015-01-09,6.780000,6.870000,6.710000,6.760000,526100,0.000000,0.000000,6.780000,6.870000,6.710000,6.760000,,,,,,,,,,50.000000,,,,,,,-0.004418,-0.021708,,,,,,-0.021708,,,,3556436.000000,
2015-01-12,6.740000,6.800000,6.620000,6.710000,712900,0.000000,0.000000,6.740000,6.800000,6.620000,6.710000,,,,,,,,,,50.000000,,,,,,,-0.007396,-0.008863,,,,,,-0.028944,,,,4783559.000000,
2015-01-13,6.730000,6.910000,6.630000,6.710000,1270400,0.000000,0.000000,6.730000,6.910000,6.630000,6.710000,,,,,,,,,,50.000000,,,,,,,0.000000,0.012066,,,,,,-0.028944,,,,8524384.000000,
2015-01-14,6.660000,6.770000,6.620000,6.750000,604300,0.000000,0.000000,6.660000,6.770000,6.620000,6.750000,,,,,,,,,,50.000000,,,,,,,0.005961,0.001484,,,,,,-0.023155,,,,4079025.000000,
2015-01-15,6.760000,6.870000,6.500000,6.510000,1026500,0.000000,0.000000,6.760000,6.870000,6.500000,6.510000,,,,,,,,,,50.000000,,,,,,,-0.035556,-0.041237,,,,,,-0.057887,,,,6682515.000000,
2015-01-16,6.470000,6.740000,6.450000,6.700000,1154800,0.000000,0.000000,6.470000,6.740000,6.450000,6.700000,,,,,,,,,,50.000000,,,,,,,0.029186,-0.008876,,,,,,-0.030391,,,,7737160.000000,
2015-01-20,6.690000,6.830000,6.640000,6.740000,604100,0.000000,0.000000,6.690000,6.830000,6.640000,6.740000,,,,,6.706266,,,,,50.000000,,,,,,,0.005970,0.004471,,,,,,-0.024602,,,,4071634.000000,
2015-01-21,6.700000,6.810000,6.600000,6.780000,684100,0.000000,0.000000,6.700000,6.810000,6.600000,6.780000,,,,,6.719069,,,,,50.000000,,,,,,,0.005935,0.010432,,,,,,-0.018813,,,,4638198.000000,
2015-01-22,6.780000,6.800000,6.600000,6.690000,1055800,0.000000,0.000000,6.780000,6.800000,6.600000,6.690000,,,,,6.714119,,,,,50.000000,,,,,0.214915,0.032125,-0.013274,-0.008889,,,,,,-0.031838,,,,7063302.000000,
2015-01-23,6.660000,6.800000,6.590000,6.620000,891300,0.000000,0.000000,6.660000,6.800000,6.590000,6.620000,,,,,6.698353,,,,,39.262983,,,,,0.214392,0.032385,-0.010463,0.016897,,,,,,-0.041968,,,,5900406.000000,
2015-01-26,6.620000,6.640000,6.520000,6.590000,676800,0.000000,0.000000,6.620000,6.640000,6.520000,6.590000,,,,,6.680447,,,,,37.699802,,,,,0.204683,0.031060,-0.004532,-0.016418,,,,,,-0.046310,,,,4460112.000000,
2015-01-27,6.750000,7.660000,6.750000,7.300000,10330900,0.000000,0.000000,6.750000,7.660000,6.750000,7.300000,,,,,6.781677,,,,,69.077550,,,,,0.290972,0.039859,0.107739,0.083086,,,,,,0.000000,,,,75415570.000000,
2015-01-28,7.320000,7.390000,7.000000,7.180000,3976800,0.000000,0.000000,7.320000,7.390000,7.000000,7.180000,,,,,6.846145,,,,,63.276797,,,,,0.300575,0.041863,-0.016438,0.058997,,,,,,-0.016438,,,,28553424.000000,
2015-01-29,7.210000,7.470000,7.070000,7.360000,1447700,0.000000,0.000000,7.210000,7.470000,7.070000,7.360000,,,,,6.928651,,,,,67.663306,,,,,0.309977,0.042116,0.025070,0.100149,,,,,,0.000000,,,,10655072.000000,
2015-01-30,7.340000,7.450000,7.080000,7.130000,1645100,0.000000,0.000000,7.340000,7.450000,7.080000,7.130000,6.818500,,,,6.960765,,,,,58.111593,6.818500,7.291487,6.345513,0.829290,0.315524,0.044253,-0.031250,0.077039,,,,,,-0.031250,,,1550375.000000,11729563.000000,
2015-02-02,7.190000,7.250000,7.020000,7.070000,1373900,0.000000,0.000000,7.190000,7.250000,7.020000,7.070000,6.826500,,,,6.978089,,,,,55.894886,6.826500,7.311269,6.341731,0.751151,0.307782,0.043534,-0.008415,0.072838,,,,,,-0.039402,,,1583670.000000,9713473.000000,
2015-02-03,7.090000,7.300000,7.080000,7.190000,1594200,0.000000,0.000000,7.090000,7.300000,7.080000,7.190000,6.847500,,,,7.011539,,,,,59.243442,6.847500,7.357686,6.337314,0.835662,0.300873,0.041846,0.016973,-0.015068,0.040521,,,,0.469611,-0.023098,,,1623835.000000,11462298.000000,
2015-02-04,7.000000,7.100000,6.520000,6.540000,4237900,0.000000,0.000000,7.000000,7.100000,6.520000,6.540000,6.843000,,,,6.937404,,,,,41.059178,6.843000,7.362761,6.323239,0.208520,0.333100,0.050933,-0.090403,-0.089136,-0.033973,,,,0.565191,-0.111413,,,1755665.000000,27715866.000000,
2015-02-05,6.590000,6.650000,6.220000,6.250000,4479200,0.000000,0.000000,6.590000,6.650000,6.220000,6.250000,6.818500,,,,6.829695,,,,,35.782131,6.818500,7.401099,6.235901,0.012100,0.341428,0.054629,-0.044343,-0.150815,-0.057315,,,,0.581263,-0.150815,,,1942890.000000,27995000.000000,
2015-02-06,6.270000,6.340000,6.060000,6.100000,3571000,0.000000,0.000000,6.270000,6.340000,6.060000,6.100000,6.784000,,,,6.715684,,,,,33.391592,6.784000,7.449524,6.118476,-0.013881,0.336224,0.055119,-0.024000,-0.144460,-0.094955,,,,0.581760,-0.171196,,,2093190.000000,21783100.000000,
2015-02-09,6.090000,6.150000,5.930000,5.950000,1479800,0.000000,0.000000,6.090000,6.150000,5.930000,5.950000,6.743500,,,,6.596336,6.699463,-0.103127,,,31.150406,6.743500,7.506604,5.980396,-0.019916,0.326508,0.054875,-0.024590,-0.158416,-0.123711,,,,0.584331,-0.191576,,,2140875.000000,8804810.000000,
2015-02-10,6.000000,6.010000,5.870000,5.960000,2310200,0.000000,0.000000,6.000000,6.010000,5.870000,5.960000,6.706000,,,,6.497350,6.636850,-0.139500,,,31.480584,6.706000,7.545885,5.866115,0.055891,0.311103,0.052198,0.001681,-0.171071,-0.118343,,,,0.584872,-0.190217,,,2220740.000000,13768792.000000,
2015-02-11,5.960000,6.090000,5.940000,6.040000,1834100,0.000000,0.000000,5.960000,6.090000,5.940000,6.040000,6.672500,,,,6.426328,6.586842,-0.160514,,,34.199227,6.672500,7.563599,5.781401,0.145101,0.297943,0.049328,0.013423,-0.076453,-0.099851,,,,0.588386,-0.179348,,,2248925.000000,11077964.000000,
2015-02-12,6.110000,6.150000,6.060000,6.080000,1143900,0.000000,0.000000,6.110000,6.150000,6.060000,6.080000,6.639000,,,,6.372624,6.544784,-0.172160,,,35.575623,6.639000,7.567426,5.710574,0.198953,0.282747,0.046504,0.006623,-0.027200,-0.093890,,,,0.589449,-0.173913,,,2275905.000000,6954912.000000,
2015-02-13,6.100000,6.130000,6.050000,6.100000,1038500,0.000000,0.000000,6.100000,6.130000,6.050000,6.100000,6.618500,,,,6.330400,6.508202,-0.177801,,,36.293175,6.618500,7.576552,5.660448,0.229399,0.266507,0.043690,0.003289,0.000000,-0.096296,,,,0.588950,-0.171196,,,2276505.000000,6334850.000000,
2015-02-17,6.120000,6.160000,6.010000,6.030000,1098800,0.000000,0.000000,6.120000,6.160000,6.010000,6.030000,6.585000,,,,6.283923,6.469190,-0.185266,,,34.830928,6.585000,7.577297,5.592703,0.220346,0.257255,0.042663,-0.011475,0.013445,-0.073733,,,,0.578593,-0.180707,,,2273705.000000,6625764.000000,
2015-02-18,6.050000,6.380000,6.050000,6.190000,3927200,0.000000,0.000000,6.050000,6.380000,6.050000,6.190000,6.557500,,,,6.269404,6.446583,-0.177179,,,40.710924,6.557500,7.562118,5.552882,0.317095,0.264562,0.042740,0.026534,0.038591,-0.076119,,,,0.576804,-0.158967,,,2439860.000000,24309368.000000,
