Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2017-10-19,33.000000,34.000000,29.100000,32.070000,11508500,0.000000,0.000000,33.000000,34.000000,29.100000,32.070000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,369077595.000000,
2017-10-20,33.369999,33.369999,30.100000,30.680000,2358700,0.000000,0.000000,33.369999,33.369999,30.100000,30.680000,,,,,,,,,,50.000000,,,,,,,-0.043343,,,,,,,-0.043343,,,,72364916.000000,
2017-10-23,30.510000,31.330000,30.190001,30.500000,749400,0.000000,0.000000,30.510000,31.330000,30.190001,30.500000,,,,,,,,,,50.000000,,,,,,,-0.005867,,,,,,,-0.048955,,,,22856700.000000,
2017-10-24,30.459999,30.920000,30.438999,30.570000,420700,0.000000,0.000000,30.459999,30.920000,30.438999,30.570000,,,,,,,,,,50.000000,,,,,,,0.002295,,,,,,,-0.046773,,,,12860799.000000,
2017-10-25,30.500000,31.100000,29.879999,31.000000,1219400,0.000000,0.000000,30.500000,31.100000,29.879999,31.000000,,,,,,,,,,50.000000,,,,,,,0.014066,,,,,,,-0.033365,,,,37801400.000000,
2017-10-26,31.680000,31.730000,30.729000,31.100000,605200,0.000000,0.000000,31.680000,31.730000,30.729000,31.100000,,,,,,,,,,50.000000,,,,,,,0.003226,-0.030246,,,,,,-0.030246,,,,18821720.000000,
2017-10-27,31.010000,31.290001,30.000000,30.889999,549500,0.000000,0.000000,31.010000,31.290001,30.000000,30.889999,,,,,,,,,,50.000000,,,,,,,-0.006752,0.006845,,,,,,-0.036795,,,,16974054.450500,
2017-10-30,30.690001,30.690001,29.590000,29.850000,727800,0.000000,0.000000,30.690001,30.690001,29.590000,29.850000,,,,,,,,,,50.000000,,,,,,,-0.033668,-0.021311,,,,,,-0.069224,,,,21724830.000000,
2017-10-31,29.799999,30.680000,29.799999,30.480000,318100,0.000000,0.000000,29.799999,30.680000,29.799999,30.480000,,,,,,,,,,50.000000,,,,,,,0.021106,-0.002944,,,,,,-0.049579,,,,9695688.000000,
2017-11-01,30.370001,30.570000,29.702000,29.799999,432000,0.000000,0.000000,30.370001,30.570000,29.702000,29.799999,,,,,,,,,,50.000000,,,,,,,-0.022310,-0.038710,,,,,,-0.070783,,,,12873599.568000,
2017-11-02,29.719999,30.459999,29.660999,29.950001,313400,0.000000,0.000000,29.719999,30.459999,29.660999,29.950001,,,,,,,,,,50.000000,,,,,,,0.005034,-0.036977,,,,,,-0.066105,,,,9386330.313400,
