Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,36.430000,36.939999,36.270000,36.790001,7707700,0.000000,0.000000,28.060634,28.453466,27.937392,28.337929,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,283566290.707700,
2015-01-05,36.709999,36.770000,36.119999,36.240002,9621100,0.000000,0.000000,28.276311,28.322527,27.821856,27.914289,,,,,,,,,,50.000000,,,,,,,-0.014950,,,,,,,-0.014950,,,,348668683.242200,
2015-01-06,36.369999,36.650002,35.790001,35.990002,7669500,0.000000,0.000000,28.014409,28.230085,27.567659,27.721712,,,,,,,,,,50.000000,,,,,,,-0.006899,,,,,,,-0.021745,,,,276025320.339000,
2015-01-07,36.189999,37.200001,35.970001,37.119999,10418800,0.000000,0.000000,27.875768,28.653734,27.706312,28.592112,,,,,,,,,,50.000000,,,,,,,0.031398,,,,,,,0.000000,,,,386745845.581200,
2015-01-08,37.090000,37.880001,37.090000,37.590000,8122100,0.000000,0.000000,28.569003,29.177511,28.569003,28.954134,,,,,,,,,,50.000000,,,,,,,0.012662,,,,,,,0.000000,,,,305309739.000000,
2015-01-09,37.310001,37.740002,37.060001,37.220001,5642500,0.000000,0.000000,28.738481,29.069694,28.545915,28.669157,,,,,,,,,,50.000000,,,,,,,-0.009842,0.011689,,,,,,-0.009842,,,,210013855.642500,
2015-01-12,36.970001,37.240002,36.700001,36.869999,8106500,0.000000,0.000000,28.476587,28.684558,28.268616,28.399559,,,,,,,,,,50.000000,,,,,,,-0.009404,0.017384,,,,,,-0.019154,,,,298886646.893500,
2015-01-13,37.049999,37.389999,36.340000,36.630001,7869900,0.000000,0.000000,28.538192,28.800081,27.991307,28.214684,,,,,,,,,,50.000000,,,,,,,-0.006510,0.017783,,,,,,-0.025539,,,,288274444.869900,
2015-01-14,36.189999,36.650002,36.070000,36.549999,7061900,0.000000,0.000000,27.875772,28.230095,27.783341,28.153067,,,,,,,,,,50.000000,,,,,,,-0.002184,-0.015355,,,,,,-0.027667,,,,258112437.938100,
2015-01-15,36.779999,36.990002,36.369999,36.540001,10607000,0.000000,0.000000,28.330228,28.491985,28.014421,28.145367,,,,,,,,,,50.000000,,,,,,,-0.000274,-0.027933,,,,,,-0.027933,,,,387579790.607000,
2015-01-16,36.509998,36.959999,36.270000,36.939999,7882400,0.000000,0.000000,28.122252,28.468870,27.937391,28.453465,,,,,,,,,,50.000000,,,,,,,0.010947,-0.007523,,,,,,-0.017292,,,,291175848.117600,
2015-01-20,37.299999,37.450001,36.700001,37.020000,6190000,0.000000,0.000000,28.730756,28.846296,28.268600,28.515083,,,,,28.364885,,,,,50.000000,,,,,,,0.002166,0.004068,,,,,,-0.015164,,,,229153800.000000,
2015-01-21,36.869999,37.189999,36.689999,37.150002,9350800,0.000000,0.000000,28.399546,28.646029,28.260898,28.615221,,,,,28.408353,,,,,50.000000,,,,,,,0.003512,0.014196,,,,,,-0.011705,,,,347382238.701600,
2015-01-22,37.439999,37.599998,36.950001,37.590000,6091700,0.000000,0.000000,28.838594,28.961835,28.461167,28.954134,,,,,28.501282,,,,,50.000000,,,,,0.549491,0.018978,0.011844,0.028454,,,,,,0.000000,,,,228987003.000000,
2015-01-23,37.610001,37.610001,36.919998,36.939999,7501900,0.000000,0.000000,28.969541,28.969541,28.438059,28.453465,,,,,28.493272,,,,,50.938099,,,,,0.547574,0.019245,-0.017292,0.010947,,,,,,-0.017292,,,,277120178.498100,
2015-01-26,36.799999,36.980000,36.369999,36.580002,7362600,0.000000,0.000000,28.345632,28.484279,28.014419,28.176176,,,,,28.440869,,,,,45.360999,,,,,0.539581,0.019150,-0.009745,-0.009745,,,,,,-0.026869,,,,269323922.725200,
2015-01-27,36.189999,36.299999,35.980000,36.080002,8421800,0.000000,0.000000,27.875761,27.960490,27.714007,27.791035,,,,,28.334691,,,,,38.977593,,,,,0.531861,0.019138,-0.013669,-0.025392,,,,,,-0.040170,,,,303858560.843600,
2015-01-28,36.080002,36.470001,35.660000,35.669998,8297300,0.000000,0.000000,27.791045,28.091447,27.467534,27.475235,,,,,28.195590,,,,,34.669417,,,,,0.540788,0.019683,-0.011363,-0.039838,,,,,,-0.051077,,,,295964674.405400,
2015-01-29,35.459999,35.799999,35.160000,35.740002,12999700,0.000000,0.000000,27.313477,27.575366,27.082399,27.529152,,,,,28.088584,,,,,35.970653,,,,,0.536266,0.019480,0.001962,-0.049215,,,,,,-0.049215,,,,464609303.999400,
2015-01-30,35.459999,35.770000,35.209999,35.240002,11748600,0.000000,0.000000,27.313489,27.552271,27.120924,27.144033,28.210450,,,,27.937936,,,,,31.191705,28.210450,29.188325,27.232576,-0.045273,0.526569,0.019399,-0.013989,-0.046020,,,,,,-0.062516,,,8433690.000000,414020687.497200,
2015-02-02,35.240002,35.779999,34.889999,35.759998,7538500,0.000000,0.000000,27.144022,27.559961,26.874429,27.544556,28.170782,,,,27.875547,,,,,40.104168,28.170782,29.190362,27.151202,0.192900,0.540959,0.019639,0.014755,-0.022417,,,,,,-0.048683,,,8425230.000000,269576744.923000,
2015-02-03,35.830002,36.150002,35.750000,36.060001,5381100,0.000000,0.000000,27.598479,27.844962,27.536856,27.775639,28.163849,,,,27.859777,,,,,44.565479,28.163849,29.192616,27.135082,0.311323,0.520276,0.018731,0.008389,-0.000554,-0.019842,,,,0.197898,-0.040702,,,8213230.000000,194042471.381100,
2015-02-04,35.910000,36.419998,35.910000,36.020000,7244800,0.000000,0.000000,27.660089,28.052921,27.660089,27.744818,28.165005,,,,27.841703,,,,,44.093735,28.165005,29.191731,27.138278,0.295376,0.509149,0.018351,-0.001110,0.009812,-0.006071,,,,0.191194,-0.041767,,,8191995.000000,260957696.000000,
2015-02-05,36.009998,36.270000,35.919998,36.259998,7104500,0.000000,0.000000,27.737122,27.937392,27.667798,27.929688,28.131883,,,,27.855490,,,,,47.671797,28.131883,29.143220,27.120547,0.400036,0.488561,0.017493,0.006663,0.014550,0.007502,,,,0.190998,-0.035382,,,8026280.000000,257609155.791000,
2015-02-06,36.259998,36.279999,35.810001,35.910000,7486800,0.000000,0.000000,27.929680,27.945085,27.583065,27.660089,28.067181,,,,27.824959,,,,,43.317780,28.067181,29.020963,27.113400,0.286590,0.477841,0.017275,-0.009653,0.019012,-0.032597,,,,0.157038,-0.044693,,,7994515.000000,268850988.000000,
2015-02-09,35.419998,36.160000,35.419998,35.709999,7487700,0.000000,0.000000,27.282662,27.852657,27.282662,27.506039,28.009025,,,,27.775249,27.923893,-0.148644,,,41.012756,28.009025,28.950014,27.068036,0.232735,0.485546,0.017652,-0.005569,-0.001398,-0.050013,,,,0.148759,-0.050013,,,8086775.000000,267385759.512300,
2015-02-10,35.529999,36.009998,35.509998,35.810001,10507100,0.000000,0.000000,27.367399,27.737125,27.351994,27.583075,27.968201,,,,27.745355,27.895034,-0.149680,,,42.656044,27.968201,28.908696,27.027706,0.295253,0.477252,0.017302,0.002801,-0.006933,-0.037883,,,,0.147227,-0.047353,,,8206805.000000,376259261.507100,
2015-02-11,36.419998,37.450001,36.250000,36.740002,18260800,0.000000,0.000000,28.052922,28.846293,27.921979,28.299408,27.972437,,,,27.831394,27.928915,-0.097521,,,55.164047,27.972437,28.918354,27.026520,0.672833,0.541453,0.019133,0.025970,0.019989,-0.003526,,,,0.172945,-0.022613,,,8726350.000000,670901828.521600,
2015-02-12,36.980000,37.230000,36.490002,36.980000,11406800,0.000000,0.000000,28.484272,28.676837,28.106845,28.484272,27.988997,,,,27.932634,27.974999,-0.042365,,,57.726693,27.988997,28.959507,27.018488,0.755162,0.543760,0.019090,0.006532,0.019856,0.009555,,,,0.172767,-0.016228,,,8943595.000000,421823464.000000,
2015-02-13,37.139999,37.160000,36.560001,36.779999,7604100,0.000000,0.000000,28.607527,28.622933,28.160777,28.330233,27.998241,,,,27.994213,28.004216,-0.010003,,,54.910387,27.998241,28.978493,27.017989,0.669340,0.537224,0.018963,-0.005408,0.024228,0.006293,,,,0.173758,-0.021548,,,8793450.000000,279678790.395900,
2015-02-17,36.799999,37.160000,36.610001,37.150002,11537000,0.000000,0.000000,28.345628,28.622922,28.199279,28.615221,28.006329,,,,28.090294,28.054062,0.036232,,,58.904983,28.006329,29.004893,27.007764,0.804884,0.528204,0.018459,0.010060,0.040325,0.016694,,,,0.176944,-0.011705,,,8976180.000000,428599573.074000,
