Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,78.070000,78.660004,76.760002,78.250000,169100,0.000000,0.000000,68.914283,69.435094,67.757916,69.073174,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,13232075.000000,
2015-01-05,78.089996,78.099998,75.650002,75.699997,268400,0.000000,0.000000,68.931922,68.940751,66.778080,66.822212,,,,,,,,,,50.000000,,,,,,,-0.032588,,,,,,,-0.032588,,,,20317879.194800,
2015-01-06,76.000000,76.360001,74.330002,74.709999,257600,0.000000,0.000000,67.087010,67.404791,65.612863,65.948296,,,,,,,,,,50.000000,,,,,,,-0.013078,,,,,,,-0.045240,,,,19245295.742400,
2015-01-07,75.269997,75.940002,73.750000,73.930000,358700,0.000000,0.000000,66.442643,67.034074,65.100906,65.259796,,,,,,,,,,50.000000,,,,,,,-0.010440,,,,,,,-0.055208,,,,26518691.000000,
2015-01-08,74.519997,76.000000,74.250000,75.330002,286900,0.000000,0.000000,65.780587,67.087021,65.542254,66.495598,,,,,,,,,,50.000000,,,,,,,0.018937,,,,,,,-0.037317,,,,21612177.573800,
2015-01-09,75.580002,75.739998,73.959999,74.169998,226300,0.000000,0.000000,66.716301,66.857534,65.286286,65.471657,,,,,,,,,,50.000000,,,,,,,-0.015399,-0.052141,,,,,,-0.052141,,,,16784670.547400,
2015-01-12,74.260002,74.260002,72.970001,73.360001,375600,0.000000,0.000000,65.551145,65.551145,64.412429,64.756691,,,,,,,,,,50.000000,,,,,,,-0.010920,-0.030911,,,,,,-0.062491,,,,27554016.375600,
2015-01-13,73.879997,74.970001,72.440002,73.529999,349800,0.000000,0.000000,65.215652,66.177825,63.944534,64.906700,,,,,,,,,,50.000000,,,,,,,0.002317,-0.015794,,,,,,-0.060320,,,,25720793.650200,
2015-01-14,72.510002,73.650002,72.500000,73.250000,182900,0.000000,0.000000,64.006347,65.012652,63.997518,64.659561,,,,,,,,,,50.000000,,,,,,,-0.003808,-0.009198,,,,,,-0.063898,,,,13397425.000000,
2015-01-15,73.360001,73.959999,72.070000,72.190002,229100,0.000000,0.000000,64.756624,65.286257,63.617910,63.723839,,,,,,,,,,50.000000,,,,,,,-0.014472,-0.041683,,,,,,-0.077444,,,,16538729.458200,
2015-01-16,72.029999,72.919998,71.580002,72.529999,286200,0.000000,0.000000,63.582655,64.368279,63.185432,64.024017,,,,,,,,,,50.000000,,,,,,,0.004711,-0.022111,,,,,,-0.073099,,,,20758085.713800,
2015-01-20,72.660004,73.360001,71.889999,72.209999,259100,0.000000,0.000000,64.138742,64.756646,63.459041,63.741512,,,,,64.742260,,,,,50.000000,,,,,,,-0.004412,-0.015677,,,,,,-0.077189,,,,18709610.740900,
2015-01-21,72.000000,73.110001,71.820000,72.760002,355100,0.000000,0.000000,63.556133,64.535957,63.397242,64.227005,,,,,64.652792,,,,,50.000000,,,,,,,0.007617,-0.010472,,,,,,-0.070160,,,,25837076.710200,
