Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,41.680000,41.790001,41.020000,41.459999,2058600,0.000000,0.000000,31.248392,31.330862,30.753576,31.083452,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,85349553.941400,
2015-01-05,41.200001,41.369999,39.910000,40.049999,2800900,0.000000,0.000000,30.888523,31.015974,29.921382,30.026342,,,,,,,,,,50.000000,,,,,,,-0.034009,,,,,,,-0.034009,,,,112176042.199100,
2015-01-06,40.049999,40.330002,39.520000,39.689999,3358400,0.000000,0.000000,30.026341,30.236265,29.628990,29.756441,,,,,,,,,,50.000000,,,,,,,-0.008989,,,,,,,-0.042692,,,,133294892.641600,
2015-01-07,39.779999,39.869999,39.430000,39.730000,1716400,0.165000,0.000000,29.948424,30.016181,29.684927,29.910782,,,,,,,,,,50.000000,,,,,,,0.005187,,,,,,,-0.037727,,,,68192572.000000,
2015-01-08,39.919998,40.889999,39.880001,40.549999,1950100,0.000000,0.000000,30.053810,30.784076,30.023698,30.528107,,,,,,,,,,50.000000,,,,,,,0.020639,,,,,,,-0.017866,,,,79076553.049900,
2015-01-09,40.450001,40.889999,40.090000,40.650002,1543600,0.000000,0.000000,30.452830,30.784084,30.181803,30.603401,,,,,,,,,,50.000000,,,,,,,0.002466,-0.015444,,,,,,-0.015444,,,,62747343.087200,
2015-01-12,40.770000,40.860001,39.639999,39.869999,2332800,0.000000,0.000000,30.693740,30.761496,29.843017,30.016172,,,,,,,,,,50.000000,,,,,,,-0.019188,-0.000339,,,,,,-0.034336,,,,93008733.667200,
2015-01-13,39.380001,40.419998,38.860001,39.320000,4010300,0.000000,0.000000,29.647286,30.430249,29.255803,29.602114,,,,,,,,,,50.000000,,,,,,,-0.013794,-0.005186,,,,,,-0.047657,,,,157684996.000000,
2015-01-14,38.939999,39.139999,38.520000,38.889999,2960100,0.000000,0.000000,29.316027,29.466598,28.999831,29.278385,,,,,,,,,,50.000000,,,,,,,-0.010936,-0.021143,,,,,,-0.058072,,,,115118286.039900,
2015-01-15,38.900002,38.900002,38.230000,38.459999,3159100,0.000000,0.000000,29.285915,29.285915,28.781503,28.954659,,,,,,,,,,50.000000,,,,,,,-0.011057,-0.051541,,,,,,-0.068486,,,,121498982.840900,
2015-01-16,38.419998,38.779999,38.279999,38.750000,1944300,0.000000,0.000000,28.924530,29.195556,28.819131,29.172972,,,,,,,,,,50.000000,,,,,,,0.007540,-0.046741,,,,,,-0.061463,,,,75341625.000000,
2015-01-20,38.889999,39.099998,38.250000,38.529999,1860600,0.000000,0.000000,29.278374,29.436472,28.796550,29.007347,,,,,29.539561,,,,,50.000000,,,,,,,-0.005677,-0.033609,,,,,,-0.066791,,,,71688916.139400,
2015-01-21,38.299999,38.709999,38.139999,38.509998,1911700,0.000000,0.000000,28.834206,29.142875,28.713750,28.992304,,,,,29.444536,,,,,50.000000,,,,,,,-0.000519,-0.020600,,,,,,-0.067275,,,,73619563.176600,
2015-01-22,38.330002,39.680000,38.299999,39.660000,2378700,0.000000,0.000000,28.856778,29.873126,28.834191,29.858068,,,,,29.514947,,,,,50.000000,,,,,0.695472,0.023293,0.029862,0.019799,,,,,,-0.039422,,,,94339242.000000,
2015-01-23,39.700001,39.740002,39.230000,39.480000,1990700,0.000000,0.000000,29.888189,29.918304,29.534348,29.722561,,,,,29.549726,,,,,43.205697,,,,,0.662309,0.022283,-0.004538,0.026521,,,,,,-0.043782,,,,78592836.000000,
2015-01-26,39.160000,39.189999,38.410000,38.900002,2352900,0.000000,0.000000,29.481663,29.504248,28.917025,29.285923,,,,,29.506131,,,,,37.616712,,,,,0.677040,0.023118,-0.014690,0.003872,,,,,,-0.057829,,,,91527814.705800,
2015-01-27,38.310001,38.770000,37.950001,38.070000,2203700,0.000000,0.000000,28.841736,29.188047,28.570709,28.661051,,,,,29.368050,,,,,31.363890,,,,,0.680847,0.023755,-0.021337,-0.011938,,,,,,-0.077932,,,,83894859.000000,
2015-01-28,38.450001,38.770000,37.900002,38.009998,3044800,0.000000,0.000000,28.947128,29.188040,28.533060,28.615871,,,,,29.246311,,,,,30.963134,,,,,0.678339,0.023705,-0.001576,-0.012984,,,,,,-0.079386,,,,115732841.910400,
2015-01-29,37.830002,38.470001,37.689999,38.060001,3773800,0.000000,0.000000,28.480361,28.962186,28.374960,28.653517,,,,,29.151130,,,,,31.745729,,,,,0.669723,0.023373,0.001316,-0.040343,,,,,,-0.078175,,,,143630831.773800,
2015-01-30,37.799999,38.360001,37.540001,37.799999,3105500,0.000000,0.000000,28.457767,28.879365,28.262027,28.457767,29.509362,,,,29.040545,,,,,29.850855,29.509362,30.962798,28.055926,0.138238,0.664882,0.023364,-0.006832,-0.042553,,,,,,-0.084472,,,2522850.000000,117387896.894500,
2015-02-02,37.799999,38.349998,37.459999,38.290001,2208300,0.000000,0.000000,28.457771,28.871839,28.201802,28.826670,29.396523,,,,29.006625,,,,,37.430564,29.396523,30.675331,28.117714,0.277194,0.665348,0.023081,0.012963,-0.015682,,,,,,-0.072604,,,2530335.000000,84555809.208300,
2015-02-03,38.380001,39.290001,38.230000,39.259998,2279100,0.000000,0.000000,28.894426,29.579520,28.781497,29.556932,29.373052,,,,29.093489,,,,,49.144860,29.373052,30.620024,28.126080,0.573731,0.677133,0.022909,0.025333,0.031258,-0.049110,,,,0.249011,-0.049110,,,2504245.000000,89477461.441800,
2015-02-04,39.060001,39.340000,38.779999,38.919998,2634400,0.000000,0.000000,29.406354,29.617152,29.195554,29.300953,29.350278,,,,29.126106,,,,,45.900830,29.350278,30.584338,28.116218,0.480015,0.654823,0.022348,-0.008661,0.023941,-0.024158,,,,0.222369,-0.057346,,,2468045.000000,102530842.731200,
2015-02-05,38.990002,39.139999,38.500000,38.790001,2028200,0.000000,0.000000,29.353683,29.466609,28.984784,29.203112,29.314894,,,,29.138172,,,,,44.686643,29.314894,30.521564,28.108224,0.453681,0.639955,0.021914,-0.003339,0.019181,-0.018595,,,,0.220689,-0.060493,,,2483635.000000,78673880.028200,
2015-02-06,38.910000,39.369999,38.450001,38.869999,1959800,0.000000,0.000000,29.293443,29.639754,28.947132,29.263329,29.251655,,,,29.157727,,,,,45.639724,29.251655,30.314625,28.188686,0.505491,0.644417,0.022021,0.002062,0.028307,-0.021646,,,,0.219885,-0.058556,,,2484120.000000,76177424.040200,
2015-02-09,38.860001,39.090000,38.700001,38.849998,1606300,0.000000,0.000000,29.255796,29.428952,29.135340,29.248266,29.183899,,,,29.171840,29.254481,-0.082641,,,45.428857,29.183899,30.035895,28.331902,0.537774,0.615089,0.021030,-0.000515,0.014625,-0.041923,,,,0.205451,-0.059041,,,2487255.000000,62404751.787400,
2015-02-10,39.160000,39.459999,38.590000,39.439999,1953000,0.000000,0.000000,29.481652,29.707507,29.052527,29.692450,29.167713,,,,29.252824,29.291565,-0.038741,,,52.411273,29.167713,29.963586,28.371839,0.829661,0.618384,0.020826,0.015187,0.004585,-0.029766,,,,0.213471,-0.044751,,,2468265.000000,77026318.047000,
2015-02-11,39.220001,39.900002,39.119999,39.790001,3255000,0.000000,0.000000,29.526827,30.038766,29.451540,29.955952,29.185404,,,,29.362013,29.347232,0.014782,,,56.007347,29.185404,30.035801,28.335008,0.953052,0.615839,0.020558,0.008874,0.022354,-0.002006,,,,0.205929,-0.036273,,,2430500.000000,129516453.255000,
2015-02-12,36.230000,37.279999,35.880001,36.900002,14347300,0.000000,0.000000,27.275795,28.066288,27.012298,27.780207,29.110496,,,,29.116728,29.217200,-0.100472,,,33.498335,29.110496,30.165687,28.055304,-0.130354,0.804054,0.028943,-0.072631,-0.048724,-0.061547,,,,0.323075,-0.106270,,,2999860.000000,529415398.694600,
2015-02-13,37.119999,38.410000,36.990002,38.220001,5255600,0.000000,0.000000,27.945841,28.917020,27.847972,28.773979,29.101462,,,,29.063644,29.180746,-0.117102,,,44.474853,29.101462,30.165329,28.037594,0.346089,0.830708,0.028870,0.035773,-0.016722,-0.017228,,,,0.347854,-0.074299,,,3104685.000000,200869037.255600,
2015-02-17,38.060001,38.189999,37.180000,37.790001,4573300,0.000000,0.000000,28.653513,28.751382,27.991003,28.450243,29.065325,,,,28.968739,29.121151,-0.152411,,,42.040472,29.065325,30.167378,27.963273,0.220938,0.826918,0.029065,-0.011251,-0.027284,-0.017421,,,,0.347928,-0.084714,,,3236135.000000,172825011.573300,
2015-02-18,37.880001,38.230000,37.639999,37.799999,3111400,0.000000,0.000000,28.517997,28.781494,28.337311,28.457767,29.037846,,,,28.889752,29.067435,-0.177683,,,42.119767,29.037846,30.172898,27.902794,0.244470,0.796765,0.027998,0.000264,-0.041582,-0.024516,,,,0.346694,-0.084472,,,3298675.000000,117610916.888600,
2015-02-19,37.779999,38.060001,37.720001,37.849998,2765300,0.000000,0.000000,28.442715,28.653516,28.397546,28.495415,29.013002,,,,28.828839,29.021434,-0.192595,,,42.543351,29.013002,30.173713,27.852290,0.277039,0.754471,0.026477,0.001323,-0.048756,-0.017648,,,,0.346339,-0.083261,,,3341355.000000,104666599.469400,
2015-02-20,37.900002,38.320000,37.630001,38.200001,4000900,0.000000,0.000000,28.533064,28.849260,28.329794,28.758919,28.958044,,,,28.818045,29.000456,-0.182411,-0.144896,-0.037515,45.547082,28.958044,30.052476,27.863613,0.409028,0.736216,0.025600,0.009247,0.035231,-0.008050,,,,0.348021,-0.074784,,,3422465.000000,152834384.000900,
2015-02-23,38.189999,38.509998,37.799999,38.509998,2575500,0.000000,0.000000,28.751392,28.992304,28.457780,28.992304,28.921531,,,,28.844932,28.999808,-0.154877,-0.147132,-0.007744,48.133382,28.921531,29.955632,27.887430,0.534219,0.720645,0.024856,0.008115,0.007588,-0.028996,,,,0.332184,-0.067275,,,3451705.000000,99182499.849000,
2015-02-24,38.590000,38.740002,38.110001,38.570000,3157200,0.000000,0.000000,29.052531,29.165460,28.691163,29.037474,28.909109,,,,28.874626,29.002785,-0.128159,-0.142981,0.014822,48.641810,28.909109,29.930672,27.887546,0.562828,0.701737,0.024167,0.001558,0.020641,-0.023049,,,,0.332080,-0.065822,,,3491920.000000,121773204.000000,
2015-02-25,38.660000,38.779999,38.520000,38.619999,2136100,0.000000,0.000000,29.105230,29.195571,28.999831,29.075115,28.929812,,,,28.905535,29.008472,-0.102938,-0.134381,0.031443,49.089671,28.929812,29.946982,27.912643,0.571425,0.663105,0.022807,0.001296,0.021693,-0.007198,,,,0.328309,-0.064611,,,3488540.000000,82496179.863900,
2015-02-26,38.650002,39.139999,38.490002,38.650002,2913000,0.000000,0.000000,29.097708,29.466603,28.977252,29.097708,28.953904,,,,28.935152,29.015457,-0.080306,-0.122937,0.042631,49.375032,28.953904,29.962554,27.945254,0.571285,0.649904,0.022335,0.000777,0.021136,0.015235,,,,0.319124,-0.063884,,,3481950.000000,112587455.826000,
2015-02-27,38.720001,38.930000,38.389999,38.650002,2851800,0.000000,0.000000,29.150407,29.308505,28.901965,29.097708,28.976114,,,,28.960197,29.021869,-0.061672,-0.110120,0.048449,49.375032,28.976114,29.976441,27.975786,0.560777,0.631498,0.021703,0.000000,0.011780,0.016838,,,,0.319015,-0.063884,,,3435850.000000,110222075.703600,
2015-03-02,38.290001,38.930000,38.250000,38.580002,2182000,0.000000,0.000000,28.826667,29.308491,28.796552,29.044994,29.005475,,,,28.973259,29.023664,-0.050405,-0.097742,0.047337,48.637331,29.005475,29.975763,28.035186,0.520365,0.622493,0.021432,-0.001812,0.001817,0.013662,,,,0.319159,-0.065580,,,3389675.000000,84181564.364000,
2015-03-03,38.360001,38.560001,37.910000,38.029999,2883800,0.000000,0.000000,28.879372,29.029943,28.540589,28.630930,28.995688,,,,28.920537,28.993278,-0.072741,-0.092597,0.019856,43.179978,28.995688,29.977451,28.013925,0.314233,0.613634,0.021433,-0.014256,-0.014001,0.006085,,,,0.322429,-0.078901,,,3423450.000000,109670911.116200,
2015-03-04,37.939999,38.139999,37.549999,37.799999,3993900,0.000000,0.000000,28.563166,28.713737,28.269555,28.457767,28.940730,,,,28.849278,28.951981,-0.102703,-0.094664,-0.008038,41.102880,28.940730,29.913224,27.968236,0.251689,0.600967,0.021118,-0.006048,-0.021233,-0.012797,,,,0.319878,-0.084472,,,3509190.000000,150969416.006100,
2015-03-05,37.820000,38.599998,37.720001,38.549999,2794000,0.000000,0.000000,28.472838,29.060061,28.397554,29.022419,28.926803,,,,28.875935,28.957396,-0.081461,-0.091975,0.010514,49.614136,28.926803,29.885455,27.968150,0.549870,0.605552,0.020865,0.019842,-0.002587,-0.018084,,,,0.314835,-0.066306,,,3517170.000000,107708697.206000,
2015-03-06,38.400002,38.759998,38.099998,38.200001,2471900,0.000000,0.000000,28.909490,29.180514,28.683632,28.758919,28.904593,,,,28.857921,28.942179,-0.084258,-0.090409,0.006151,46.254891,28.904593,29.856853,27.952334,0.423511,0.597480,0.020775,-0.009079,-0.011643,-0.018499,,,,0.314972,-0.074784,,,3539355.000000,94426582.471900,
2015-03-09,38.209999,38.490002,38.049999,38.439999,3176200,0.000000,0.000000,28.766441,28.977241,28.645985,28.939596,28.888407,,,,28.870493,28.941982,-0.071488,-0.086581,0.015093,48.814031,28.888407,29.825882,27.950931,0.527302,0.577762,0.019964,0.006282,-0.003629,-0.009024,,,,0.315717,-0.068971,,,3600175.000000,122093124.823800,
2015-03-10,38.150002,38.259998,37.930000,37.939999,4051800,0.000000,0.000000,28.721268,28.804080,28.555640,28.563168,28.854152,,,,28.823191,28.913083,-0.089892,-0.087249,-0.002643,44.102304,28.854152,29.786314,27.921990,0.343920,0.563445,0.019726,-0.013007,-0.002367,-0.023926,,,,0.318636,-0.081081,,,3722450.000000,153725287.948200,
2015-03-11,37.869999,38.110001,37.590000,37.820000,2390500,0.000000,0.000000,28.510479,28.691165,28.299682,28.472837,28.793171,,,,28.769269,28.879572,-0.110303,-0.091894,-0.018409,43.028967,28.793171,29.651037,27.935305,0.313296,0.550773,0.019344,-0.003162,0.000530,-0.026512,,,,0.318722,-0.083987,,,3744325.000000,90408710.000000,
2015-03-12,37.709999,38.860001,37.220001,37.410000,4017600,0.000000,0.000000,28.390016,29.255796,28.021121,28.164162,28.703582,,,,28.676145,28.825227,-0.149082,-0.103400,-0.045682,39.491984,28.703582,29.411246,27.995917,0.118874,0.601057,0.021341,-0.010841,-0.029572,-0.051471,,,,0.314711,-0.093918,,,3782455.000000,150298416.000000,
2015-03-13,37.209999,37.439999,36.459999,36.820000,3875300,0.000000,0.000000,28.013588,28.186743,27.448950,27.719976,28.700570,,,,28.529001,28.741427,-0.212426,-0.125309,-0.087118,35.029706,28.700570,29.425092,27.976048,-0.176718,0.611090,0.022045,-0.015771,-0.036126,-0.074642,,,,0.315244,-0.108208,,,3258855.000000,142688546.000000,
2015-03-16,36.970001,37.169998,36.689999,37.160000,2109500,0.000000,0.000000,27.832904,27.983472,27.622104,27.975945,28.660668,29.100049,,,28.443896,28.683490,-0.239594,-0.148252,-0.091342,39.287027,28.660668,29.452904,27.868433,0.067854,0.592803,0.021190,0.009234,-0.033299,0.007046,,,,0.192800,-0.099973,,,3101550.000000,78389020.000000,
2015-03-17,37.110001,37.400002,36.740002,36.779999,2189300,0.000000,0.000000,27.938305,28.156633,27.659751,27.689863,28.622649,29.032177,,,28.327867,28.608405,-0.280538,-0.174790,-0.105748,36.414992,28.622649,29.523006,27.722292,-0.018009,0.585791,0.021155,-0.010226,-0.030575,-0.037677,,,,0.146848,-0.109177,,,2982350.000000,80522451.810700,
2015-03-18,36.779999,37.560001,36.529999,37.299999,3277100,0.000000,0.000000,27.689867,28.277093,27.501655,28.081350,28.603828,28.993277,,,28.289935,28.568637,-0.278702,-0.195623,-0.083079,42.599018,28.603828,29.533943,27.673714,0.219132,0.599631,0.021353,0.014138,-0.013749,-0.012966,,,,0.152460,-0.096582,,,2990635.000000,122235826.722900,
2015-03-19,37.279999,37.419998,36.639999,36.700001,3775500,0.000000,0.000000,28.066285,28.171684,27.584461,27.629633,28.560539,28.950741,,,28.188336,28.497884,-0.309548,-0.218452,-0.091096,38.005959,28.560539,29.587452,27.533627,0.046745,0.598727,0.021670,-0.016086,-0.018979,-0.029100,,,,0.161572,-0.111114,,,3041145.000000,138560853.775500,
2015-03-20,36.900002,37.500000,36.700001,37.320000,3994600,0.000000,0.000000,27.780218,28.231928,27.629647,28.096415,28.527414,28.914454,,,28.174192,28.467672,-0.293480,-0.233481,-0.059999,44.647543,28.527414,29.570004,27.484824,0.293304,0.598986,0.021319,0.016894,0.013580,-0.014002,,,,0.173396,-0.096097,,,3040830.000000,149078472.000000,
2015-03-23,36.520000,36.840000,36.419998,36.639999,3895700,0.000000,0.000000,27.494127,27.735040,27.418841,27.584469,28.457022,28.855581,,,28.083456,28.401286,-0.317830,-0.250371,-0.067458,39.632569,28.457022,29.556031,27.358014,0.103027,0.604697,0.021922,-0.018221,-0.013993,-0.040838,,,,0.179705,-0.112567,,,3106840.000000,142738444.104300,
2015-03-24,36.740002,36.790001,35.830002,35.849998,6220700,0.000000,0.000000,27.659758,27.697400,26.974663,26.989717,28.354635,28.783307,,,27.915174,28.295302,-0.380127,-0.276348,-0.103779,34.749271,28.354635,29.598021,27.111249,-0.048871,0.613263,0.022722,-0.021561,-0.025285,-0.069073,,,,0.188031,-0.131701,,,3260015.000000,223012082.558600,
2015-03-25,35.790001,36.090000,35.610001,35.740002,4567300,0.000000,0.000000,26.944548,27.170403,26.809035,26.906906,28.246224,28.721122,,,27.760045,28.191162,-0.431117,-0.307327,-0.123791,34.118904,28.246224,29.598440,26.894009,0.004769,0.595003,0.022113,-0.003068,-0.041823,-0.073373,,,,0.187195,-0.134366,,,3381575.000000,163235311.134600,
2015-03-26,35.430000,35.680000,35.259998,35.549999,5171100,0.000000,0.000000,26.673523,26.861736,26.545537,26.763865,28.129532,28.664357,,,27.606777,28.084204,-0.477427,-0.341368,-0.136059,33.005158,28.129532,29.572142,26.686922,0.026668,0.578085,0.021599,-0.005316,-0.031335,-0.079492,,,,0.186435,-0.138967,,,3494480.000000,183832599.828900,
