Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,15.820000,15.910000,15.410000,15.590000,3023100,0.000000,0.000000,13.835097,13.913805,13.476539,13.633955,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,47130129.000000,
2015-01-05,15.450000,15.550000,15.080000,15.120000,4016900,0.000000,0.000000,13.511519,13.598972,13.187942,13.222923,,,,,,,,,,50.000000,,,,,,,-0.030148,,,,,,,-0.030148,,,,60735528.000000,
2015-01-06,15.100000,15.200000,14.760000,14.910000,4330200,0.000000,0.000000,13.205436,13.292889,12.908095,13.039274,,,,,,,,,,50.000000,,,,,,,-0.013889,,,,,,,-0.043618,,,,64563282.000000,
2015-01-07,15.040000,15.040000,14.680000,14.870000,2516600,0.000000,0.000000,13.152963,13.152963,12.838132,13.004292,,,,,,,,,,50.000000,,,,,,,-0.002683,,,,,,,-0.046183,,,,37421842.000000,
2015-01-08,15.050000,15.390000,14.830000,15.340000,4637100,0.000000,0.000000,13.161708,13.459049,12.969311,13.415322,,,,,,,,,,50.000000,,,,,,,0.031607,,,,,,,-0.016036,,,,71133114.000000,
2015-01-09,15.290000,15.430000,15.240000,15.410000,2470400,0.000000,0.000000,13.371597,13.494032,13.327870,13.476541,,,,,,,,,,50.000000,,,,,,,0.004563,-0.011546,,,,,,-0.011546,,,,38068864.000000,
2015-01-12,15.390000,15.430000,15.120000,15.280000,3185200,0.000000,0.000000,13.459048,13.494030,13.222924,13.362849,,,,,,,,,,50.000000,,,,,,,-0.008436,0.010582,,,,,,-0.019885,,,,48669856.000000,
2015-01-13,15.350000,15.410000,15.070000,15.230000,3781600,0.000000,0.000000,13.424067,13.476538,13.179197,13.319122,,,,,,,,,,50.000000,,,,,,,-0.003272,0.021462,,,,,,-0.023092,,,,57593768.000000,
2015-01-14,15.150000,15.210000,14.720000,15.100000,4810200,0.000000,0.000000,13.249162,13.301634,12.873113,13.205436,,,,,,,,,,50.000000,,,,,,,-0.008536,0.015468,,,,,,-0.031430,,,,72634020.000000,
2015-01-15,15.200000,15.350000,14.950000,15.010000,2692400,0.000000,0.000000,13.292888,13.424068,13.074255,13.126727,,,,,,,,,,50.000000,,,,,,,-0.005960,-0.021512,,,,,,-0.037203,,,,40412924.000000,
2015-01-16,14.990000,15.120000,14.970000,15.060000,1622000,0.000000,0.000000,13.109235,13.222925,13.091745,13.170453,,,,,,,,,,50.000000,,,,,,,0.003331,-0.022713,,,,,,-0.033996,,,,24427320.000000,
2015-01-20,15.120000,15.130000,14.740000,14.930000,2922100,0.000000,0.000000,13.222925,13.231671,12.890603,13.056765,,,,,13.212250,,,,,50.000000,,,,,,,-0.008632,-0.022906,,,,,,-0.042335,,,,43626953.000000,
2015-01-21,14.910000,15.000000,14.760000,14.950000,3523600,0.000000,0.000000,13.039273,13.117981,12.908093,13.074254,,,,,13.188288,,,,,50.000000,,,,,,,0.001339,-0.018385,,,,,,-0.041052,,,,52677820.000000,
2015-01-22,15.010000,15.250000,14.840000,15.200000,2155900,0.000000,0.000000,13.126728,13.336615,12.978057,13.292889,,,,,13.206098,,,,,50.000000,,,,,0.319298,0.024020,0.016723,0.006623,,,,,,-0.025016,,,,32769680.000000,
2015-01-23,15.190000,15.330000,15.080000,15.180000,2011100,0.000000,0.000000,13.284145,13.406580,13.187947,13.275400,,,,,13.217708,,,,,45.502606,,,,,0.308582,0.023245,-0.001316,0.011326,,,,,,-0.026299,,,,30528498.000000,
2015-01-26,15.160000,15.540000,15.100000,15.540000,1898000,0.000000,0.000000,13.257905,13.590227,13.205433,13.590227,,,,,13.279269,,,,,58.801486,,,,,0.316420,0.023283,0.023715,0.031872,,,,,,-0.003207,,,,29494920.000000,
2015-01-27,15.660000,15.670000,15.340000,15.450000,2682800,0.000000,0.000000,13.695174,13.703920,13.415324,13.511522,,,,,13.317218,,,,,55.176483,,,,,0.313646,0.023213,-0.005791,0.034829,,,,,,-0.008980,,,,41449260.000000,
2015-01-28,15.490000,15.510000,15.140000,15.140000,2522900,0.000000,0.000000,13.546503,13.563994,13.240417,13.240417,,,,,13.304788,,,,,44.906896,,,,,0.314609,0.023761,-0.020065,0.012709,,,,,,-0.028865,,,,38196706.000000,
2015-01-29,15.130000,15.230000,14.750000,14.930000,2693600,0.000000,0.000000,13.231671,13.319124,12.899349,13.056765,,,,,13.264964,,,,,39.538310,,,,,0.324553,0.024857,-0.013871,-0.017763,,,,,,-0.042335,,,,40215448.000000,
2015-01-30,14.830000,15.110000,14.760000,14.890000,3106000,0.000000,0.000000,12.969312,13.214180,12.908095,13.021784,13.254846,,,,13.226179,,,,,38.591932,13.254846,13.643233,12.866459,0.199962,0.322846,0.024793,-0.002679,-0.019104,,,,,,-0.044900,,,3030085.000000,46248340.000000,
2015-02-02,14.940000,15.110000,14.710000,14.940000,3397500,0.000000,0.000000,13.065508,13.214178,12.864366,13.065508,13.226423,,,,13.200697,,,,,40.508712,13.226423,13.579598,12.873249,0.272187,0.325287,0.024897,0.003358,-0.038610,,,,,,-0.041693,,,3048805.000000,50758650.000000,
2015-02-03,15.050000,15.690000,15.040000,15.610000,3703200,0.000000,0.000000,13.161708,13.721408,13.152962,13.651445,13.247850,,,,13.271846,,,,,58.984722,13.247850,13.648882,12.846817,1.003195,0.354654,0.025979,0.044846,0.010356,0.001283,,,,0.272828,0.000000,,,3033120.000000,57806952.000000,
2015-02-04,15.640000,15.680000,15.420000,15.590000,2873700,0.000000,0.000000,13.677682,13.712663,13.485284,13.633955,13.277584,,,,13.328776,,,,,58.401675,13.277584,13.701058,12.854109,0.920771,0.343542,0.025198,-0.001281,0.029722,0.031085,,,,0.249717,-0.001281,,,2960295.000000,44800983.000000,
2015-02-05,15.580000,15.750000,15.430000,15.730000,3814900,0.000000,0.000000,13.625207,13.773878,13.494028,13.756387,13.315188,,,,13.395778,,,,,61.286481,13.315188,13.768968,12.861408,0.986137,0.338068,0.024575,0.008980,0.053583,0.054996,,,,0.244382,0.000000,,,3025210.000000,60008377.000000,
2015-02-06,16.100000,16.350000,15.950000,16.260000,7022500,0.000000,0.000000,14.079967,14.298601,13.948787,14.219893,13.355417,,,,13.524542,,,,,69.819647,13.355417,13.963122,12.747712,1.211263,0.355362,0.024990,0.033694,0.092008,0.093477,,,,0.265896,0.000000,,,3144480.000000,114185850.000000,
2015-02-09,16.230000,16.780001,16.230000,16.719999,7034500,0.000000,0.000000,14.193657,14.674650,14.193657,14.622177,13.412699,,,,13.695632,13.517702,0.177930,,,74.975249,13.412699,14.243499,12.581899,1.227900,0.365865,0.025021,0.028290,0.119143,0.089961,,,,0.261836,0.000000,,,3372685.000000,117616832.965500,
2015-02-10,16.760000,16.830000,16.290001,16.770000,4231600,0.000000,0.000000,14.657159,14.718376,14.246129,14.665904,13.477851,,,,13.846564,13.614925,0.231638,,,75.465849,13.477851,14.479085,12.476618,1.093294,0.374652,0.025546,0.002990,0.074311,0.088254,,,,0.261868,0.000000,,,3425005.000000,70963932.000000,
2015-02-11,16.770000,16.870001,16.670000,16.760000,3838300,0.000000,0.000000,14.665905,14.753359,14.578452,14.657160,13.544753,,,,13.972442,13.702250,0.270192,,,75.148583,13.544753,14.672189,12.417317,0.993335,0.358336,0.024448,-0.000596,0.075048,0.096859,,,,0.258502,-0.000596,,,3427840.000000,64329908.000000,
2015-02-12,16.480000,16.990000,16.480000,16.840000,2443300,0.000000,0.000000,14.412289,14.858301,14.412289,14.727121,13.620838,,,,14.089467,13.787294,0.302173,,,76.017346,13.620838,14.852427,12.389248,0.949128,0.365425,0.024813,0.004773,0.070566,0.105713,,,,0.256937,0.000000,,,3309495.000000,41145172.000000,
2015-02-13,16.920000,17.049999,16.820000,16.889999,3057400,0.000000,0.000000,14.797084,14.910772,14.709630,14.770847,13.703044,,,,14.194998,13.868189,0.326809,,,76.568680,13.703044,15.012771,12.393316,0.907643,0.352266,0.023849,0.002969,0.038745,0.118543,,,,0.252397,0.000000,,,3327745.000000,51639482.942600,
2015-02-17,16.889999,17.110001,16.809999,17.110001,2517100,0.000000,0.000000,14.770850,14.963248,14.700888,14.963248,13.792683,,,,14.313860,13.957525,0.356335,,,78.870444,13.792683,15.191317,12.394050,0.918467,0.345126,0.023065,0.013026,0.023326,0.139907,,,,0.250124,0.000000,,,3372500.000000,43067583.517100,
2015-02-18,17.030001,17.080000,16.879999,16.959999,3488600,0.000000,0.000000,14.893285,14.937011,14.762104,14.832067,13.881448,,,,14.393966,14.028339,0.365627,,,73.564297,13.881448,15.308480,12.454417,0.833075,0.333783,0.022504,-0.008767,0.011330,0.126162,,,,0.255432,-0.008767,,,3400825.000000,59166652.511400,
2015-02-19,16.969999,17.049999,16.850000,17.040001,1644500,0.000000,0.000000,14.840806,14.910768,14.735863,14.902024,13.972837,,,,14.472446,14.098599,0.373846,,,74.547712,13.972837,15.416223,12.529451,0.821878,0.321358,0.021565,0.004717,0.016706,0.141326,,,,0.250061,-0.004092,,,3306870.000000,28022281.644500,
2015-02-20,17.000000,17.200001,16.809999,17.139999,2040100,0.000000,0.000000,14.867047,15.041954,14.700885,14.989481,14.057667,,,,14.552262,14.169791,0.382471,0.341917,0.040554,75.761651,14.057667,15.531886,12.583447,0.816037,0.322889,0.021541,0.005869,0.017815,0.146488,,,,0.249390,0.000000,,,3301080.000000,34967311.959900,
2015-02-23,17.120001,17.330000,17.010000,17.320000,2129400,0.000000,0.000000,14.971989,15.155640,14.875790,15.146894,14.151241,,,,14.644009,14.247419,0.396590,0.354167,0.042423,77.812826,14.151241,15.653705,12.648778,0.831340,0.319566,0.021098,0.010502,0.025459,0.139473,,,,0.247144,0.000000,,,3306995.000000,36881208.000000,
2015-02-24,17.180000,17.430000,17.150000,17.290001,2492000,0.000000,0.000000,15.024461,15.243094,14.998224,15.120660,14.227763,,,,14.717520,14.316425,0.401095,0.364435,0.036660,76.648666,14.227763,15.765400,12.690126,0.790347,0.313833,0.020755,-0.001732,0.010520,0.138998,,,,0.247311,-0.001732,,,3336695.000000,43086682.492000,
2015-02-25,17.240000,17.549999,17.240000,17.440001,2379900,0.000000,0.000000,15.076933,15.348037,15.076933,15.251840,14.314779,,,,14.799893,14.389980,0.409913,0.374201,0.035711,78.389711,14.314779,15.878503,12.751055,0.799625,0.310571,0.020363,0.008676,0.028302,0.122265,,,,0.239350,0.000000,,,3321550.000000,41505458.379900,
2015-02-26,17.469999,17.520000,17.240000,17.330000,2004500,0.000000,0.000000,15.278075,15.321802,15.076933,15.155641,14.410540,,,,14.854719,14.449914,0.404806,0.380678,0.024127,74.030606,14.410540,15.931222,12.889858,0.744989,0.305579,0.020163,-0.006307,0.017019,0.121683,,,,0.239666,-0.006307,,,3295630.000000,34737985.000000,
2015-02-27,17.320000,17.420000,17.219999,17.270000,2543100,0.000000,0.000000,15.146895,15.234349,15.059442,15.103169,14.512860,,,,14.892999,14.500834,0.392165,0.383081,0.009083,71.688902,14.512860,15.921248,13.104473,0.709569,0.295696,0.019578,-0.003462,0.007585,0.140687,,,,0.223639,-0.009748,,,3288105.000000,43919337.000000,
