Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,25.976667,26.203333,25.420000,25.836666,1058700,0.000000,0.000000,24.907865,25.125205,24.374102,24.773624,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,27353278.294200,
2015-01-05,25.776667,25.776667,25.156668,25.180000,1560600,0.000000,0.000000,24.716087,24.716087,24.121598,24.143970,,,,,,,,,,50.000000,,,,,,,-0.025416,,,,,,,-0.025416,,,,39295908.000000,
2015-01-06,25.176666,25.453333,24.466667,24.706667,2261400,0.000000,0.000000,24.140780,24.406063,23.459994,23.690119,,,,,,,,,,50.000000,,,,,,,-0.018798,,,,,,,-0.043736,,,,55871656.753800,
2015-01-07,24.846666,25.036667,24.400000,24.573334,1884000,0.000000,0.000000,23.824356,24.006539,23.396067,23.562269,,,,,,,,,,50.000000,,,,,,,-0.005397,,,,,,,-0.048897,,,,46296161.256000,
2015-01-08,24.719999,25.356667,24.696667,25.219999,1724400,0.000000,0.000000,23.702903,24.313375,23.680531,24.182331,,,,,,,,,,50.000000,,,,,,,0.026316,,,,,,,-0.023868,,,,43489366.275600,
2015-01-09,25.216667,25.436666,24.676666,24.709999,1949700,0.000000,0.000000,24.179135,24.390082,23.661352,23.693314,,,,,,,,,,50.000000,,,,,,,-0.020222,-0.043607,,,,,,-0.043607,,,,48177085.050300,
2015-01-12,24.696667,24.889999,24.426666,24.443333,1571400,0.000000,0.000000,23.680533,23.865911,23.421641,23.437622,,,,,,,,,,50.000000,,,,,,,-0.010792,-0.029256,,,,,,-0.053928,,,,38410253.476200,
2015-01-13,24.593332,24.826668,24.260000,24.443333,2249400,0.000000,0.000000,23.581450,23.805185,23.261833,23.437622,,,,,,,,,,50.000000,,,,,,,0.000000,-0.010658,,,,,,-0.053928,,,,54982833.250200,
2015-01-14,24.153334,24.506666,24.040001,24.226667,1865100,0.000000,0.000000,23.159550,23.498344,23.050880,23.229866,,,,,,,,,,50.000000,,,,,,,-0.008864,-0.014107,,,,,,-0.062315,,,,45185156.621700,
2015-01-15,24.379999,24.500000,23.969999,24.033333,1734900,0.000000,0.000000,23.376884,23.491947,22.983754,23.044481,,,,,,,,,,50.000000,,,,,,,-0.007980,-0.047053,,,,,,-0.069798,,,,41695429.421700,
2015-01-16,23.916668,24.213333,23.916668,24.129999,1719600,0.000000,0.000000,22.932617,23.217076,22.932617,23.137171,,,,,,,,,,50.000000,,,,,,,0.004022,-0.023473,,,,,,-0.066056,,,,41493946.280400,
2015-01-20,24.070000,24.350000,23.760000,24.246668,1926600,0.000000,0.000000,23.079647,23.348127,22.782402,23.249046,,,,,23.421524,,,,,50.000000,,,,,,,0.004835,-0.008046,,,,,,-0.061540,,,,46713630.568800,
2015-01-21,24.223333,24.299999,23.680000,23.946667,2261400,0.000000,0.000000,23.226667,23.300179,22.705689,22.961384,,,,,23.341627,,,,,50.000000,,,,,,,-0.012373,-0.020319,,,,,,-0.073152,,,,54152992.753800,
2015-01-22,23.983334,24.750000,23.983334,24.620001,2243400,0.000000,0.000000,22.996542,23.731664,22.996542,23.607014,,,,,23.386814,,,,,50.000000,,,,,0.596271,0.025258,0.028118,0.016235,,,,,,-0.047091,,,,55232510.243400,
2015-01-23,24.576668,25.066668,24.533333,24.953333,2414100,0.000000,0.000000,23.565459,24.035298,23.523907,23.926626,,,,,23.477241,,,,,49.786943,,,,,0.587235,0.024543,0.013539,0.038280,,,,,,-0.034190,,,,60239841.195300,
2015-01-26,25.023333,25.166668,24.703333,24.750000,1686900,0.000000,0.000000,23.993755,24.131193,23.686921,23.731668,,,,,23.519287,,,,,46.265006,,,,,0.572531,0.024125,-0.008148,0.025694,,,,,,-0.042059,,,,41750775.000000,
2015-01-27,24.486668,24.673332,24.276667,24.466667,2219100,0.000000,0.000000,23.479169,23.658153,23.277808,23.459991,,,,,23.509599,,,,,41.824861,,,,,0.560697,0.023900,-0.011448,0.009073,,,,,,-0.053025,,,,54293980.739700,
2015-01-28,24.670000,24.973333,24.143333,24.209999,1709100,0.000000,0.000000,23.654949,23.945802,23.149952,23.213875,,,,,23.461736,,,,,38.244060,,,,,0.583501,0.025136,-0.010491,0.010996,,,,,,-0.062960,,,,41377309.290900,
2015-01-29,24.209999,24.373333,23.676666,23.763332,2536500,0.000000,0.000000,23.213878,23.370491,22.702489,22.785589,,,,,23.353172,,,,,32.956394,,,,,0.591492,0.025959,-0.018450,-0.034796,,,,,,-0.080248,,,,60275691.618000,
2015-01-30,23.633333,23.746668,23.340000,23.373333,3251700,0.000000,0.000000,22.660943,22.769614,22.379679,22.411640,23.483961,,,,23.203005,,,,,29.164796,23.483961,24.547533,22.420389,-0.004113,0.574340,0.025627,-0.016412,-0.063318,,,,,,-0.095343,,,1991400.000000,76003066.916100,
2015-02-02,23.246668,23.770000,23.166668,23.753332,3351300,0.000000,0.000000,22.290185,22.791985,22.213477,22.776003,23.384080,,,,23.135284,,,,,36.795069,23.384080,24.303071,22.465090,0.169160,0.574717,0.025233,0.016258,-0.040270,,,,,,-0.080635,,,2106030.000000,79604541.531600,
2015-02-03,24.043333,24.049999,23.773333,24.003332,3400500,0.000000,0.000000,23.054081,23.060473,22.795190,23.015726,23.327668,,,,23.116412,,,,,41.276943,23.327668,24.186821,22.468514,0.318460,0.548936,0.023850,0.010525,-0.018937,-0.070958,,,,0.240914,-0.070958,,,2198025.000000,81623330.466000,
2015-02-04,23.776667,24.000000,23.523333,23.786667,2653800,0.000000,0.000000,22.798381,23.012526,22.555471,22.807970,23.283560,,,,23.067920,,,,,38.714740,23.283560,24.154856,22.412265,0.227079,0.541193,0.023728,-0.009027,-0.017485,-0.055335,,,,0.228397,-0.079345,,,2217645.000000,63125056.884600,
2015-02-05,24.166668,25.323334,24.166668,24.556667,4446900,0.000000,0.000000,23.172329,24.281404,23.172329,23.546282,23.282761,,,,23.142874,,,,,50.479042,23.282761,24.153009,22.412513,0.651406,0.621312,0.026387,0.032371,0.033385,-0.006072,,,,0.250419,-0.049542,,,2345790.000000,109201042.482300,
