Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,19.799999,20.180000,19.770000,19.900000,2400400,0.000000,0.000000,15.584319,15.883413,15.560707,15.663028,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,47767960.000000,
2015-01-05,19.500000,19.549999,18.590000,18.700001,3476200,0.000000,0.000000,15.348196,15.387550,14.631947,14.718527,,,,,,,,,,50.000000,,,,,,,-0.060301,,,,,,,-0.060301,,,,65004943.476200,
2015-01-06,18.709999,18.770000,18.049999,18.160000,4349400,0.000000,0.000000,14.726394,14.773621,14.206917,14.293497,,,,,,,,,,50.000000,,,,,,,-0.028877,,,,,,,-0.087437,,,,78985104.000000,
2015-01-07,19.010000,19.110001,18.270000,18.420000,4147000,0.000000,0.000000,14.962529,15.041238,14.380084,14.498147,,,,,,,,,,50.000000,,,,,,,0.014318,,,,,,,-0.074371,,,,76387740.000000,
2015-01-08,18.540001,19.250000,18.350000,19.059999,4824100,0.000000,0.000000,14.592589,15.151420,14.443042,15.001873,,,,,,,,,,50.000000,,,,,,,0.034744,,,,,,,-0.042211,,,,91947341.175900,
2015-01-09,19.049999,19.230000,18.500000,18.900000,4113600,0.000000,0.000000,14.994003,15.135679,14.561106,14.875940,,,,,,,,,,50.000000,,,,,,,-0.008394,-0.050251,,,,,,-0.050251,,,,77747040.000000,
2015-01-12,18.790001,18.969999,17.820000,18.170000,4708800,0.000000,0.000000,14.789361,14.931036,14.025886,14.301367,,,,,,,,,,50.000000,,,,,,,-0.038624,-0.028343,,,,,,-0.086935,,,,85558896.000000,
2015-01-13,18.180000,18.379999,17.350000,17.510000,5688000,0.000000,0.000000,14.309244,14.466661,13.655962,13.781896,,,,,,,,,,50.000000,,,,,,,-0.036323,-0.035793,,,,,,-0.120100,,,,99596880.000000,
2015-01-14,17.000000,17.260000,16.809999,17.250000,5550000,0.000000,0.000000,13.380481,13.585123,13.230934,13.577252,,,,,,,,,,50.000000,,,,,,,-0.014849,-0.063518,,,,,,-0.133166,,,,95737500.000000,
2015-01-15,17.360001,17.610001,17.090000,17.180000,3808700,0.000000,0.000000,13.663827,13.860599,13.451313,13.522151,,,,,,,,,,50.000000,,,,,,,-0.004058,-0.098636,,,,,,-0.136683,,,,65433466.000000,
