Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,66.669998,67.209999,65.500000,66.019997,2397300,0.000000,0.000000,39.941559,40.265070,39.240620,39.552147,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,158269738.808100,
2015-01-05,65.860001,66.500000,65.190002,65.669998,2269700,0.000000,0.000000,39.456305,39.839725,39.054914,39.342476,,,,,,,,,,50.000000,,,,,,,-0.005301,,,,,,,-0.005301,,,,149051194.460600,
2015-01-06,65.900002,65.910004,63.610001,63.860001,3425800,0.000000,0.000000,39.480261,39.486254,38.108337,38.258110,,,,,,,,,,50.000000,,,,,,,-0.027562,,,,,,,-0.032717,,,,218771591.425800,
2015-01-07,64.110001,64.800003,63.180000,64.269997,1886500,0.000000,0.000000,38.407886,38.821262,37.850729,38.503738,,,,,,,,,,50.000000,,,,,,,0.006420,,,,,,,-0.026507,,,,121245349.340500,
2015-01-08,65.000000,66.169998,64.510002,65.430000,3472500,0.000000,0.000000,38.941082,39.642020,38.647527,39.198692,,,,,,,,,,50.000000,,,,,,,0.018049,,,,,,,-0.008936,,,,227205675.000000,
2015-01-09,65.750000,66.970001,65.470001,66.440002,2545900,0.000000,0.000000,39.390411,40.121306,39.222666,39.803787,,,,,,,,,,50.000000,,,,,,,0.015437,0.006362,,,,,,0.000000,,,,169149601.091800,
2015-01-12,66.250000,66.449997,64.760002,65.040001,2133100,0.000000,0.000000,39.689941,39.809758,38.797293,38.965038,,,,,,,,,,50.000000,,,,,,,-0.021072,-0.009594,,,,,,-0.021072,,,,138736826.133100,
2015-01-13,65.690002,66.910004,64.129997,64.750000,2142700,0.000000,0.000000,39.354459,40.085354,38.419870,38.791309,,,,,,,,,,50.000000,,,,,,,-0.004459,0.013937,,,,,,-0.025437,,,,138739825.000000,
2015-01-14,64.220001,64.730003,63.610001,64.589996,1927000,0.000000,0.000000,38.473796,38.779335,38.108348,38.695457,,,,,,,,,,50.000000,,,,,,,-0.002471,0.004979,,,,,,-0.027845,,,,124464922.292000,
2015-01-15,64.610001,64.959999,62.099998,62.279999,3552200,0.000000,0.000000,38.707431,38.917113,37.203705,37.311543,,,,,,,,,,50.000000,,,,,,,-0.035764,-0.048143,,,,,,-0.062613,,,,221231012.447800,
2015-01-16,62.360001,63.529999,61.759998,63.410000,2500300,0.000000,0.000000,37.359474,38.060412,37.000016,37.988522,,,,,,,,,,50.000000,,,,,,,0.018144,-0.045605,,,,,,-0.045605,,,,158544023.000000,
2015-01-20,63.630001,63.980000,62.340000,63.119999,1772100,0.000000,0.000000,38.120320,38.330002,37.347489,37.814781,,,,,38.405636,,,,,50.000000,,,,,,,-0.004574,-0.029520,,,,,,-0.049970,,,,111854950.227900,
