Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,41.765316,41.993771,41.277260,41.495327,483811,0.000000,0.000000,30.902300,31.071334,30.541185,30.702534,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,20075895.651197,
2015-01-05,41.391483,41.422638,40.197300,40.238838,961074,0.000000,0.000000,30.625702,30.648753,29.742121,29.772856,,,,,,,,,,50.000000,,,,,,,-0.030280,,,,,,,-0.030280,,,,38672500.992012,
2015-01-06,40.083073,40.218067,39.844238,40.062305,1031373,0.000000,0.000000,29.657595,29.757478,29.480880,29.642229,,,,,,,,,,50.000000,,,,,,,-0.004387,,,,,,,-0.034535,,,,41319179.694765,
2015-01-07,40.332294,40.550362,39.948078,40.093456,987364,0.000000,0.000000,29.842010,30.003359,29.557727,29.665293,,,,,,,,,,50.000000,,,,,,,0.000778,,,,,,,-0.033784,,,,39586835.089984,
2015-01-08,40.197300,40.664589,40.093456,40.623055,607653,0.000000,0.000000,29.742121,30.087870,29.665287,30.057138,,,,,,,,,,50.000000,,,,,,,0.013209,,,,,,,-0.021021,,,,24684721.239915,
2015-01-09,40.539978,40.861889,40.114227,40.311527,502782,0.000000,0.000000,29.995665,30.233848,29.680651,29.826633,,,,,,,,,,50.000000,,,,,,,-0.007669,-0.028529,,,,,,-0.028529,,,,20267910.168114,
2015-01-12,40.197300,40.467289,39.771545,40.155762,553340,0.000000,0.000000,29.742109,29.941874,29.427091,29.711374,,,,,,,,,,50.000000,,,,,,,-0.003864,-0.002065,,,,,,-0.032283,,,,22219789.345080,
2015-01-13,40.477673,41.059189,40.145378,40.560749,792838,0.000000,0.000000,29.949571,30.379837,29.703705,30.011040,,,,,,,,,,50.000000,,,,,,,0.010086,0.012442,,,,,,-0.022522,,,,32158103.115662,
2015-01-14,40.373833,40.529594,39.792316,40.269989,872382,0.000000,0.000000,29.872725,29.987974,29.442459,29.795891,,,,,,,,,,50.000000,,,,,,,-0.007169,0.004402,,,,,,-0.029530,,,,35130813.543798,
2015-01-15,40.539978,40.674973,39.854622,40.467289,643862,0.000000,0.000000,29.995674,30.095557,29.488576,29.941891,,,,,,,,,,50.000000,,,,,,,0.004900,-0.003834,,,,,,-0.024775,,,,26055349.630118,
2015-01-16,40.218067,41.433022,40.155762,41.401871,941910,0.000000,0.000000,29.757488,30.656437,29.711388,30.633389,,,,,,,,,,50.000000,,,,,,,0.023095,0.027048,,,,,,-0.002252,,,,38996836.313610,
2015-01-20,41.339565,41.453789,40.809971,41.079960,1057181,0.000000,0.000000,30.587282,30.671796,30.195433,30.395199,,,,,30.089266,,,,,50.000000,,,,,,,-0.007776,0.023016,,,,,,-0.010010,,,,43428953.192760,
2015-01-21,40.643822,40.934578,40.145378,40.373833,973015,0.000000,0.000000,30.072506,30.287637,29.703705,29.872740,,,,,30.051669,,,,,50.000000,,,,,,,-0.017189,-0.004608,,,,,,-0.027027,,,,39284345.116495,
2015-01-22,40.404984,41.474560,40.353062,41.349949,920050,0.000000,0.000000,29.895786,30.687169,29.857369,30.594969,,,,,30.144175,,,,,50.000000,,,,,0.628833,0.020553,0.024177,0.026818,,,,,,-0.003503,,,,38044020.577450,
2015-01-23,41.308411,41.630322,41.007271,41.266872,875560,0.000000,0.000000,30.564229,30.802412,30.341415,30.533495,,,,,30.209393,,,,,53.716649,,,,,0.610966,0.020010,-0.002009,0.019758,,,,,,-0.005506,,,,36131622.448320,
2015-01-26,41.298027,41.599171,41.121494,41.495327,865641,0.000000,0.000000,30.556551,30.779368,30.425934,30.702534,,,,,30.290888,,,,,56.290136,,,,,0.584478,0.019037,0.005536,0.002257,,,,,,0.000000,,,,35920056.359607,
2015-01-27,41.308411,41.484943,40.996883,41.163033,890679,0.000000,0.000000,30.564231,30.694848,30.333731,30.456665,,,,,30.317975,,,,,51.780276,,,,,0.562971,0.018484,-0.008008,0.002022,,,,,,-0.008008,,,,36663049.069407,
2015-01-28,41.308411,41.443405,40.643822,40.706127,653973,0.000000,0.000000,30.564225,30.664108,30.072493,30.118593,,,,,30.285706,,,,,46.288712,,,,,0.565749,0.018784,-0.011100,0.008230,,,,,,-0.019019,,,,26620707.992571,
2015-01-29,40.737278,40.955349,39.833855,40.218067,804490,0.000000,0.000000,30.141633,30.302984,29.473187,29.757467,,,,,30.200890,,,,,41.255474,,,,,0.590717,0.019851,-0.011990,-0.027374,,,,,,-0.030781,,,,32355032.720830,
2015-01-30,39.730011,40.301144,39.480789,39.875389,988327,0.000000,0.000000,29.396377,29.818960,29.211977,29.503942,30.084794,,,,30.089732,,,,,38.121542,30.084794,30.884318,29.285270,0.136752,0.592221,0.020073,-0.008520,-0.033719,,,,,,-0.039039,,,820365.250000,39409923.584203,
2015-02-02,40.415367,40.550362,39.802700,40.529594,799001,0.000000,0.000000,29.903468,30.003351,29.450154,29.987986,30.049066,,,,30.073596,,,,,46.480777,30.049066,30.794385,29.303748,0.459024,0.588688,0.019631,0.016406,-0.023273,,,,,,-0.023273,,,836124.750000,32383186.135594,
2015-02-03,40.654205,41.163033,40.436138,41.007271,618631,0.000000,0.000000,30.080181,30.456664,29.918832,30.341415,30.077494,,,,30.115870,,,,,51.619973,30.077494,30.821825,29.333163,0.677287,0.584171,0.019253,0.011786,-0.003784,-0.011762,,,,0.215261,-0.011762,,,819002.600000,25368369.066001,
2015-02-04,40.716511,41.526482,40.706127,41.360332,752681,0.000000,0.000000,30.126280,30.725580,30.118597,30.602646,30.125515,,,,30.192400,,,,,55.055321,30.125515,30.875511,29.375519,0.818089,0.586163,0.019154,0.008610,0.016072,0.027871,,,,0.187823,-0.003253,,,805068.000000,31131136.050092,
2015-02-05,41.536865,41.713394,41.339565,41.588783,762503,0.000000,0.000000,30.733270,30.863885,30.587287,30.771685,30.180835,,,,30.283168,,,,,57.174437,30.180835,30.950848,29.410821,0.883663,0.559558,0.018184,0.005524,0.034083,0.038103,,,,0.187127,0.000000,,,793824.950000,31711571.803849,
