Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,128.130005,129.089996,125.239998,126.839996,410800,0.000000,0.000000,128.130005,129.089996,125.239998,126.839996,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,52105870.356800,
2015-01-05,126.309998,127.980003,125.650002,127.150002,477400,0.000000,0.000000,126.309998,127.980003,125.650002,127.150002,,,,,,,,,,50.000000,,,,,,,0.002444,,,,,,,0.000000,,,,60701410.954800,
2015-01-06,127.050003,128.789993,124.699997,126.949997,758200,0.000000,0.000000,127.050003,128.789993,124.699997,126.949997,,,,,,,,,,50.000000,,,,,,,-0.001573,,,,,,,-0.001573,,,,96253487.725400,
2015-01-07,128.779999,130.639999,127.970001,130.580002,597200,0.000000,0.000000,128.779999,130.639999,127.970001,130.580002,,,,,,,,,,50.000000,,,,,,,0.028594,,,,,,,0.000000,,,,77982377.194400,
2015-01-08,131.529999,132.880005,131.139999,132.240005,618400,0.000000,0.000000,131.529999,132.880005,131.139999,132.240005,,,,,,,,,,50.000000,,,,,,,0.012713,,,,,,,0.000000,,,,81777219.092000,
2015-01-09,132.000000,132.869995,129.839996,131.570007,574200,0.000000,0.000000,132.000000,132.869995,129.839996,131.570007,,,,,,,,,,50.000000,,,,,,,-0.005067,0.037291,,,,,,-0.005067,,,,75547498.019400,
2015-01-12,132.380005,132.429993,129.139999,129.839996,428300,0.000000,0.000000,132.380005,132.429993,129.139999,129.839996,,,,,,,,,,50.000000,,,,,,,-0.013149,0.021156,,,,,,-0.018149,,,,55610470.286800,
2015-01-13,130.589996,132.940002,127.510002,128.809998,542600,0.000000,0.000000,130.589996,132.940002,127.510002,128.809998,,,,,,,,,,50.000000,,,,,,,-0.007933,0.014651,,,,,,-0.025938,,,,69892304.914800,
2015-01-14,127.150002,129.059998,127.129997,128.750000,410900,0.000000,0.000000,127.150002,129.059998,127.129997,128.750000,,,,,,,,,,50.000000,,,,,,,-0.000466,-0.014014,,,,,,-0.026391,,,,52903375.000000,
2015-01-15,131.809998,131.809998,126.860001,127.139999,678200,0.000000,0.000000,131.809998,131.809998,126.860001,127.139999,,,,,,,,,,50.000000,,,,,,,-0.012505,-0.038566,,,,,,-0.038566,,,,86226347.321800,
2015-01-16,126.750000,129.949997,126.610001,129.720001,529100,0.000000,0.000000,126.750000,129.949997,126.610001,129.720001,,,,,,,,,,50.000000,,,,,,,0.020293,-0.014061,,,,,,-0.019056,,,,68634852.529100,
2015-01-20,130.389999,130.690002,126.949997,127.160004,481000,0.000000,0.000000,130.389999,130.690002,126.949997,127.160004,,,,,128.781296,,,,,50.000000,,,,,,,-0.019735,-0.020641,,,,,,-0.038415,,,,61163961.924000,
2015-01-21,127.089996,128.669998,126.610001,128.350006,315500,0.000000,0.000000,127.089996,128.669998,126.610001,128.350006,,,,,128.706407,,,,,50.000000,,,,,,,0.009358,-0.003571,,,,,,-0.029416,,,,40494426.893000,
2015-01-22,128.899994,132.630005,127.500000,132.559998,638700,0.000000,0.000000,128.899994,132.630005,127.500000,132.559998,,,,,129.362551,,,,,50.000000,,,,,3.567127,0.026910,0.032801,0.029592,,,,,,0.000000,,,,84666070.722600,
2015-01-23,133.139999,137.330002,132.500000,135.339996,1233400,0.000000,0.000000,133.139999,137.330002,132.500000,135.339996,,,,,130.363875,,,,,70.047761,,,,,3.701566,0.027350,0.020972,0.064496,,,,,,0.000000,,,,166928351.066400,
2015-01-26,136.679993,137.490005,134.770004,136.080002,844100,0.000000,0.000000,136.679993,137.490005,134.770004,136.080002,,,,,131.308510,,,,,71.363525,,,,,3.600610,0.026460,0.005468,0.049029,,,,,,0.000000,,,,114865129.688200,
2015-01-27,135.809998,136.830002,134.149994,135.839996,437600,0.000000,0.000000,135.809998,136.830002,134.149994,135.839996,,,,,132.048925,,,,,70.285115,,,,,3.508809,0.025830,-0.001764,0.068260,,,,,,-0.001764,,,,59443582.249600,
2015-01-28,136.649994,137.199997,133.550003,133.860001,486700,0.000000,0.000000,136.649994,137.199997,133.550003,133.860001,,,,,132.342044,,,,,61.965827,,,,,3.522500,0.026315,-0.014576,0.042929,,,,,,-0.016314,,,,65149662.486700,
2015-01-29,134.380005,134.580002,132.330002,134.399994,563700,0.000000,0.000000,134.380005,134.580002,132.330002,134.399994,,,,,132.672475,,,,,63.243630,,,,,3.402173,0.025314,0.004034,0.013880,,,,,,-0.012346,,,,75761276.617800,
2015-01-30,134.279999,135.089996,131.500000,131.940002,606900,0.000000,0.000000,134.279999,135.089996,131.500000,131.940002,130.756000,,,,132.555652,,,,,54.294581,130.756000,137.080779,124.431222,0.593600,3.419532,0.025917,-0.018304,-0.025122,,,,,,-0.030423,,,581645.000000,80074387.213800,
2015-02-02,132.080002,132.350006,128.110001,130.960007,904100,0.000000,0.000000,132.080002,132.350006,128.110001,130.960007,130.962001,,,,132.302588,,,,,51.187188,130.962001,137.012163,124.911838,0.499835,3.493802,0.026678,-0.007428,-0.037625,,,,,,-0.037625,,,606310.000000,118400942.328700,
2015-02-03,131.139999,134.029999,130.539993,133.850006,569300,0.000000,0.000000,131.139999,134.029999,130.539993,133.850006,131.297001,,,,132.546843,,,,,58.694817,131.297001,137.198579,125.395423,0.716299,3.493465,0.026100,0.022068,-0.014650,0.055267,,,,0.245890,-0.016387,,,610905.000000,76200808.415800,
2015-02-04,133.360001,133.830002,131.169998,132.000000,735400,0.000000,0.000000,133.360001,133.830002,131.169998,132.000000,131.549501,,,,132.460869,,,,,53.068011,131.549501,137.088997,126.010005,0.540662,3.422445,0.025928,-0.013821,-0.013895,0.038144,,,,0.252453,-0.029982,,,609765.000000,97072800.000000,
2015-02-05,132.309998,133.600006,131.720001,133.029999,588000,0.000000,0.000000,132.309998,133.600006,131.720001,133.029999,131.672001,,,,132.550046,,,,,55.618995,131.672001,137.229555,126.114447,0.622176,3.289884,0.024730,0.007803,-0.010193,0.047893,,,,0.252915,-0.022413,,,609305.000000,78221639.412000,
2015-02-06,132.979996,133.570007,132.000000,133.259995,386500,0.000000,0.000000,132.979996,133.570007,132.000000,133.259995,131.723000,,,,132.660972,,,,,56.191611,131.723000,137.321073,126.124927,0.637279,3.144189,0.023594,0.001729,0.010004,0.020524,,,,0.234222,-0.020723,,,597710.000000,51504988.067500,
2015-02-09,133.130005,135.059998,132.759995,134.970001,513100,0.000000,0.000000,133.130005,135.059998,132.759995,134.970001,131.893000,,,,133.020883,132.301183,0.719701,,,60.293558,131.893000,137.674988,126.111012,0.766085,3.073613,0.022773,0.012832,0.030620,0.020644,,,,0.234297,-0.008157,,,594655.000000,69253107.513100,
2015-02-10,135.880005,138.110001,135.289993,137.000000,741100,0.000000,0.000000,135.880005,138.110001,135.289993,137.000000,132.251000,,,,133.639860,132.699051,0.940809,,,64.538508,132.251000,138.374337,126.127664,0.887779,3.079097,0.022475,0.015040,0.023534,0.041271,,,,0.237979,0.000000,,,610295.000000,101530700.000000,
2015-02-11,136.690002,137.979996,135.240005,135.899994,548300,0.000000,0.000000,136.690002,137.979996,135.240005,135.899994,132.605500,,,,133.990838,132.967245,1.023592,,,60.748574,132.605500,138.710954,126.500046,0.769799,3.051397,0.022453,-0.008029,0.029545,0.046673,,,,0.234498,-0.008029,,,610580.000000,74513966.710200,
2015-02-12,136.500000,136.639999,134.720001,136.070007,408600,0.000000,0.000000,136.500000,136.639999,134.720001,136.070007,132.971500,,,,134.313247,133.224713,1.088535,,,61.128515,132.971500,138.980660,126.962341,0.757815,2.959918,0.021753,0.001251,0.022852,0.056362,,,,0.231600,-0.006788,,,610465.000000,55598204.860200,
2015-02-13,135.940002,136.669998,134.690002,136.660004,521500,0.000000,0.000000,135.940002,136.669998,134.690002,136.660004,133.447501,,,,134.676708,133.507257,1.169450,,,62.485611,133.447501,139.002766,127.892235,0.789140,2.881426,0.021085,0.004336,0.025514,0.061437,,,,0.231366,-0.002482,,,602630.000000,71268192.086000,
2015-02-17,136.740005,136.940002,134.559998,135.910004,336800,0.000000,0.000000,136.740005,136.940002,134.559998,135.910004,133.757001,,,,134.867521,133.703275,1.164245,,,59.635384,133.757001,139.124417,128.389585,0.700562,2.841607,0.020908,-0.005488,0.006965,0.068979,,,,0.226692,-0.007956,,,593015.000000,45774489.347200,
2015-02-18,135.380005,136.740005,134.589996,136.619995,275500,0.000000,0.000000,135.380005,136.740005,134.589996,136.619995,134.230000,,,,135.138424,133.939451,1.198973,,,61.429028,134.230000,138.750021,129.709980,0.764379,2.787121,0.020401,0.005224,-0.002774,0.053191,,,,0.218296,-0.002774,,,582740.000000,37638808.622500,
2015-02-19,136.850006,139.729996,136.600006,136.919998,562700,0.000000,0.000000,136.850006,139.729996,136.600006,136.919998,134.658500,,,,135.413623,134.179141,1.234482,,,62.193496,134.658500,138.387047,130.929953,0.803268,2.813936,0.020552,0.002196,0.007506,0.076754,,,,0.202739,-0.000584,,,595100.000000,77044882.874600,
2015-02-20,137.119995,138.130005,135.710007,138.000000,286500,0.000000,0.000000,137.119995,138.130005,135.710007,138.000000,134.930500,,,,135.812890,134.484470,1.328420,1.178475,0.149944,64.891224,134.930500,138.805305,131.055695,0.896084,2.783335,0.020169,0.007888,0.014184,0.075185,,,,0.202277,0.000000,,,577490.000000,39537000.000000,
2015-02-23,137.990005,138.919998,136.669998,137.250000,316300,0.000000,0.000000,137.990005,138.919998,136.669998,137.250000,135.026000,,,,136.034624,134.704185,1.330440,1.212524,0.117915,61.603765,135.026000,139.035122,131.016878,0.777367,2.742162,0.019979,-0.005435,0.004317,0.035380,,,,0.173955,-0.005435,,,531635.000000,43412175.000000,
2015-02-24,137.669998,138.410004,136.110001,138.389999,523600,0.000000,0.000000,137.669998,138.410004,136.110001,138.389999,135.141500,,,,136.397878,134.995448,1.402429,1.254074,0.148355,64.544062,135.141500,139.403592,130.879408,0.881092,2.708224,0.019570,0.008306,0.018247,0.022536,,,,0.161366,0.000000,,,515610.000000,72461003.476400,
2015-02-25,138.419998,140.309998,137.139999,138.759995,463000,0.000000,0.000000,138.419998,140.309998,137.139999,138.759995,135.287500,,,,136.762034,135.291469,1.470565,1.300567,0.169997,65.468329,135.287500,139.840465,130.734535,0.881344,2.743480,0.019771,0.002674,0.015664,0.019694,,,,0.160705,0.000000,,,516880.000000,64245877.685000,
2015-02-26,138.520004,141.000000,138.470001,140.589996,539600,0.000000,0.000000,138.520004,141.000000,138.470001,140.589996,135.624000,,,,137.351983,135.706220,1.645763,1.373623,0.272140,69.678486,135.624000,140.697754,130.550246,0.989381,2.727261,0.019399,0.013188,0.026804,0.034968,,,,0.165758,0.000000,,,519525.000000,75862361.841600,
2015-02-27,141.979996,143.339996,140.009995,140.759995,720600,0.000000,0.000000,141.979996,143.339996,140.009995,140.759995,135.942000,,,,137.877070,136.100158,1.776912,1.457991,0.318921,70.043867,135.942000,141.469670,130.414329,0.935807,2.772847,0.019699,0.001209,0.020000,0.051546,,,,0.154904,0.000000,,,527370.000000,101431652.397000,
2015-03-02,141.970001,143.690002,141.000000,143.619995,507500,0.000000,0.000000,141.970001,143.690002,141.000000,143.619995,136.525999,,,,138.761706,136.684061,2.077645,1.586442,0.491204,75.411995,136.525999,142.703232,130.348767,1.074205,2.784683,0.019389,0.020318,0.046412,0.068601,,,,0.166826,0.000000,,,522400.000000,72887147.462500,
2015-03-03,143.250000,143.250000,141.600006,142.029999,662100,0.000000,0.000000,143.250000,143.250000,141.600006,142.029999,137.079499,,,,139.265054,137.097685,2.167369,1.705992,0.461377,68.105122,137.079499,143.139514,131.019485,0.908456,2.727314,0.019202,-0.011071,0.026302,0.076474,,,,0.156641,-0.011071,,,510300.000000,94038062.337900,
2015-03-04,141.550003,142.009995,139.440002,139.910004,659900,0.000000,0.000000,141.550003,142.009995,139.440002,139.910004,137.382499,,,,139.364366,137.314564,2.049802,1.776338,0.273464,59.787065,137.382499,143.368164,131.396834,0.711130,2.717049,0.019420,-0.014926,0.008288,0.068341,,,,0.165190,-0.025832,,,514830.000000,92326611.639600,
2015-03-05,139.949997,141.800003,139.490005,140.860001,479300,0.000000,0.000000,139.949997,141.800003,139.490005,140.860001,137.825499,,,,139.594639,137.587149,2.007489,1.823416,0.184073,62.025314,137.825499,143.433400,132.217598,0.770556,2.686721,0.019074,0.006790,0.001921,0.052372,,,,0.151083,-0.019217,,,502025.000000,67514198.479300,
2015-03-06,140.559998,141.169998,138.270004,138.589996,640500,0.000000,0.000000,140.559998,141.169998,138.270004,138.589996,138.103499,,,,139.439979,137.664036,1.775943,1.813783,-0.037840,54.254482,138.103499,143.242055,132.964943,0.547338,2.702562,0.019500,-0.016115,-0.015416,0.049924,,,,0.154374,-0.035023,,,504650.000000,88766892.438000,
2015-03-09,139.880005,141.699997,139.419998,140.960007,1691600,0.000000,0.000000,139.880005,141.699997,139.419998,140.960007,138.488499,,,,139.673956,137.916078,1.757879,1.802472,-0.044593,59.902819,138.488499,143.238196,133.738803,0.760175,2.732740,0.019387,0.017101,-0.018521,0.059611,,,,0.161686,-0.018521,,,569905.000000,238447947.841200,
2015-03-10,140.270004,142.089996,139.029999,140.470001,1195700,0.000000,0.000000,140.270004,142.089996,139.029999,140.470001,138.763499,,,,139.796481,138.110909,1.685572,1.778874,-0.093302,58.300029,138.763499,143.286940,134.240059,0.688629,2.756915,0.019626,-0.003476,-0.010984,0.054105,,,,0.163124,-0.021933,,,604035.000000,167959980.195700,
2015-03-11,141.779999,142.820007,140.490005,141.960007,943400,0.000000,0.000000,141.779999,142.820007,140.490005,141.960007,139.011500,,,,140.129461,138.403896,1.725565,1.768133,-0.042568,61.659411,139.011500,143.669709,134.353290,0.816485,2.726929,0.019209,0.010607,0.014652,0.051789,,,,0.161533,-0.011558,,,614150.000000,133925070.603800,
2015-03-12,143.929993,145.899994,142.279999,144.820007,2368300,0.000000,0.000000,143.929993,145.899994,142.279999,144.820007,139.457500,,,,140.851321,138.891285,1.960036,1.806742,0.153295,67.132721,139.457500,144.549265,134.365736,1.026586,2.816120,0.019446,0.020147,0.028113,0.057080,,,,0.167407,0.000000,,,705150.000000,342977222.578100,
2015-03-13,155.089996,156.000000,148.110001,150.100006,4533700,0.000000,0.000000,155.089996,156.000000,148.110001,150.100006,140.159000,,,,142.274592,139.741130,2.533463,1.952775,0.580687,74.398852,140.159000,146.888270,133.429731,1.238639,3.429790,0.022850,0.036459,0.083051,0.104489,,,,0.199367,0.000000,,,911405.000000,680508397.202200,
2015-03-16,150.000000,151.000000,148.440002,150.179993,1256800,0.000000,0.000000,150.000000,151.000000,148.440002,150.179993,140.835000,135.510400,,,143.491095,140.531225,2.959870,2.154958,0.804912,74.490856,140.835000,148.704092,132.965908,1.093778,3.366096,0.022414,0.000533,0.065409,0.103697,,,,0.199545,0.000000,,,948170.000000,188746215.202400,
2015-03-17,149.380005,151.940002,148.779999,150.460007,923000,0.000000,0.000000,149.380005,151.940002,148.779999,150.460007,141.562500,135.982800,,,144.563449,141.281502,3.281947,2.381039,0.900908,74.831847,141.562500,150.170115,132.954885,1.016839,3.351031,0.022272,0.001865,0.071118,0.100981,,,,0.199798,0.000000,,,977480.000000,138874586.461000,
2015-03-18,150.729996,151.589996,149.130005,150.990005,840700,0.000000,0.000000,150.729996,151.589996,149.130005,150.990005,142.281001,136.459601,,,145.552317,142.014041,3.538276,2.613047,0.925229,75.499425,142.281001,151.526848,133.035153,0.970968,3.286007,0.021763,0.003523,0.063609,0.110956,,,,0.196438,0.000000,,,1005740.000000,126937297.203500,
2015-03-19,151.009995,152.669998,150.389999,152.289993,719500,0.000000,0.000000,151.009995,152.669998,150.389999,152.289993,143.049500,136.966400,,,146.589030,142.788328,3.800703,2.851039,0.949664,77.103655,143.049500,152.950960,133.148040,0.966623,3.212706,0.021096,0.008610,0.051581,0.114698,,,,0.196816,0.000000,,,1013580.000000,109572649.963500,
2015-03-20,152.679993,152.750000,151.100006,152.020004,856800,0.000000,0.000000,152.679993,152.750000,151.100006,152.020004,143.750500,137.395200,,,147.424666,143.483043,3.941623,3.069494,0.872129,75.990789,143.750500,154.120795,133.380206,0.898711,3.099005,0.020386,-0.001773,0.012791,0.110283,,,,0.198069,-0.001773,,,1042095.000000,130250739.427200,
2015-03-23,153.100006,154.520004,152.610001,153.179993,734700,0.000000,0.000000,153.100006,154.520004,152.610001,153.179993,144.547000,137.814000,,,148.310191,144.211912,4.098279,3.275506,0.822773,77.493801,144.547000,155.256562,133.837439,0.903051,3.055480,0.019947,0.007631,0.019976,0.110000,,,,0.198025,0.000000,,,1063015.000000,112541340.857100,
2015-03-24,153.240005,154.500000,152.800003,153.770004,536800,0.000000,0.000000,153.240005,154.500000,152.800003,153.770004,145.316000,138.258000,,,149.150235,144.929561,4.220674,3.464727,0.755947,78.239967,145.316000,156.367342,134.264658,0.882488,2.957109,0.019231,0.003852,0.021999,0.120364,,,,0.194407,0.000000,,,1063675.000000,82543738.147200,
2015-03-25,153.619995,154.330002,151.289993,151.580002,556000,0.000000,0.000000,153.619995,154.330002,151.289993,151.580002,145.957001,138.692800,,,149.524073,145.428392,4.095681,3.591018,0.504663,69.084460,145.957001,156.893821,135.020181,0.757067,2.963118,0.019548,-0.014242,0.003908,0.095310,,,,0.205668,-0.014242,,,1068325.000000,84278481.112000,
