Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,129.500000,130.130005,125.000000,127.730003,603700,0.000000,0.000000,129.500000,130.130005,125.000000,127.730003,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,77110602.811100,
2015-01-05,126.839996,128.929993,125.410004,126.830002,498100,0.000000,0.000000,126.839996,128.929993,125.410004,126.830002,,,,,,,,,,50.000000,,,,,,,-0.007046,,,,,,,-0.007046,,,,63174023.996200,
2015-01-06,127.110001,130.350006,124.260002,124.930000,937100,0.000000,0.000000,127.110001,130.350006,124.260002,124.930000,,,,,,,,,,50.000000,,,,,,,-0.014981,,,,,,,-0.021921,,,,117071903.000000,
2015-01-07,125.529999,128.419998,124.209999,125.800003,690100,0.000000,0.000000,125.529999,128.419998,124.209999,125.800003,,,,,,,,,,50.000000,,,,,,,0.006964,,,,,,,-0.015110,,,,86814582.070300,
2015-01-08,126.870003,129.649994,126.629997,128.130005,476300,0.000000,0.000000,126.870003,129.649994,126.629997,128.130005,,,,,,,,,,50.000000,,,,,,,0.018521,,,,,,,0.000000,,,,61028321.381500,
2015-01-09,128.880005,130.229996,127.029999,129.000000,461900,0.000000,0.000000,128.880005,130.229996,127.029999,129.000000,,,,,,,,,,50.000000,,,,,,,0.006790,0.009943,,,,,,0.000000,,,,59585100.000000,
2015-01-12,129.779999,133.089996,129.039993,132.289993,596200,0.000000,0.000000,129.779999,133.089996,129.039993,132.289993,,,,,,,,,,50.000000,,,,,,,0.025504,0.043050,,,,,,0.000000,,,,78871293.826600,
2015-01-13,133.919998,136.889999,132.729996,134.710007,787500,0.000000,0.000000,133.919998,136.889999,132.729996,134.710007,,,,,,,,,,50.000000,,,,,,,0.018293,0.078284,,,,,,0.000000,,,,106084130.512500,
2015-01-14,133.919998,136.210007,133.339996,135.850006,718800,0.000000,0.000000,133.919998,136.210007,133.339996,135.850006,,,,,,,,,,50.000000,,,,,,,0.008463,0.079889,,,,,,0.000000,,,,97648984.312800,
2015-01-15,136.000000,139.240005,135.539993,137.839996,743300,0.000000,0.000000,136.000000,139.240005,135.539993,137.839996,,,,,,,,,,50.000000,,,,,,,0.014648,0.075782,,,,,,0.000000,,,,102456469.026800,
2015-01-16,137.800003,141.309998,137.399994,141.089996,776100,0.000000,0.000000,137.800003,141.309998,137.399994,141.089996,,,,,,,,,,50.000000,,,,,,,0.023578,0.093721,,,,,,0.000000,,,,109499945.895600,
2015-01-20,141.779999,148.190002,140.929993,146.479996,876100,0.000000,0.000000,141.779999,148.190002,140.929993,146.479996,,,,,136.097066,,,,,50.000000,,,,,,,0.038203,0.107264,,,,,,0.000000,,,,128331124.495600,
2015-01-21,145.649994,149.020004,145.259995,146.699997,641800,0.000000,0.000000,145.649994,149.020004,145.259995,146.699997,,,,,137.938138,,,,,50.000000,,,,,,,0.001502,0.089006,,,,,,0.000000,,,,94152058.074600,
2015-01-22,146.970001,148.440002,143.539993,147.410004,543000,0.000000,0.000000,146.970001,148.440002,143.539993,147.410004,,,,,139.550894,,,,,50.000000,,,,,4.397252,0.029830,0.004840,0.085094,,,,,,0.000000,,,,80043632.172000,
2015-01-23,147.389999,148.970001,144.809998,145.300003,396600,0.000000,0.000000,147.389999,148.970001,144.809998,145.300003,,,,,140.513968,,,,,82.151755,,,,,4.371996,0.030089,-0.014314,0.054121,,,,,,-0.014314,,,,57625981.189800,
2015-01-26,144.699997,147.250000,143.350006,146.460007,422900,0.000000,0.000000,144.699997,147.250000,143.350006,146.460007,,,,,141.496598,,,,,83.302850,,,,,4.323450,0.029520,0.007984,0.038061,,,,,,-0.006445,,,,61937936.960300,
2015-01-27,145.360001,148.800003,145.360001,147.190002,270400,0.000000,0.000000,145.360001,148.800003,145.360001,147.190002,,,,,142.426862,,,,,84.002086,,,,,4.235353,0.028775,0.004984,0.004847,,,,,,-0.001492,,,,39800176.540800,
2015-01-28,148.059998,148.679993,143.759995,144.110001,594000,0.000000,0.000000,148.059998,148.679993,143.759995,144.110001,,,,,142.699275,,,,,70.573275,,,,,4.301747,0.029850,-0.020925,-0.017655,,,,,,-0.022387,,,,85601340.594000,
2015-01-29,144.660004,145.470001,142.089996,142.570007,510600,0.000000,0.000000,144.660004,145.470001,142.089996,142.570007,,,,,142.678519,,,,,64.979836,,,,,4.214587,0.029562,-0.010686,-0.032834,,,,,,-0.032834,,,,72796245.574200,
2015-01-30,141.789993,144.270004,140.149994,141.130005,581900,0.000000,0.000000,141.789993,144.270004,140.149994,141.130005,137.577502,,,,142.431544,,,,,60.176998,137.577502,154.094529,121.060474,0.607541,4.205846,0.029801,-0.010100,-0.028699,,,,,,-0.042602,,,606320.000000,82123549.909500,
2015-02-02,141.979996,144.169998,138.320007,141.960007,491400,0.000000,0.000000,141.979996,144.169998,138.320007,141.960007,138.289002,,,,142.356760,,,,,61.923915,138.289002,154.236062,122.341942,0.615100,4.354677,0.030675,0.005881,-0.030725,,,,,,-0.036972,,,600705.000000,69759147.439800,
