Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,12.230000,12.230000,11.650000,11.830000,32500,0.000000,0.000000,12.230000,12.230000,11.650000,11.830000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,384475.000000,
2015-01-05,11.780000,12.270000,11.710000,11.780000,49200,0.000000,0.000000,11.780000,12.270000,11.710000,11.780000,,,,,,,,,,50.000000,,,,,,,-0.004227,,,,,,,-0.004227,,,,579576.000000,
2015-01-06,11.530000,11.800000,10.950000,11.650000,145300,0.000000,0.000000,11.530000,11.800000,10.950000,11.650000,,,,,,,,,,50.000000,,,,,,,-0.011036,,,,,,,-0.015216,,,,1692745.000000,
2015-01-07,11.710000,12.060000,11.560000,11.830000,78600,0.000000,0.000000,11.710000,12.060000,11.560000,11.830000,,,,,,,,,,50.000000,,,,,,,0.015451,,,,,,,0.000000,,,,929838.000000,
2015-01-08,11.940000,12.390000,11.630000,12.060000,178300,0.000000,0.000000,11.940000,12.390000,11.630000,12.060000,,,,,,,,,,50.000000,,,,,,,0.019442,,,,,,,0.000000,,,,2150298.000000,
2015-01-09,12.010000,12.130000,11.900000,11.980000,23600,0.000000,0.000000,12.010000,12.130000,11.900000,11.980000,,,,,,,,,,50.000000,,,,,,,-0.006633,0.012680,,,,,,-0.006633,,,,282728.000000,
2015-01-12,11.910000,12.290000,11.750000,12.040000,33800,0.000000,0.000000,11.910000,12.290000,11.750000,12.040000,,,,,,,,,,50.000000,,,,,,,0.005008,0.022071,,,,,,-0.001658,,,,406952.000000,
2015-01-13,12.150000,12.490000,11.960000,12.270000,51300,0.000000,0.000000,12.150000,12.490000,11.960000,12.270000,,,,,,,,,,50.000000,,,,,,,0.019103,0.053219,,,,,,0.000000,,,,629451.000000,
2015-01-14,12.120000,12.290000,11.980000,11.990000,44600,0.000000,0.000000,12.120000,12.290000,11.980000,11.990000,,,,,,,,,,50.000000,,,,,,,-0.022820,0.013525,,,,,,-0.022820,,,,534754.000000,
2015-01-15,12.050000,12.050000,11.510000,11.900000,64100,0.000000,0.000000,12.050000,12.050000,11.510000,11.900000,,,,,,,,,,50.000000,,,,,,,-0.007506,-0.013267,,,,,,-0.030155,,,,762790.000000,
2015-01-16,11.900000,12.230000,11.800000,12.050000,128000,0.000000,0.000000,11.900000,12.230000,11.800000,12.050000,,,,,,,,,,50.000000,,,,,,,0.012605,0.005843,,,,,,-0.017930,,,,1542400.000000,
2015-01-20,12.060000,12.060000,11.600000,11.730000,28400,0.000000,0.000000,12.060000,12.060000,11.600000,11.730000,,,,,11.941461,,,,,50.000000,,,,,,,-0.026556,-0.025748,,,,,,-0.044010,,,,333132.000000,
2015-01-21,11.700000,11.790000,11.210000,11.350000,27000,0.000000,0.000000,11.700000,11.790000,11.210000,11.350000,,,,,11.838761,,,,,50.000000,,,,,,,-0.032396,-0.074980,,,,,,-0.074980,,,,306450.000000,
2015-01-22,11.450000,11.780000,11.230000,11.750000,37100,0.000000,0.000000,11.450000,11.780000,11.230000,11.750000,,,,,11.823647,,,,,50.000000,,,,,0.518768,0.044150,0.035242,-0.020017,,,,,,-0.042380,,,,435925.000000,
2015-01-23,11.790000,11.800000,11.630000,11.660000,23200,0.000000,0.000000,11.790000,11.800000,11.630000,11.660000,,,,,11.796234,,,,,45.010246,,,,,0.481640,0.041307,-0.007660,-0.020168,,,,,,-0.049715,,,,270512.000000,
2015-01-26,11.630000,11.810000,11.560000,11.770000,32700,0.000000,0.000000,11.630000,11.810000,11.560000,11.770000,,,,,11.791898,,,,,48.284002,,,,,0.457815,0.038897,0.009434,-0.023237,,,,,,-0.040750,,,,384879.000000,
2015-01-27,11.660000,11.800000,11.560000,11.640000,25600,0.000000,0.000000,11.660000,11.800000,11.560000,11.640000,,,,,11.767079,,,,,44.883183,,,,,0.436095,0.037465,-0.011045,-0.007673,,,,,,-0.051345,,,,297984.000000,
