Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,19.790001,20.600000,18.500999,18.700001,38600,0.000000,0.000000,19.790001,20.600000,18.500999,18.700001,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,721820.038600,
2015-01-05,19.180000,20.490000,18.500000,19.150000,50400,0.000000,0.000000,19.180000,20.490000,18.500000,19.150000,,,,,,,,,,50.000000,,,,,,,0.024064,,,,,,,0.000000,,,,965160.000000,
2015-01-06,19.100000,19.834999,18.580000,18.840000,36900,0.000000,0.000000,19.100000,19.834999,18.580000,18.840000,,,,,,,,,,50.000000,,,,,,,-0.016188,,,,,,,-0.016188,,,,695196.000000,
2015-01-07,19.420000,21.879999,19.049999,20.900000,95700,0.000000,0.000000,19.420000,21.879999,19.049999,20.900000,,,,,,,,,,50.000000,,,,,,,0.109342,,,,,,,0.000000,,,,2000130.000000,
2015-01-08,21.379999,23.100000,21.000000,23.000000,126600,0.000000,0.000000,21.379999,23.100000,21.000000,23.000000,,,,,,,,,,50.000000,,,,,,,0.100478,,,,,,,0.000000,,,,2911800.000000,
2015-01-09,23.230000,23.500000,21.540001,21.870001,71100,0.000000,0.000000,23.230000,23.500000,21.540001,21.870001,,,,,,,,,,50.000000,,,,,,,-0.049130,0.169519,,,,,,-0.049130,,,,1554957.071100,
2015-01-12,22.180000,22.631001,21.500000,21.920000,93200,0.000000,0.000000,22.180000,22.631001,21.500000,21.920000,,,,,,,,,,50.000000,,,,,,,0.002286,0.144648,,,,,,-0.046957,,,,2042944.000000,
2015-01-13,22.000000,22.547001,21.700001,21.820000,84500,0.000000,0.000000,22.000000,22.547001,21.700001,21.820000,,,,,,,,,,50.000000,,,,,,,-0.004562,0.158174,,,,,,-0.051304,,,,1843790.000000,
2015-01-14,21.700001,22.278999,21.030001,21.629999,94800,0.000000,0.000000,21.700001,22.278999,21.030001,21.629999,,,,,,,,,,50.000000,,,,,,,-0.008708,0.034928,,,,,,-0.059565,,,,2050523.905200,
2015-01-15,21.670000,22.209999,21.125000,21.980000,54900,0.000000,0.000000,21.670000,22.209999,21.125000,21.980000,,,,,,,,,,50.000000,,,,,,,0.016181,-0.044348,,,,,,-0.044348,,,,1206702.000000,
2015-01-16,22.120001,22.250000,21.270000,21.650000,39800,0.000000,0.000000,22.120001,22.250000,21.270000,21.650000,,,,,,,,,,50.000000,,,,,,,-0.015014,-0.010059,,,,,,-0.058696,,,,861670.000000,
2015-01-20,21.559999,21.774000,17.809999,17.969999,135200,0.000000,0.000000,21.559999,21.774000,17.809999,17.969999,,,,,20.847517,,,,,50.000000,,,,,,,-0.169977,-0.180201,,,,,,-0.218696,,,,2429543.864800,
2015-01-21,18.129999,18.910000,17.010000,18.309999,97700,0.000000,0.000000,18.129999,18.910000,17.010000,18.309999,,,,,20.406907,,,,,50.000000,,,,,,,0.018920,-0.160862,,,,,,-0.203913,,,,1788886.902300,
2015-01-22,18.260000,20.680000,18.010000,20.600000,66100,0.000000,0.000000,18.260000,20.680000,18.010000,20.600000,,,,,20.439785,,,,,50.000000,,,,,1.920231,0.093215,0.125068,-0.047619,,,,,,-0.104348,,,,1361660.000000,
2015-01-23,19.400000,20.240000,19.020000,20.240000,38300,0.000000,0.000000,19.400000,20.240000,19.020000,20.240000,,,,,20.406318,,,,,51.805137,,,,,1.884012,0.093084,-0.017476,-0.079163,,,,,,-0.120000,,,,775192.000000,
2015-01-26,19.660000,20.400000,19.150000,19.440001,42100,0.000000,0.000000,19.660000,20.400000,19.150000,19.440001,,,,,20.246626,,,,,47.375197,,,,,1.818802,0.093560,-0.039526,-0.102078,,,,,,-0.154783,,,,818424.042100,
2015-01-27,19.209999,19.740000,18.250000,18.950001,60500,0.000000,0.000000,19.209999,19.740000,18.250000,18.950001,,,,,20.034766,,,,,44.845684,,,,,1.786014,0.094249,-0.025206,0.054535,,,,,,-0.176087,,,,1146475.060500,
2015-01-28,19.100000,19.139999,18.120001,18.250000,46300,0.000000,0.000000,19.100000,19.139999,18.120001,18.250000,,,,,19.745905,,,,,41.441532,,,,,1.711730,0.093793,-0.036939,-0.003277,,,,,,-0.206522,,,,844975.000000,
2015-01-29,18.139999,18.330000,16.600000,17.240000,54100,0.000000,0.000000,18.139999,18.330000,16.600000,17.240000,,,,,19.343549,,,,,37.069238,,,,,1.713457,0.099388,-0.055342,-0.163107,,,,,,-0.250435,,,,932684.000000,
2015-01-30,17.240000,17.889999,16.260000,17.790001,31000,0.000000,0.000000,17.240000,17.889999,16.260000,17.790001,20.012500,,,,19.095771,,,,,40.736068,20.012500,23.498876,16.526124,0.181259,1.705744,0.095882,0.031903,-0.121047,,,,,,-0.226522,,,67890.000000,551490.031000,
