Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-08-03,27.650000,28.820000,25.719999,27.740000,144700,0.000000,0.000000,27.650000,28.820000,25.719999,27.740000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,4013978.000000,
2015-08-04,27.000000,27.030001,24.610001,25.799999,129100,0.000000,0.000000,27.000000,27.030001,24.610001,25.799999,,,,,,,,,,50.000000,,,,,,,-0.069935,,,,,,,-0.069935,,,,3330779.870900,
2015-08-05,27.110001,27.469999,24.559999,25.240000,107700,0.000000,0.000000,27.110001,27.469999,24.559999,25.240000,,,,,,,,,,50.000000,,,,,,,-0.021705,,,,,,,-0.090123,,,,2718348.000000,
2015-08-06,24.809999,26.950001,22.990000,26.950001,73100,0.000000,0.000000,24.809999,26.950001,22.990000,26.950001,,,,,,,,,,50.000000,,,,,,,0.067750,,,,,,,-0.028479,,,,1970045.073100,
2015-08-07,27.500000,27.500000,24.200001,26.500000,52200,0.000000,0.000000,27.500000,27.500000,24.200001,26.500000,,,,,,,,,,50.000000,,,,,,,-0.016698,,,,,,,-0.044701,,,,1383300.000000,
2015-08-10,25.760000,26.500000,25.459999,26.139999,51400,0.000000,0.000000,25.760000,26.500000,25.459999,26.139999,,,,,,,,,,50.000000,,,,,,,-0.013585,-0.057678,,,,,,-0.057678,,,,1343595.948600,
2015-08-11,25.440001,26.020000,24.559999,25.379999,141000,0.000000,0.000000,25.440001,26.020000,24.559999,25.379999,,,,,,,,,,50.000000,,,,,,,-0.029074,-0.016279,,,,,,-0.085076,,,,3578579.859000,
2015-08-12,25.000000,26.209999,25.000000,25.990000,172600,0.000000,0.000000,25.000000,26.209999,25.000000,25.990000,,,,,,,,,,50.000000,,,,,,,0.024035,0.029715,,,,,,-0.063086,,,,4485874.000000,
2015-08-13,26.000000,26.600000,25.760000,26.200001,229600,0.000000,0.000000,26.000000,26.600000,25.760000,26.200001,,,,,,,,,,50.000000,,,,,,,0.008080,-0.027829,,,,,,-0.055515,,,,6015520.229600,
2015-08-14,26.129999,26.209999,24.660000,25.190001,103300,0.000000,0.000000,26.129999,26.209999,24.660000,25.190001,,,,,,,,,,50.000000,,,,,,,-0.038550,-0.049434,,,,,,-0.091925,,,,2602127.103300,
