date,equity,cash,bench
2026-08-18,100000.0,100000.0,100000.0
2026-08-19,98720.31,53004.51,100157.4
2026-08-20,97653.78,21838.2,99153.51
2026-08-21,97946.02,21838.2,99584.44
2026-08-24,96865.26,16629.4,98822.65
2026-08-25,97385.14,16629.4,99473.52
2026-08-26,96699.44,16629.4,99393.25
2026-08-27,96909.54,16629.4,100957.18
2026-08-28,92603.48,13562.9,100428.72
2026-08-31,91944.68,9481.34,100308.79
2026-09-01,90480.5,6426.51,99277.51
2026-09-02,89963.96,8284.79,99726.58
2026-09-03,90721.28,4520.83,101119.64
2026-09-04,90455.98,4520.83,100826.48
2026-09-08,90161.77,4520.83,100500.95
2026-09-09,90133.2,6890.55,99861.65
2026-09-10,89033.57,8279.47,99208.85
2026-09-11,89649.6,18205.04,100164.81
2026-09-14,89704.71,6550.97,99607.07
2026-09-15,88631.53,6550.97,98827.9
2026-09-16,88024.11,17502.27,98815.96
2026-09-17,89458.01,17502.27,100489.13
2026-09-18,88365.53,10135.09,100885.62
2026-09-21,89220.66,11641.39,103166.18
2026-09-22,90284.12,5668.53,103630.96
2026-09-23,87972.55,4696.0,102458.48
2026-09-24,90660.95,4696.0,102471.15
2026-09-25,90407.14,4696.0,102963.16
